"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven07",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/eclipseWc-250gb-128mb-1-raven07.csv",,,,"Date:","17 Aug 2016 07:52:41 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
1.754,0.259,97.612,0.345,0.003,0.027,1579540.158,1403446.556,0.0,0.0,1153282048.0,242864128.0,13890482176.0,5744455680.0,0.0,0.061,196608.0,21475966976.0,
56.055,43.945,0.0,0.0,0.0,0.0,21266432.0,1081344.0,4596.0,1281.0,1065074688.0,847872.0,3237134336.0,16728027136.0,0.0,0.0,196608.0,21475966976.0,
61.798,37.953,0.0,0.0,0.125,0.125,158171136.0,180224.0,5168.0,1015.0,1100931072.0,1064960.0,134242304.0,19794845696.0,0.0,0.0,196608.0,21475966976.0,
65.750,34.125,0.0,0.0,0.0,0.125,164806656.0,0.0,4442.0,919.0,1280991232.0,1179648.0,215941120.0,19532972032.0,0.0,0.0,196608.0,21475966976.0,
65.212,34.539,0.0,0.0,0.125,0.125,173187072.0,0.0,5172.0,1351.0,1464061952.0,1257472.0,301047808.0,19264716800.0,0.0,0.0,196608.0,21475966976.0,
65.207,34.793,0.0,0.0,0.0,0.0,174784512.0,0.0,3652.0,825.0,1654321152.0,1347584.0,387153920.0,18988261376.0,0.0,0.0,196608.0,21475966976.0,
64.669,35.206,0.0,0.0,0.0,0.125,161136640.0,49152.0,4298.0,747.0,1823309824.0,1437696.0,466866176.0,18739470336.0,0.0,0.0,196608.0,21475966976.0,
65.212,34.663,0.0,0.0,0.0,0.125,161914880.0,0.0,3636.0,1351.0,2000515072.0,1515520.0,546725888.0,18482327552.0,0.0,0.0,196608.0,21475966976.0,
64.500,35.500,0.0,0.0,0.0,0.0,163217408.0,32768.0,4676.0,747.0,2172608512.0,1597440.0,627257344.0,18229620736.0,0.0,0.0,196608.0,21475966976.0,
64.330,35.670,0.0,0.0,0.0,0.0,172163072.0,0.0,6090.0,747.0,2359635968.0,1687552.0,712388608.0,17957371904.0,0.0,0.0,196608.0,21475966976.0,
