"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/eclipseWc-250gb-128mb-1-ravenleader.csv",,,,"Date:","17 Aug 2016 07:52:40 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.699,0.457,98.401,0.300,0.010,0.133,3994967.969,794684.009,0.0,0.0,3034746880.0,2178039808.0,9861869568.0,5956440064.0,233.211,4948.025,830431232.0,20143988736.0,
17.875,13.750,65.0,0.0,0.0,3.375,0.0,516096.0,3271147.0,53154392.0,3039752192.0,2178039808.0,9861910528.0,5951393792.0,0.0,0.0,830431232.0,20143988736.0,
19.576,5.985,73.691,0.0,0.0,0.748,0.0,0.0,308002.0,5471972.0,3033210880.0,2178039808.0,9861918720.0,5957926912.0,0.0,0.0,830431232.0,20143988736.0,
19.476,5.243,74.657,0.0,0.125,0.499,0.0,40960.0,63651.0,834054.0,3032186880.0,2178039808.0,9861918720.0,5958950912.0,0.0,0.0,830431232.0,20143988736.0,
18.875,5.625,74.875,0.0,0.0,0.625,0.0,0.0,49430.0,462870.0,3031924736.0,2178039808.0,9861918720.0,5959213056.0,0.0,0.0,830431232.0,20143988736.0,
18.976,5.743,74.782,0.0,0.0,0.499,0.0,663552.0,33596.0,123958.0,3031277568.0,2178039808.0,9861922816.0,5959856128.0,0.0,0.0,830431232.0,20143988736.0,
19.375,5.375,74.875,0.0,0.0,0.375,0.0,163840.0,39225.0,101734.0,3030499328.0,2178048000.0,9861914624.0,5960634368.0,0.0,0.0,830431232.0,20143988736.0,
19.101,5.618,74.782,0.0,0.0,0.499,0.0,0.0,34559.0,109118.0,3030863872.0,2178048000.0,9861922816.0,5960261632.0,0.0,0.0,830431232.0,20143988736.0,
19.226,5.243,74.782,0.0,0.0,0.749,0.0,638976.0,29870.0,119156.0,3030847488.0,2178048000.0,9861922816.0,5960278016.0,0.0,0.0,830431232.0,20143988736.0,
19.125,5.625,74.750,0.0,0.0,0.500,0.0,0.0,38147.0,103870.0,3029958656.0,2178048000.0,9861922816.0,5961166848.0,0.0,0.0,830431232.0,20143988736.0,
