"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
59.5741,36.2457,2.78012,1.32178,0.0094375,0.0689375,3.30309e+07,103680,112817,9476,1.02798e+09,1.90234e+06,1.84656e+08,1.98165e+10,0,0,7.1977e+06,2.1469e+10,
63.2734,36.3865,0.125,0.146437,0.0234375,0.0451875,6.57293e+07,60928,73991.5,3818.59,1.08811e+09,2.02022e+06,1.15583e+08,1.98254e+10,0,0,7.1977e+06,2.1469e+10,
64.2811,35.633,0,0,0.0117188,0.0742188,9.83954e+07,57856,26842.5,1943.78,1.19341e+09,2.14298e+06,1.63716e+08,1.96718e+10,0,0,7.1977e+06,2.1469e+10,
64.5511,35.3514,0,0,0.0390625,0.0585938,1.26881e+08,362752,3933.47,987.469,1.32926e+09,2.26765e+06,2.26024e+08,1.94735e+10,0,0,7.1977e+06,2.1469e+10,
64.9624,34.9479,0,0,0.0273438,0.0625,1.44314e+08,98048,3905.12,1068.84,1.48397e+09,2.3863e+06,2.9699e+08,1.92477e+10,0,0,7.1977e+06,2.1469e+10,
64.9677,34.9426,0,0,0.0117188,0.078125,1.52264e+08,11520,3962.62,959.375,1.64688e+09,2.49843e+06,3.72115e+08,1.90096e+10,0,0,7.1977e+06,2.1469e+10,
65.0612,34.8335,0,0,0.0273438,0.0780625,1.59373e+08,8704,4035.88,1025.5,1.81801e+09,2.62208e+06,4.50537e+08,1.87599e+10,0,0,7.1977e+06,2.1469e+10,
65.3134,34.5734,0,0,0.03125,0.0820312,1.72805e+08,20736,4139.66,949.344,2.0036e+09,2.74355e+06,5.35846e+08,1.84889e+10,0,0,7.1977e+06,2.1469e+10,
65.6171,34.2582,0,0,0.0429688,0.082,1.7706e+08,124416,3985.84,955.375,2.1932e+09,2.86323e+06,6.23199e+08,1.82118e+10,0,0,7.1977e+06,2.1469e+10,
66.0465,33.8404,0,0,0.0273438,0.0859375,1.67676e+08,23808,3861.78,1118.69,2.37319e+09,2.98547e+06,7.05842e+08,1.79491e+10,0,0,7.1977e+06,2.1469e+10,
66.159,33.7551,0,0,0.015625,0.0703125,1.69427e+08,18944,3700.16,962.844,2.55455e+09,3.09888e+06,7.89426e+08,1.7684e+10,0,0,7.1977e+06,2.1469e+10,
70.4415,29.4218,0,0,0.0390625,0.0976562,1.37057e+08,14080,3700.94,976,2.70049e+09,3.20486e+06,8.56752e+08,1.74706e+10,0,0,7.1977e+06,2.1469e+10,
72.1218,27.7379,0,0,0.0273438,0.113219,1.16095e+08,13312,3722.53,984.875,2.82289e+09,3.29434e+06,9.13709e+08,1.72912e+10,0,0,7.1977e+06,2.1469e+10,
74.4493,25.457,0,0,0.00390625,0.0898438,8.97539e+07,118784,3900.84,969.844,2.91751e+09,3.37664e+06,9.57464e+08,1.71527e+10,0,0,7.1977e+06,2.1469e+10,
75.8026,24.0921,0,0,0.0117188,0.0937188,7.40608e+07,56320,4020.88,952.75,2.99508e+09,3.45011e+06,9.93343e+08,1.70392e+10,0,0,7.1977e+06,2.1469e+10,
77.2689,22.6023,0,0,0.015625,0.11325,5.94808e+07,6400,4038.81,999.312,3.05683e+09,3.51667e+06,1.02196e+09,1.69488e+10,0,0,7.1977e+06,2.1469e+10,
78.1414,21.7298,0,0,0.0078125,0.121031,4.86134e+07,8448,4401.06,1015.22,3.10702e+09,3.59373e+06,1.04513e+09,1.68753e+10,0,0,7.1977e+06,2.1469e+10,
