"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven19",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/eclipseWcWPF-250gb-128mb-1-raven19.csv",,,,"Date:","17 Aug 2016 08:50:33 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
1.225,0.167,98.275,0.310,0.003,0.020,1027372.961,1240315.374,0.0,0.0,989065216.0,1875968.0,212332544.0,19827810304.0,0.051,1.616,5230592.0,21470932992.0,
60.349,39.526,0.0,0.0,0.125,0.0,184115200.0,0.0,4925.0,1542.0,990375936.0,1961984.0,302104576.0,19736641536.0,0.0,0.0,5230592.0,21470932992.0,
60.951,39.049,0.0,0.0,0.0,0.0,183992320.0,0.0,4757.0,747.0,992940032.0,2060288.0,394543104.0,19641540608.0,0.0,0.0,5230592.0,21470932992.0,
61.097,38.778,0.0,0.0,0.0,0.125,188768256.0,417792.0,4943.0,817.0,994861056.0,2183168.0,487325696.0,19546714112.0,0.0,0.0,5230592.0,21470932992.0,
61.250,38.750,0.0,0.0,0.0,0.0,182706176.0,90112.0,3327.0,1282.0,1003593728.0,2281472.0,574439424.0,19450769408.0,0.0,0.0,5230592.0,21470932992.0,
60.674,39.201,0.0,0.0,0.0,0.125,180428800.0,8192.0,3797.0,747.0,1007390720.0,2379776.0,663769088.0,19357544448.0,0.0,0.0,5230592.0,21470932992.0,
61.875,38.125,0.0,0.0,0.0,0.0,160735232.0,0.0,4077.0,817.0,1032970240.0,2469888.0,745234432.0,19250409472.0,0.0,0.0,5230592.0,21470932992.0,
61.923,37.953,0.0,0.0,0.0,0.125,162709504.0,0.0,3151.0,747.0,1057058816.0,2555904.0,824983552.0,19146485760.0,0.0,0.0,5230592.0,21470932992.0,
62.672,37.328,0.0,0.0,0.0,0.0,167321600.0,0.0,3215.0,825.0,1057480704.0,2641920.0,908587008.0,19062374400.0,0.0,0.0,5230592.0,21470932992.0,
63.250,36.750,0.0,0.0,0.0,0.0,189571072.0,0.0,5397.0,817.0,1224052736.0,2744320.0,1005236224.0,18799050752.0,0.0,0.0,5230592.0,21470932992.0,
67.750,32.125,0.0,0.0,0.0,0.125,166993920.0,49152.0,3407.0,747.0,1771958272.0,2846720.0,1088905216.0,18167373824.0,0.0,0.0,5230592.0,21470932992.0,
66.584,33.292,0.0,0.0,0.0,0.125,188817408.0,0.0,5935.0,1817.0,2104803328.0,2945024.0,1180233728.0,17743101952.0,0.0,0.0,5230592.0,21470932992.0,
66.125,33.750,0.0,0.0,0.0,0.125,181788672.0,32768.0,3861.0,747.0,2435133440.0,3055616.0,1269415936.0,17323479040.0,0.0,0.0,5230592.0,21470932992.0,
66.500,33.500,0.0,0.0,0.0,0.0,196386816.0,0.0,4815.0,817.0,2758168576.0,3158016.0,1369022464.0,16900734976.0,0.0,0.0,5230592.0,21470932992.0,
66.085,33.791,0.0,0.0,0.0,0.125,183590912.0,0.0,4918.0,1282.0,3085766656.0,3252224.0,1458421760.0,16483643392.0,0.0,0.0,5230592.0,21470932992.0,
71.536,28.340,0.0,0.0,0.125,0.0,183795712.0,57344.0,5407.0,849.0,3327741952.0,3358720.0,1549340672.0,16150642688.0,0.0,0.0,5230592.0,21470932992.0,
