"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/eclipseWcWPF-250gb-128mb-1-ravenleader.csv",,,,"Date:","17 Aug 2016 08:50:29 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.707,0.469,98.381,0.299,0.010,0.133,3990690.754,794089.381,0.0,0.0,3020935168.0,2180026368.0,9923121152.0,5907013632.0,232.972,4942.727,830410752.0,20144009216.0,
15.875,17.250,62.875,0.0,0.125,3.875,0.0,0.0,301889.0,4542015.0,3026075648.0,2180026368.0,9923080192.0,5901914112.0,0.0,0.0,830410752.0,20144009216.0,
13.109,12.734,74.032,0.0,0.0,0.125,0.0,253952.0,3711679.0,68394092.0,3025797120.0,2180026368.0,9923096576.0,5902176256.0,0.0,0.0,830410752.0,20144009216.0,
12.609,12.484,74.782,0.0,0.0,0.125,0.0,720896.0,60763.0,187992.0,3025416192.0,2180026368.0,9923096576.0,5902557184.0,0.0,0.0,830410752.0,20144009216.0,
12.984,12.484,74.532,0.0,0.0,0.0,0.0,0.0,52874.0,126362.0,3025088512.0,2180026368.0,9923096576.0,5902884864.0,0.0,0.0,830410752.0,20144009216.0,
12.594,12.469,74.688,0.125,0.0,0.125,0.0,696320.0,36558.0,110216.0,3024191488.0,2180030464.0,9923092480.0,5903781888.0,0.0,0.0,830410752.0,20144009216.0,
12.516,12.516,74.969,0.0,0.0,0.0,0.0,24576.0,30237.0,101112.0,3024187392.0,2180038656.0,9923088384.0,5903781888.0,0.0,0.0,830410752.0,20144009216.0,
12.609,12.484,74.782,0.0,0.125,0.0,0.0,0.0,35914.0,120484.0,3024019456.0,2180038656.0,9923096576.0,5903941632.0,0.0,0.0,830410752.0,20144009216.0,
12.702,12.453,74.720,0.0,0.0,0.125,0.0,49152.0,32316.0,101038.0,3023417344.0,2180038656.0,9923096576.0,5904543744.0,0.0,0.0,830410752.0,20144009216.0,
12.625,12.500,74.875,0.0,0.0,0.0,0.0,0.0,29555.0,100422.0,3022622720.0,2180038656.0,9923096576.0,5905338368.0,0.0,0.0,830410752.0,20144009216.0,
