"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
62.4658,37.4601,0.00390625,0,0.0273438,0.0429688,2.01482e+08,37632,13971.4,1739.72,1.01793e+09,2.16909e+06,4.49415e+08,1.95616e+10,0,0,7.1977e+06,2.1469e+10,
62.4905,37.4081,0,0,0.0390625,0.0625,2.44138e+08,41216,4291.19,974.25,1.05203e+09,2.30029e+06,5.71166e+08,1.94056e+10,0,0,7.1977e+06,2.1469e+10,
62.5619,37.3483,0,0,0.0078125,0.0820312,2.44052e+08,144384,3789.16,950.219,1.09424e+09,2.43622e+06,6.9215e+08,1.92423e+10,0,0,7.1977e+06,2.1469e+10,
63.3297,36.5769,0,0,0.03125,0.0623125,2.39451e+08,218112,3980.22,1019.69,1.19196e+09,2.57101e+06,8.10437e+08,1.90261e+10,0,0,7.1977e+06,2.1469e+10,
63.6242,36.3134,0,0,0.0117188,0.0507812,2.43955e+08,66304,3579.88,963.781,1.32265e+09,2.69952e+06,9.31103e+08,1.87746e+10,0,0,7.1977e+06,2.1469e+10,
64.9445,34.9891,0,0,0.0117188,0.0546563,2.48495e+08,7424,3626.94,943.219,1.5331e+09,2.8265e+06,1.05441e+09,1.84407e+10,0,0,7.1977e+06,2.1469e+10,
66.4133,33.4622,0,0,0.03125,0.0935312,2.46075e+08,9472,3902.56,990.719,1.78534e+09,2.9545e+06,1.17614e+09,1.80666e+10,0,0,7.1977e+06,2.1469e+10,
68.4048,31.4859,0,0,0.0351562,0.0741875,2.45487e+08,11264,3673.22,987.562,2.02819e+09,3.0848e+06,1.298e+09,1.77018e+10,0,0,7.1977e+06,2.1469e+10,
69.1265,30.7721,0,0,0.0195312,0.0819688,2.4556e+08,21248,3787.06,934.875,2.2915e+09,3.21536e+06,1.41939e+09,1.7317e+10,0,0,7.1977e+06,2.1469e+10,
70.9465,28.9287,0,0,0.0117188,0.113281,2.46506e+08,7424,3840.81,995.25,2.56771e+09,3.34566e+06,1.54141e+09,1.69186e+10,0,0,7.1977e+06,2.1469e+10,
71.869,27.9945,0,0,0.015625,0.121031,2.49623e+08,14848,3917.81,1015.5,2.82006e+09,3.47674e+06,1.66504e+09,1.65425e+10,0,0,7.1977e+06,2.1469e+10,
74.4447,25.3798,0,0,0.03125,0.144437,2.49934e+08,7168,4709.19,912.625,3.0216e+09,3.6087e+06,1.78893e+09,1.62169e+10,0,0,7.1977e+06,2.1469e+10,
77.181,22.6473,0,0,0.0195312,0.152313,2.48381e+08,12288,4025.84,1036.47,3.14808e+09,3.74387e+06,1.91197e+09,1.59673e+10,0,0,7.1977e+06,2.1469e+10,
79.3268,20.4665,0,0,0.0351562,0.171719,2.4573e+08,31744,4344.81,1446.78,3.22162e+09,3.87955e+06,2.03367e+09,1.57719e+10,0,0,7.1977e+06,2.1469e+10,
80.711,19.098,0,0,0.0273438,0.163906,2.48859e+08,23296,4409.5,984.781,3.26439e+09,4.02598e+06,2.1569e+09,1.56058e+10,0,0,7.1977e+06,2.1469e+10,
81.364,18.4487,0,0,0.0117188,0.175719,2.48954e+08,8448,4175.81,996.781,3.28548e+09,4.15987e+06,2.2805e+09,1.54609e+10,0,0,7.1977e+06,2.1469e+10,
81.853,17.948,0,0,0.0117188,0.187438,2.51178e+08,9216,4216.59,1051.59,3.29746e+09,4.29517e+06,2.4043e+09,1.5325e+10,0,0,7.1977e+06,2.1469e+10,
82.1723,17.6052,0.00390625,0,0.0273438,0.191312,2.48599e+08,18176,5281.22,1214.28,3.26683e+09,4.43072e+06,2.5277e+09,1.52321e+10,0,0,7.1977e+06,2.1469e+10,
81.9733,17.7927,0.0078125,0,0.03125,0.195219,2.45488e+08,20992,10357.1,13600.8,3.23288e+09,4.56102e+06,2.64934e+09,1.51443e+10,0,0,7.1977e+06,2.1469e+10,
82.0512,17.7498,0,0,0.0234375,0.175719,2.44968e+08,25088,18575.2,22412.5,3.23328e+09,4.69184e+06,2.77065e+09,1.50225e+10,0,0,7.1977e+06,2.1469e+10,
81.8304,17.955,0,0,0.0117188,0.203,2.48627e+08,62464,18384.1,19595.6,3.19939e+09,4.82291e+06,2.89389e+09,1.4933e+10,0,0,7.1977e+06,2.1469e+10,
81.8929,17.9003,0,0,0.0195312,0.187438,2.47897e+08,89088,17388.2,5094.72,3.20073e+09,4.95334e+06,3.01676e+09,1.48086e+10,0,0,7.1977e+06,2.1469e+10,
82.0553,17.738,0,0,0.0195312,0.187406,2.48598e+08,53760,24092.5,5406.28,3.20133e+09,5.08659e+06,3.13957e+09,1.46851e+10,0,0,7.1977e+06,2.1469e+10,
81.5984,18.1752,0.0078125,0,0.0273438,0.191344,2.45697e+08,100864,29284.8,28896,3.13305e+09,5.21946e+06,3.26093e+09,1.46319e+10,0,0,7.1977e+06,2.1469e+10,
81.1717,18.5436,0.0585312,0,0.0234375,0.202875,2.45125e+08,296960,24303.6,35398.4,3.10352e+09,5.35334e+06,3.38298e+09,1.45392e+10,0,0,7.1977e+06,2.1469e+10,
81.1752,18.5867,0.0624688,0.0078125,0.015625,0.15225,2.46905e+08,90624,28985.2,35597,3.08044e+09,5.48787e+06,3.50518e+09,1.444e+10,0,0,7.1977e+06,2.1469e+10,
81.3473,18.4537,0.00390625,0.00390625,0.0234375,0.167938,2.51677e+08,107264,29701.8,34825.4,3.08952e+09,5.62829e+06,3.63021e+09,1.43057e+10,0,0,7.1977e+06,2.1469e+10,
80.8552,18.9262,0.0078125,0,0.0234375,0.187375,2.48156e+08,45568,52434.5,37470.8,3.02979e+09,5.76346e+06,3.75254e+09,1.4243e+10,0,0,7.1977e+06,2.1469e+10,
80.5599,19.1236,0.0156563,0.117344,0.03125,0.152281,2.46177e+08,158720,59028.7,40983.7,2.99839e+09,5.91667e+06,3.87489e+09,1.41519e+10,0,0,7.1977e+06,2.1469e+10,
80.3172,19.3903,0.0429375,0.0507187,0.0234375,0.17575,2.4431e+08,67840,95825.2,68628.5,2.90958e+09,6.06566e+06,3.99575e+09,1.41197e+10,0,0,7.1977e+06,2.1469e+10,
80.6712,18.9855,0.05075,0.074125,0.015625,0.202937,2.47617e+08,49408,118418,114675,2.71609e+09,6.19942e+06,4.11843e+09,1.41904e+10,0,0,7.1977e+06,2.1469e+10,
80.6575,18.9563,0.191219,0.0155937,0.0195312,0.160062,2.48952e+08,68608,133933,125160,2.52883e+09,6.33242e+06,4.24152e+09,1.42544e+10,0,0,7.1977e+06,2.1469e+10,
80.5924,19.1853,0.00778125,0.031125,0.0429688,0.140625,2.49824e+08,34560,141166,111126,2.5464e+09,6.46746e+06,4.36526e+09,1.4113e+10,0,0,7.1977e+06,2.1469e+10,
81.1982,18.4077,0.105375,0.105344,0.015625,0.167906,2.42856e+08,65024,101413,84696.4,2.48581e+09,6.61146e+06,4.48537e+09,1.40533e+10,0,0,7.1977e+06,2.1469e+10,
