"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven17",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/eclipseWcWTO-250gb-128mb-1-raven17.csv",,,,"Date:","16 Aug 2016 14:55:49 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
1.222,0.149,98.335,0.272,0.003,0.019,918760.469,1191590.164,0.0,0.0,413310976.0,1671168.0,38916096.0,20577185792.0,0.0,0.062,196608.0,21475966976.0,
15.605,8.739,74.282,0.624,0.0,0.749,40960.0,0.0,5020.0,688.0,413134848.0,1691648.0,39079936.0,20577177600.0,0.0,0.0,196608.0,21475966976.0,
15.481,8.989,74.906,0.0,0.0,0.624,0.0,0.0,4324.0,498.0,413130752.0,1691648.0,39088128.0,20577173504.0,0.0,0.0,196608.0,21475966976.0,
16.0,8.250,75.125,0.0,0.0,0.625,0.0,0.0,4766.0,506.0,412749824.0,1691648.0,39129088.0,20577513472.0,0.0,0.0,196608.0,21475966976.0,
24.159,13.948,61.021,0.125,0.125,0.623,24576.0,475136.0,4202.0,428.0,412491776.0,1716224.0,39501824.0,20577374208.0,0.0,0.0,196608.0,21475966976.0,
62.375,37.625,0.0,0.0,0.0,0.0,16384.0,90112.0,373162.0,11570.0,412479488.0,1736704.0,39477248.0,20577390592.0,0.0,0.0,196608.0,21475966976.0,
63.0,37.0,0.0,0.0,0.0,0.0,8192.0,0.0,3038.0,498.0,412479488.0,1740800.0,39473152.0,20577390592.0,0.0,0.0,196608.0,21475966976.0,
61.347,38.529,0.0,0.0,0.0,0.125,1564672.0,0.0,3102.0,428.0,413687808.0,1753088.0,40251392.0,20575391744.0,0.0,0.0,196608.0,21475966976.0,
62.250,37.625,0.0,0.0,0.0,0.125,5242880.0,0.0,4078.0,530.0,418566144.0,1753088.0,42635264.0,20568129536.0,0.0,0.0,196608.0,21475966976.0,
62.297,37.578,0.0,0.0,0.0,0.125,3178496.0,24576.0,4574.0,498.0,422535168.0,1777664.0,44183552.0,20562587648.0,0.0,0.0,196608.0,21475966976.0,
62.0,38.0,0.0,0.0,0.0,0.0,17842176.0,40960.0,4860.0,428.0,442019840.0,1810432.0,53686272.0,20533567488.0,0.0,0.0,196608.0,21475966976.0,
62.921,36.829,0.0,0.0,0.125,0.125,139550720.0,0.0,3102.0,428.0,594591744.0,1921024.0,123170816.0,20311400448.0,0.0,0.0,196608.0,21475966976.0,
62.921,36.954,0.0,0.0,0.0,0.125,184713216.0,0.0,3940.0,498.0,796975104.0,2039808.0,215228416.0,20016840704.0,0.0,0.0,196608.0,21475966976.0,
64.375,35.375,0.0,0.0,0.0,0.250,175333376.0,0.0,3166.0,506.0,985935872.0,2146304.0,302936064.0,19740065792.0,0.0,0.0,196608.0,21475966976.0,
63.375,36.500,0.0,0.0,0.0,0.125,182894592.0,0.0,3294.0,428.0,1185615872.0,2236416.0,394256384.0,19448975360.0,0.0,0.0,196608.0,21475966976.0,
64.544,35.331,0.0,0.0,0.0,0.125,188416000.0,0.0,3620.0,498.0,1392680960.0,2334720.0,488439808.0,19147628544.0,0.0,0.0,196608.0,21475966976.0,
63.466,36.284,0.0,0.0,0.125,0.125,168722432.0,40960.0,4766.0,492.0,1573588992.0,2424832.0,572579840.0,18882490368.0,0.0,0.0,196608.0,21475966976.0,
64.956,34.919,0.0,0.0,0.0,0.125,182353920.0,0.0,3102.0,428.0,1773264896.0,2506752.0,663830528.0,18591481856.0,0.0,0.0,196608.0,21475966976.0,
64.419,35.331,0.0,0.0,0.125,0.125,189726720.0,40960.0,4836.0,492.0,1981337600.0,2613248.0,758284288.0,18288848896.0,0.0,0.0,196608.0,21475966976.0,
65.668,34.207,0.0,0.0,0.0,0.125,182886400.0,0.0,3166.0,498.0,2177810432.0,2699264.0,850096128.0,18000478208.0,0.0,0.0,196608.0,21475966976.0,
64.045,35.705,0.0,0.0,0.0,0.250,184991744.0,8192.0,4446.0,492.0,2380042240.0,2797568.0,942174208.0,17706070016.0,0.0,0.0,196608.0,21475966976.0,
65.418,34.457,0.0,0.0,0.0,0.125,167444480.0,32768.0,4452.0,492.0,2559741952.0,2879488.0,1026134016.0,17442328576.0,0.0,0.0,196608.0,21475966976.0,
67.250,32.625,0.0,0.0,0.0,0.125,174956544.0,0.0,4190.0,562.0,2747031552.0,2949120.0,1113075712.0,17168027648.0,0.0,0.0,196608.0,21475966976.0,
88.375,11.375,0.0,0.0,0.0,0.250,0.0,0.0,3678.0,506.0,2747695104.0,2949120.0,1113264128.0,17167175680.0,0.0,0.0,196608.0,21475966976.0,
80.275,19.476,0.0,0.0,0.0,0.250,0.0,688128.0,4900.0,562.0,2747830272.0,2949120.0,1113264128.0,17167040512.0,0.0,0.0,196608.0,21475966976.0,
80.400,19.600,0.0,0.0,0.0,0.0,0.0,40960.0,3230.0,428.0,2747957248.0,2957312.0,1113255936.0,17166913536.0,0.0,0.0,196608.0,21475966976.0,
79.526,20.225,0.0,0.0,0.0,0.250,0.0,0.0,19402.0,3078.0,2747932672.0,2957312.0,1113255936.0,17166938112.0,0.0,0.0,196608.0,21475966976.0,
80.400,19.476,0.0,0.0,0.0,0.125,0.0,0.0,4272.0,1220.0,2747715584.0,2957312.0,1113268224.0,17167142912.0,0.0,0.0,196608.0,21475966976.0,
80.726,19.149,0.0,0.0,0.0,0.125,0.0,24576.0,3962.0,530.0,2747850752.0,2965504.0,1113260032.0,17167007744.0,0.0,0.0,196608.0,21475966976.0,
79.800,19.950,0.0,0.0,0.0,0.249,0.0,16384.0,3790.0,16380.0,2747953152.0,2965504.0,1113268224.0,17166897152.0,0.0,0.0,196608.0,21475966976.0,
80.649,19.226,0.0,0.0,0.0,0.125,0.0,57344.0,4580.0,562.0,2747969536.0,2973696.0,1113260032.0,17166880768.0,0.0,0.0,196608.0,21475966976.0,
80.025,19.850,0.0,0.0,0.0,0.125,0.0,0.0,12634.0,2146.0,2747719680.0,2973696.0,1113268224.0,17167122432.0,0.0,0.0,196608.0,21475966976.0,
79.500,20.375,0.0,0.0,0.0,0.125,0.0,0.0,18314.0,3014.0,2745696256.0,2973696.0,1113268224.0,17169145856.0,0.0,0.0,196608.0,21475966976.0,
80.025,19.850,0.0,0.0,0.0,0.125,0.0,0.0,39666.0,8496.0,2745745408.0,2973696.0,1113272320.0,17169092608.0,0.0,0.0,196608.0,21475966976.0,
80.025,19.725,0.0,0.0,0.0,0.250,0.0,57344.0,7944.0,1290.0,2745872384.0,2981888.0,1113264128.0,17168965632.0,0.0,0.0,196608.0,21475966976.0,
77.625,22.250,0.0,0.0,0.0,0.125,0.0,32768.0,23380.0,4668.0,2747965440.0,2990080.0,1113264128.0,17166864384.0,0.0,0.0,196608.0,21475966976.0,
79.750,20.125,0.0,0.0,0.0,0.125,0.0,0.0,34422.0,6624.0,2747957248.0,2990080.0,1113264128.0,17166872576.0,0.0,0.0,196608.0,21475966976.0,
78.402,21.473,0.0,0.0,0.0,0.125,0.0,0.0,43582.0,7674.0,2747940864.0,2990080.0,1113272320.0,17166880768.0,0.0,0.0,196608.0,21475966976.0,
77.029,22.846,0.0,0.0,0.0,0.125,0.0,0.0,54750.0,11958.0,2747932672.0,2990080.0,1113272320.0,17166888960.0,0.0,0.0,196608.0,21475966976.0,
