"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/eclipseWcWTO-250gb-128mb-1-ravenleader.csv",,,,"Date:","16 Aug 2016 14:55:47 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.706,0.461,98.386,0.305,0.010,0.133,4071631.026,801301.592,0.0,0.0,2309668864.0,1992945664.0,9537638400.0,7190843392.0,237.476,5043.085,830459904.0,20143960064.0,
18.773,15.269,61.952,0.0,0.125,3.880,0.0,0.0,239174.0,2258782.0,2316406784.0,1992945664.0,9537630208.0,7184113664.0,0.0,0.0,830459904.0,20143960064.0,
12.500,12.625,74.875,0.0,0.0,0.0,0.0,0.0,3447384.0,59187158.0,2315665408.0,1992945664.0,9537581056.0,7184904192.0,0.0,0.0,830459904.0,20143960064.0,
12.484,12.484,74.906,0.0,0.125,0.0,0.0,0.0,25866.0,120596.0,2315534336.0,1992945664.0,9537585152.0,7185031168.0,0.0,0.0,830459904.0,20143960064.0,
12.594,12.469,74.813,0.0,0.0,0.125,0.0,0.0,17638.0,98420.0,2315272192.0,1992945664.0,9537585152.0,7185293312.0,0.0,0.0,830459904.0,20143960064.0,
12.360,12.609,74.906,0.125,0.0,0.0,0.0,835584.0,25402.0,101166.0,2315018240.0,1992949760.0,9537581056.0,7185547264.0,0.0,0.0,830459904.0,20143960064.0,
12.734,12.235,74.532,0.0,0.0,0.499,0.0,24576.0,18730.0,114618.0,2313965568.0,1992957952.0,9537576960.0,7186595840.0,0.0,0.0,830459904.0,20143960064.0,
12.500,12.500,75.0,0.0,0.0,0.0,0.0,0.0,359368.0,11486154.0,2313830400.0,1992957952.0,9537585152.0,7186722816.0,0.0,0.0,830459904.0,20143960064.0,
12.360,12.609,75.031,0.0,0.0,0.0,0.0,0.0,14422.0,95754.0,2313531392.0,1992957952.0,9537589248.0,7187017728.0,0.0,0.0,830459904.0,20143960064.0,
12.500,12.500,74.875,0.0,0.0,0.125,0.0,0.0,28074.0,481936.0,2313404416.0,1992957952.0,9537589248.0,7187144704.0,0.0,0.0,830459904.0,20143960064.0,
12.500,12.500,75.0,0.0,0.0,0.0,0.0,32768.0,16000.0,96442.0,2312720384.0,1992962048.0,9537585152.0,7187828736.0,0.0,0.0,830459904.0,20143960064.0,
12.469,12.469,74.938,0.0,0.0,0.125,0.0,630784.0,16392.0,95976.0,2312589312.0,1992962048.0,9537589248.0,7187955712.0,0.0,0.0,830459904.0,20143960064.0,
12.500,12.500,75.0,0.0,0.0,0.0,0.0,0.0,16202.0,114396.0,2312032256.0,1992962048.0,9537589248.0,7188512768.0,0.0,0.0,830459904.0,20143960064.0,
12.594,12.469,74.813,0.0,0.0,0.125,0.0,0.0,19104.0,96254.0,2311905280.0,1992962048.0,9537589248.0,7188639744.0,0.0,0.0,830459904.0,20143960064.0,
12.500,12.500,75.0,0.0,0.0,0.0,0.0,0.0,15854.0,96100.0,2311356416.0,1992962048.0,9537589248.0,7189188608.0,0.0,0.0,830459904.0,20143960064.0,
12.390,12.516,75.094,0.0,0.0,0.0,0.0,32768.0,15018.0,114762.0,2311356416.0,1992966144.0,9537585152.0,7189188608.0,0.0,0.0,830459904.0,20143960064.0,
12.484,12.484,74.906,0.0,0.0,0.125,0.0,1499136.0,18002.0,96056.0,2310836224.0,1992966144.0,9537589248.0,7189704704.0,0.0,0.0,830459904.0,20143960064.0,
12.594,12.469,74.813,0.0,0.125,0.0,0.0,0.0,15194.0,96082.0,2310709248.0,1992966144.0,9537589248.0,7189831680.0,0.0,0.0,830459904.0,20143960064.0,
12.500,12.500,75.0,0.0,0.0,0.0,0.0,0.0,16728.0,114394.0,2310057984.0,1992966144.0,9537589248.0,7190482944.0,0.0,0.0,830459904.0,20143960064.0,
12.360,12.609,74.906,0.0,0.0,0.125,0.0,0.0,17272.0,96030.0,2309931008.0,1992966144.0,9537589248.0,7190609920.0,0.0,0.0,830459904.0,20143960064.0,
12.500,12.500,75.0,0.0,0.0,0.0,0.0,65536.0,16308.0,96072.0,2309804032.0,1992966144.0,9537589248.0,7190736896.0,0.0,0.0,830459904.0,20143960064.0,
12.469,12.594,74.813,0.0,0.0,0.125,0.0,0.0,15100.0,114570.0,2309677056.0,1992966144.0,9537589248.0,7190863872.0,0.0,0.0,830459904.0,20143960064.0,
12.500,12.500,75.0,0.0,0.0,0.0,0.0,0.0,17776.0,95754.0,2309287936.0,1992966144.0,9537589248.0,7191252992.0,0.0,0.0,830459904.0,20143960064.0,
12.360,12.609,74.906,0.0,0.0,0.125,0.0,0.0,17472.0,98658.0,2309038080.0,1992966144.0,9537589248.0,7191502848.0,0.0,0.0,830459904.0,20143960064.0,
12.484,12.484,75.031,0.0,0.0,0.0,0.0,0.0,16595.0,114506.0,2308923392.0,1992966144.0,9537589248.0,7191617536.0,0.0,0.0,830459904.0,20143960064.0,
12.484,12.609,74.906,0.0,0.0,0.0,0.0,57344.0,17694.0,96266.0,2308894720.0,1992970240.0,9537585152.0,7191646208.0,0.0,0.0,830459904.0,20143960064.0,
12.360,12.609,74.906,0.0,0.0,0.125,0.0,8192.0,16096.0,96050.0,2308870144.0,1992970240.0,9537593344.0,7191662592.0,0.0,0.0,830459904.0,20143960064.0,
12.500,12.500,74.875,0.0,0.0,0.125,0.0,32768.0,59658.0,97680.0,2308743168.0,1992970240.0,9537593344.0,7191789568.0,0.0,0.0,830459904.0,20143960064.0,
12.500,12.500,75.0,0.0,0.0,0.0,0.0,0.0,160918.0,120002.0,2308603904.0,1992974336.0,9537728512.0,7191789568.0,0.0,0.0,830459904.0,20143960064.0,
