"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
14.7994,9.49612,74.8966,0.0429375,0.0078125,0.757094,2048,0,81091.2,5797,3.18633e+08,1.60717e+06,3.75002e+07,2.06733e+10,0,0,7.1977e+06,2.1469e+10,
14.9116,9.55303,74.4975,0.316031,0.00390625,0.717969,127744,16896,4364.47,466.375,3.18702e+08,1.61779e+06,3.76064e+07,2.06732e+10,0,0,7.1977e+06,2.1469e+10,
14.8745,9.45716,74.7827,0.167656,0.0117188,0.706375,53248,0,4212.97,750.062,3.18207e+08,1.62573e+06,3.7633e+07,2.06736e+10,0,0,7.1977e+06,2.1469e+10,
16.2109,10.2626,72.6952,0.0775313,0.0078125,0.746,186112,26624,15701.3,863.375,3.18206e+08,1.63085e+06,3.78033e+07,2.06734e+10,0,0,7.1977e+06,2.1469e+10,
57.3367,33.8011,8.59275,0.179813,0,0.089875,4.93158e+06,455424,291784,8892.19,3.23477e+08,1.6759e+06,4.04796e+07,2.06655e+10,0,0,7.1977e+06,2.1469e+10,
63.0372,36.9355,0,0,0.00390625,0.0234375,1.29408e+07,0,60620.8,2131.44,3.3735e+08,1.6887e+06,4.69466e+07,2.06451e+10,0,0,7.1977e+06,2.1469e+10,
63.1404,36.8245,0,0,0.0078125,0.0273438,1.57716e+07,10496,14754.3,794,3.54309e+08,1.70944e+06,5.48677e+07,2.06202e+10,0,0,7.1977e+06,2.1469e+10,
63.0873,36.8698,0,0,0.0078125,0.0351562,2.97851e+07,0,3401.09,509.312,3.86605e+08,1.73325e+06,6.96879e+07,2.05731e+10,0,0,7.1977e+06,2.1469e+10,
63.5971,36.3561,0,0,0.015625,0.03125,4.90076e+07,6912,4213,461.312,4.40073e+08,1.77306e+06,9.4177e+07,2.04951e+10,0,0,7.1977e+06,2.1469e+10,
63.8752,36.0819,0,0,0.0078125,0.0351562,7.87331e+07,53504,3811.38,485.25,5.259e+08,1.84013e+06,1.33542e+08,2.03698e+10,0,0,7.1977e+06,2.1469e+10,
64.3107,35.5917,0,0,0.0234375,0.0741875,1.06475e+08,12544,3788.56,502.062,6.41884e+08,1.90733e+06,1.86746e+08,2.02005e+10,0,0,7.1977e+06,2.1469e+10,
64.4658,35.4367,0,0,0.0351562,0.0625,1.34905e+08,10240,3329.47,470.562,7.88968e+08,1.98912e+06,2.54156e+08,1.9986e+10,0,0,7.1977e+06,2.1469e+10,
64.9782,34.9087,0,0,0.0234375,0.0898125,1.62397e+08,16128,3283.41,481.062,9.66331e+08,2.09613e+06,3.35224e+08,1.97274e+10,0,0,7.1977e+06,2.1469e+10,
65.2706,34.628,0,0,0.0273438,0.0742188,1.7076e+08,1280,3468.81,509.25,1.15206e+09,2.18381e+06,4.20584e+08,1.94563e+10,0,0,7.1977e+06,2.1469e+10,
66.0617,33.8329,0,0,0.015625,0.0898438,1.77533e+08,20736,3204.19,480.812,1.3446e+09,2.27686e+06,5.09269e+08,1.91749e+10,0,0,7.1977e+06,2.1469e+10,
65.978,33.897,0,0,0.03125,0.09375,1.74e+08,43008,3921.97,489.75,1.53415e+09,2.37146e+06,5.96145e+08,1.88984e+10,0,0,7.1977e+06,2.1469e+10,
66.682,33.1892,0,0,0.0390625,0.0898125,1.79128e+08,12800,3600.91,459.938,1.72866e+09,2.45875e+06,6.85644e+08,1.86143e+10,0,0,7.1977e+06,2.1469e+10,
