"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven11",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/eclipseWcWTOWPF-250gb-128mb-1-raven11.csv",,,,"Date:","17 Aug 2016 08:42:27 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
1.228,0.155,98.276,0.319,0.003,0.020,1045917.310,1255848.441,0.0,0.0,869392384.0,2166784.0,484732928.0,19674791936.0,0.172,1.713,5541888.0,21470621696.0,
13.092,11.471,62.344,12.344,0.0,0.748,264544256.0,0.0,3645.0,1620.0,869490688.0,2310144.0,615886848.0,19543396352.0,0.0,0.0,5541888.0,21470621696.0,
13.983,10.612,62.422,12.235,0.0,0.749,271876096.0,0.0,3733.0,817.0,869339136.0,2453504.0,753414144.0,19405877248.0,0.0,0.0,5541888.0,21470621696.0,
46.941,31.336,17.853,3.496,0.0,0.375,143818752.0,483328.0,370893.0,11493.0,869027840.0,2543616.0,822005760.0,19337506816.0,0.0,0.0,5541888.0,21470621696.0,
60.500,39.375,0.0,0.0,0.125,0.0,249176064.0,0.0,5823.0,1346.0,877842432.0,2682880.0,948232192.0,19202326528.0,0.0,0.0,5541888.0,21470621696.0,
63.046,36.829,0.0,0.0,0.0,0.125,244449280.0,0.0,3733.0,747.0,1197408256.0,2805760.0,1069178880.0,18761691136.0,0.0,0.0,5541888.0,21470621696.0,
65.668,34.082,0.0,0.0,0.125,0.125,270721024.0,0.0,6295.0,1277.0,1613926400.0,2945024.0,1202569216.0,18211643392.0,0.0,0.0,5541888.0,21470621696.0,
65.543,34.207,0.0,0.0,0.125,0.125,257179648.0,0.0,3327.0,1282.0,1935417344.0,3076096.0,1329315840.0,17763274752.0,0.0,0.0,5541888.0,21470621696.0,
65.500,34.500,0.0,0.0,0.0,0.0,270843904.0,73728.0,3861.0,817.0,2259525632.0,3239936.0,1462554624.0,17305763840.0,0.0,0.0,5541888.0,21470621696.0,
65.750,34.0,0.0,0.0,0.0,0.250,263487488.0,0.0,3151.0,747.0,2577952768.0,3379200.0,1593647104.0,16856104960.0,0.0,0.0,5541888.0,21470621696.0,
64.464,35.287,0.0,0.0,0.125,0.125,278175744.0,0.0,3391.0,1282.0,2897002496.0,3522560.0,1731416064.0,16399142912.0,0.0,0.0,5541888.0,21470621696.0,
67.250,32.625,0.0,0.0,0.0,0.125,277225472.0,0.0,4063.0,997.0,3198599168.0,3665920.0,1870659584.0,15958159360.0,0.0,0.0,5541888.0,21470621696.0,
79.526,20.225,0.0,0.0,0.0,0.250,281223168.0,0.0,6573.0,811.0,3213705216.0,3809280.0,2008227840.0,15805341696.0,0.0,0.0,5541888.0,21470621696.0,
79.0,20.750,0.0,0.0,0.0,0.250,254042112.0,49152.0,3845.0,1352.0,3215163392.0,3952640.0,2134798336.0,15677169664.0,0.0,0.0,5541888.0,21470621696.0,
78.777,21.099,0.0,0.0,0.0,0.125,278175744.0,0.0,5839.0,811.0,3215044608.0,4096000.0,2272448512.0,15539494912.0,0.0,0.0,5541888.0,21470621696.0,
78.875,20.750,0.0,0.0,0.0,0.375,271876096.0,0.0,3215.0,747.0,3215650816.0,4235264.0,2407297024.0,15403900928.0,0.0,0.0,5541888.0,21470621696.0,
78.554,21.197,0.0,0.0,0.125,0.125,278175744.0,24576.0,6533.0,1416.0,3215495168.0,4386816.0,2544955392.0,15266246656.0,0.0,0.0,5541888.0,21470621696.0,
78.777,20.974,0.0,0.0,0.0,0.250,266739712.0,0.0,5199.0,811.0,3216007168.0,4530176.0,2680070144.0,15130476544.0,0.0,0.0,5541888.0,21470621696.0,
79.125,20.750,0.0,0.0,0.0,0.125,254033920.0,40960.0,5542.0,811.0,3216322560.0,4669440.0,2805112832.0,15004979200.0,0.0,0.0,5541888.0,21470621696.0,
79.526,20.225,0.0,0.0,0.0,0.250,264527872.0,0.0,5821.0,1352.0,3216678912.0,4804608.0,2936049664.0,14873550848.0,0.0,0.0,5541888.0,21470621696.0,
78.875,20.875,0.0,0.0,0.0,0.250,268730368.0,0.0,4943.0,811.0,3216801792.0,4943872.0,3069222912.0,14740115456.0,0.0,0.0,5541888.0,21470621696.0,
78.652,20.974,0.0,0.0,0.125,0.250,260456448.0,24576.0,5647.0,825.0,3217575936.0,5087232.0,3195830272.0,14612590592.0,0.0,0.0,5541888.0,21470621696.0,
79.177,20.574,0.0,0.0,0.0,0.249,269713408.0,0.0,3781.0,1352.0,3217244160.0,5226496.0,3329626112.0,14478987264.0,0.0,0.0,5541888.0,21470621696.0,
