"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/eclipseWcWTOWPF-250gb-128mb-1-ravenleader.csv",,,,"Date:","17 Aug 2016 08:42:24 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.706,0.467,98.384,0.299,0.010,0.133,3991288.929,794176.454,0.0,0.0,3019046912.0,2179756032.0,9914548224.0,5917745152.0,233.007,4943.468,830410752.0,20144009216.0,
18.227,14.482,62.672,0.0,0.125,4.494,0.0,0.0,3479930.0,60424606.0,3025235968.0,2179756032.0,9914531840.0,5911572480.0,0.0,0.0,830410752.0,20144009216.0,
18.851,5.993,74.657,0.0,0.0,0.499,0.0,0.0,73620.0,206434.0,3025108992.0,2179756032.0,9914531840.0,5911699456.0,0.0,0.0,830410752.0,20144009216.0,
19.250,5.750,74.750,0.0,0.0,0.250,0.0,0.0,42237.0,123232.0,3024523264.0,2179756032.0,9914531840.0,5912285184.0,0.0,0.0,830410752.0,20144009216.0,
19.077,5.362,74.813,0.0,0.0,0.748,0.0,212992.0,32622.0,101764.0,3024531456.0,2179760128.0,9914527744.0,5912276992.0,0.0,0.0,830410752.0,20144009216.0,
19.226,5.243,74.782,0.125,0.125,0.499,0.0,573440.0,34606.0,120010.0,3023872000.0,2179760128.0,9914527744.0,5912936448.0,0.0,0.0,830410752.0,20144009216.0,
19.0,5.750,74.500,0.0,0.0,0.750,0.0,24576.0,388755.0,11859328.0,3023478784.0,2179768320.0,9914531840.0,5913317376.0,0.0,0.0,830410752.0,20144009216.0,
19.476,5.119,74.782,0.0,0.0,0.624,0.0,0.0,28327.0,100129.0,3022716928.0,2179768320.0,9914531840.0,5914079232.0,0.0,0.0,830410752.0,20144009216.0,
18.953,5.736,74.813,0.0,0.0,0.499,0.0,0.0,33064.0,119626.0,3022716928.0,2179768320.0,9914531840.0,5914079232.0,0.0,0.0,830410752.0,20144009216.0,
19.101,5.618,74.782,0.0,0.0,0.499,0.0,57344.0,36957.0,101566.0,3022032896.0,2179772416.0,9914527744.0,5914763264.0,0.0,0.0,830410752.0,20144009216.0,
19.274,5.257,75.094,0.0,0.0,0.375,0.0,0.0,31312.0,100372.0,3021901824.0,2179772416.0,9914531840.0,5914890240.0,0.0,0.0,830410752.0,20144009216.0,
18.976,5.868,74.782,0.0,0.0,0.375,0.0,24576.0,30808.0,119356.0,3021336576.0,2179772416.0,9914531840.0,5915455488.0,0.0,0.0,830410752.0,20144009216.0,
19.202,5.486,74.813,0.0,0.0,0.499,0.0,0.0,36437.0,101402.0,3021336576.0,2179772416.0,9914531840.0,5915455488.0,0.0,0.0,830410752.0,20144009216.0,
19.274,5.257,74.969,0.0,0.0,0.501,0.0,0.0,28083.0,100075.0,3020668928.0,2179772416.0,9914531840.0,5916123136.0,0.0,0.0,830410752.0,20144009216.0,
19.226,5.618,74.782,0.0,0.0,0.375,0.0,40960.0,32154.0,119214.0,3020550144.0,2179772416.0,9914531840.0,5916241920.0,0.0,0.0,830410752.0,20144009216.0,
19.125,5.500,74.875,0.0,0.0,0.500,0.0,0.0,33785.0,101274.0,3020161024.0,2179772416.0,9914531840.0,5916631040.0,0.0,0.0,830410752.0,20144009216.0,
19.226,5.493,74.906,0.0,0.0,0.375,0.0,0.0,31214.0,100081.0,3020161024.0,2179772416.0,9914531840.0,5916631040.0,0.0,0.0,830410752.0,20144009216.0,
18.976,5.618,74.782,0.0,0.0,0.624,0.0,24576.0,33434.0,120015.0,3019628544.0,2179772416.0,9914531840.0,5917163520.0,0.0,0.0,830410752.0,20144009216.0,
19.0,5.750,74.875,0.0,0.0,0.375,0.0,0.0,36656.0,101565.0,3019501568.0,2179772416.0,9914531840.0,5917290496.0,0.0,0.0,830410752.0,20144009216.0,
19.0,5.625,74.875,0.0,0.0,0.500,0.0,622592.0,32231.0,122470.0,3018739712.0,2179772416.0,9914531840.0,5918052352.0,0.0,0.0,830410752.0,20144009216.0,
19.202,5.611,74.688,0.0,0.0,0.499,0.0,0.0,33609.0,100594.0,3018739712.0,2179772416.0,9914531840.0,5918052352.0,0.0,0.0,830410752.0,20144009216.0,
19.250,5.500,74.875,0.0,0.0,0.375,0.0,0.0,36141.0,101400.0,3018215424.0,2179772416.0,9914531840.0,5918576640.0,0.0,0.0,830410752.0,20144009216.0,
19.226,5.493,74.782,0.0,0.0,0.499,0.0,0.0,32326.0,121230.0,3018113024.0,2179772416.0,9914531840.0,5918679040.0,0.0,0.0,830410752.0,20144009216.0,
19.0,5.625,75.0,0.0,0.0,0.375,0.0,0.0,34667.0,101148.0,3017949184.0,2179772416.0,9914531840.0,5918842880.0,0.0,0.0,830410752.0,20144009216.0,
18.828,5.985,74.564,0.0,0.0,0.623,0.0,90112.0,39691.0,106924.0,3018719232.0,2179772416.0,9914531840.0,5918072832.0,0.0,0.0,830410752.0,20144009216.0,
19.625,5.250,74.750,0.0,0.0,0.375,0.0,81920.0,31289.0,121102.0,3018432512.0,2179772416.0,9914535936.0,5918355456.0,0.0,0.0,830410752.0,20144009216.0,
19.250,5.375,74.875,0.0,0.0,0.500,0.0,0.0,32443.0,100690.0,3018432512.0,2179772416.0,9914535936.0,5918355456.0,0.0,0.0,830410752.0,20144009216.0,
19.101,5.618,74.407,0.250,0.0,0.624,0.0,1564672.0,180295.0,111646.0,3018424320.0,2179772416.0,9914552320.0,5918347264.0,0.0,0.0,830410752.0,20144009216.0,
19.226,5.618,74.782,0.0,0.0,0.375,0.0,794624.0,225439.0,126446.0,3018440704.0,2179776512.0,9914658816.0,5918220288.0,0.0,0.0,830410752.0,20144009216.0,
19.101,5.493,74.782,0.125,0.0,0.499,0.0,2654208.0,162167.0,105556.0,3018395648.0,2179776512.0,9914818560.0,5918105600.0,0.0,0.0,830410752.0,20144009216.0,
19.226,5.368,74.782,0.0,0.0,0.624,0.0,90112.0,103185.0,104284.0,3018100736.0,2179776512.0,9914990592.0,5918228480.0,0.0,0.0,830410752.0,20144009216.0,
19.650,5.131,74.718,0.0,0.0,0.501,0.0,0.0,105979.0,133648.0,3018211328.0,2179776512.0,9915006976.0,5918101504.0,0.0,0.0,830410752.0,20144009216.0,
19.701,4.988,74.813,0.0,0.0,0.499,0.0,0.0,472072.0,112435.0,3018145792.0,2179776512.0,9915072512.0,5918101504.0,0.0,0.0,830410752.0,20144009216.0,
19.226,5.493,74.657,0.0,0.0,0.624,0.0,98304.0,46679.0,215702.0,3018018816.0,2179780608.0,9915101184.0,5918195712.0,0.0,0.0,830410752.0,20144009216.0,
18.899,5.632,74.844,0.0,0.0,0.626,0.0,565248.0,112393.0,512084.0,3017879552.0,2179780608.0,9915125760.0,5918310400.0,0.0,0.0,830410752.0,20144009216.0,
19.101,5.493,74.657,0.0,0.125,0.624,0.0,0.0,124449.0,610934.0,3017752576.0,2179780608.0,9915125760.0,5918437376.0,0.0,0.0,830410752.0,20144009216.0,
19.202,5.486,74.564,0.0,0.0,0.748,0.0,0.0,180956.0,690076.0,3017752576.0,2179780608.0,9915125760.0,5918437376.0,0.0,0.0,830410752.0,20144009216.0,
18.875,5.625,74.750,0.0,0.0,0.750,0.0,65536.0,144001.0,651900.0,3017744384.0,2179784704.0,9915121664.0,5918445568.0,0.0,0.0,830410752.0,20144009216.0,
18.602,6.367,74.157,0.0,0.0,0.874,0.0,0.0,260943.0,566182.0,3017490432.0,2179784704.0,9915125760.0,5918695424.0,0.0,0.0,830410752.0,20144009216.0,
19.101,5.618,74.657,0.0,0.0,0.624,0.0,237568.0,129478.0,429828.0,3017490432.0,2179784704.0,9915125760.0,5918695424.0,0.0,0.0,830410752.0,20144009216.0,
18.773,5.757,74.969,0.0,0.0,0.501,0.0,0.0,60052.0,253240.0,3017617408.0,2179784704.0,9915125760.0,5918568448.0,0.0,0.0,830410752.0,20144009216.0,
18.727,5.993,74.782,0.0,0.0,0.499,0.0,0.0,54899.0,130742.0,3017539584.0,2179784704.0,9915125760.0,5918646272.0,0.0,0.0,830410752.0,20144009216.0,
18.976,5.493,74.782,0.0,0.0,0.749,0.0,81920.0,55153.0,140930.0,3017404416.0,2179784704.0,9915125760.0,5918781440.0,0.0,0.0,830410752.0,20144009216.0,
19.226,5.493,74.906,0.0,0.0,0.375,0.0,0.0,46669.0,138150.0,3017404416.0,2179784704.0,9915125760.0,5918781440.0,0.0,0.0,830410752.0,20144009216.0,
19.476,5.119,74.782,0.0,0.0,0.624,0.0,0.0,45197.0,116372.0,3017412608.0,2179784704.0,9915125760.0,5918773248.0,0.0,0.0,830410752.0,20144009216.0,
19.125,5.625,74.875,0.0,0.0,0.375,0.0,0.0,54776.0,140866.0,3017412608.0,2179784704.0,9915125760.0,5918773248.0,0.0,0.0,830410752.0,20144009216.0,
19.351,5.368,74.782,0.0,0.0,0.499,0.0,0.0,67926.0,148578.0,3017412608.0,2179784704.0,9915125760.0,5918773248.0,0.0,0.0,830410752.0,20144009216.0,
19.101,5.493,74.906,0.0,0.0,0.499,0.0,57344.0,49364.0,137960.0,3017539584.0,2179788800.0,9915121664.0,5918646272.0,0.0,0.0,830410752.0,20144009216.0,
19.125,5.500,74.875,0.0,0.0,0.500,0.0,0.0,47996.0,116880.0,3017527296.0,2179788800.0,9915133952.0,5918646272.0,0.0,0.0,830410752.0,20144009216.0,
19.101,5.493,74.782,0.0,0.0,0.624,0.0,0.0,45574.0,136632.0,3017641984.0,2179788800.0,9915133952.0,5918531584.0,0.0,0.0,830410752.0,20144009216.0,
19.375,5.250,74.875,0.0,0.0,0.500,0.0,0.0,37727.0,123836.0,3017519104.0,2179788800.0,9915133952.0,5918654464.0,0.0,0.0,830410752.0,20144009216.0,
19.226,5.368,74.782,0.0,0.0,0.624,0.0,73728.0,40196.0,123664.0,3017519104.0,2179788800.0,9915133952.0,5918654464.0,0.0,0.0,830410752.0,20144009216.0,
19.125,5.625,74.875,0.0,0.0,0.375,0.0,57344.0,38745.0,108460.0,3017392128.0,2179792896.0,9915129856.0,5918781440.0,0.0,0.0,830410752.0,20144009216.0,
19.625,5.250,74.625,0.0,0.0,0.500,0.0,0.0,48189.0,138516.0,3017515008.0,2179792896.0,9915133952.0,5918654464.0,0.0,0.0,830410752.0,20144009216.0,
18.953,5.736,74.688,0.0,0.125,0.499,0.0,0.0,56384.0,143294.0,3017265152.0,2179792896.0,9915138048.0,5918900224.0,0.0,0.0,830410752.0,20144009216.0,
19.250,5.250,74.875,0.0,0.0,0.625,0.0,32768.0,78492.0,174494.0,3017392128.0,2179796992.0,9915133952.0,5918773248.0,0.0,0.0,830410752.0,20144009216.0,
19.101,5.618,74.782,0.0,0.0,0.499,0.0,0.0,61455.0,155396.0,3017265152.0,2179796992.0,9915133952.0,5918900224.0,0.0,0.0,830410752.0,20144009216.0,
19.202,5.486,74.688,0.0,0.0,0.623,0.0,32768.0,190594.0,175402.0,3017515008.0,2179796992.0,9915138048.0,5918646272.0,0.0,0.0,830410752.0,20144009216.0,
19.125,5.500,74.750,0.0,0.0,0.625,0.0,0.0,283445.0,187482.0,3017453568.0,2179796992.0,9915199488.0,5918646272.0,0.0,0.0,830410752.0,20144009216.0,
18.727,5.868,74.782,0.0,0.0,0.624,0.0,917504.0,201281.0,201266.0,3017482240.0,2179796992.0,9915412480.0,5918404608.0,0.0,0.0,830410752.0,20144009216.0,
18.899,5.757,74.844,0.0,0.0,0.501,0.0,73728.0,147430.0,175216.0,3017412608.0,2179801088.0,9915478016.0,5918404608.0,0.0,0.0,830410752.0,20144009216.0,
19.351,5.368,74.657,0.0,0.0,0.624,0.0,0.0,139306.0,191300.0,3017355264.0,2179801088.0,9915518976.0,5918420992.0,0.0,0.0,830410752.0,20144009216.0,
18.750,5.875,74.750,0.0,0.0,0.625,0.0,630784.0,141629.0,178150.0,3017318400.0,2179809280.0,9915551744.0,5918416896.0,0.0,0.0,830410752.0,20144009216.0,
19.202,5.611,74.688,0.0,0.0,0.499,0.0,0.0,171422.0,203516.0,3017109504.0,2179809280.0,9915637760.0,5918539776.0,0.0,0.0,830410752.0,20144009216.0,
18.976,5.618,74.782,0.0,0.0,0.624,0.0,442368.0,126450.0,152374.0,3017244672.0,2179809280.0,9915637760.0,5918404608.0,0.0,0.0,830410752.0,20144009216.0,
19.250,5.250,74.875,0.0,0.0,0.625,0.0,0.0,84551.0,162834.0,3017052160.0,2179809280.0,9915699200.0,5918535680.0,0.0,0.0,830410752.0,20144009216.0,
