"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
13.8986,10.5931,62.9685,11.693,0.0195312,0.827469,2.48325e+08,0,4569.5,1357.97,9.55948e+08,2.1623e+06,4.69472e+08,1.96035e+10,0,0,7.1977e+06,2.1469e+10,
15.6178,11.1846,61.2287,11.2079,0.0117188,0.74925,2.42088e+08,58624,15555.9,1269.5,9.58146e+08,2.29133e+06,5.88982e+08,1.94817e+10,0,0,7.1977e+06,2.1469e+10,
26.8211,17.3196,46.7998,8.44688,0.015625,0.597219,1.97654e+08,112384,106896,3969,9.60614e+08,2.40102e+06,6.86591e+08,1.93815e+10,0,0,7.1977e+06,2.1469e+10,
45.0133,27.4576,23.0154,4.18313,0.0116562,0.31875,1.51202e+08,280832,107370,4112.94,9.82918e+08,2.49318e+06,7.60186e+08,1.92855e+10,0,0,7.1977e+06,2.1469e+10,
62.7714,37.0529,0.09375,0.015625,0.03125,0.0351562,9.46632e+07,26368,153416,5296.84,1.03806e+09,2.54515e+06,8.06925e+08,1.91836e+10,0,0,7.1977e+06,2.1469e+10,
63.488,36.4457,0,0,0.0117188,0.0546875,1.45409e+08,0,4421.06,935.438,1.12917e+09,2.62387e+06,8.7936e+08,1.90199e+10,0,0,7.1977e+06,2.1469e+10,
64.085,35.8174,0,0,0.0429688,0.0546875,2.33474e+08,3328,4145.31,1063.5,1.27542e+09,2.74816e+06,9.95481e+08,1.87574e+10,0,0,7.1977e+06,2.1469e+10,
64.8997,35.0068,0,0,0.0273438,0.0664062,2.46635e+08,21248,3728.41,940.031,1.48994e+09,2.88077e+06,1.11726e+09,1.8421e+10,0,0,7.1977e+06,2.1469e+10,
66.1493,33.7493,0,0,0.015625,0.0859375,2.4628e+08,41728,3477.22,963.5,1.76154e+09,3.02118e+06,1.2396e+09,1.80269e+10,0,0,7.1977e+06,2.1469e+10,
66.2661,33.6521,0,0,0.0273438,0.0546875,2.48569e+08,12288,3469.19,1023.53,2.05472e+09,3.15226e+06,1.36239e+09,1.76108e+10,0,0,7.1977e+06,2.1469e+10,
67.9829,31.8806,0,0,0.0390625,0.0976562,2.50926e+08,5376,3505.12,943.469,2.39987e+09,3.28307e+06,1.48685e+09,1.71411e+10,0,0,7.1977e+06,2.1469e+10,
69.3832,30.5116,0,0,0.015625,0.0898438,2.49491e+08,8448,4118.69,915.375,2.67443e+09,3.4135e+06,1.61003e+09,1.67432e+10,0,0,7.1977e+06,2.1469e+10,
70.1018,29.7929,0,0,0.0273438,0.0780938,2.4791e+08,14336,4603.66,1041.31,2.9243e+09,3.54534e+06,1.73308e+09,1.63702e+10,0,0,7.1977e+06,2.1469e+10,
72.7379,27.1099,0,0,0.0117188,0.140625,2.4406e+08,21248,4202.94,933.594,3.11925e+09,3.67642e+06,1.85373e+09,1.60544e+10,0,0,7.1977e+06,2.1469e+10,
76.251,23.5773,0,0,0.0429688,0.128781,2.47356e+08,16896,4441.19,940.812,3.22701e+09,3.80838e+06,1.9771e+09,1.58232e+10,0,0,7.1977e+06,2.1469e+10,
78.2787,21.5732,0,0,0.0195312,0.128844,2.47381e+08,9984,4258.06,1039.88,3.28864e+09,3.93766e+06,2.09909e+09,1.56394e+10,0,0,7.1977e+06,2.1469e+10,
80.5204,19.308,0,0,0.0234375,0.148406,2.4645e+08,1280,4807.16,1058.47,3.29836e+09,4.06848e+06,2.22125e+09,1.55074e+10,0,0,7.1977e+06,2.1469e+10,
80.7394,19.0616,0,0,0.0195312,0.179594,2.4715e+08,14080,4834.12,954.5,3.29857e+09,4.1984e+06,2.34347e+09,1.53848e+10,0,0,7.1977e+06,2.1469e+10,
80.7972,19.0233,0,0,0.0078125,0.171781,2.46904e+08,38400,4648.31,1081.12,3.29896e+09,4.34074e+06,2.46557e+09,1.52622e+10,0,0,7.1977e+06,2.1469e+10,
80.7806,19.0321,0,0,0.0234375,0.163937,2.4722e+08,15360,4529.28,949.844,3.29929e+09,4.48026e+06,2.58807e+09,1.51392e+10,0,0,7.1977e+06,2.1469e+10,
80.7723,19.0443,0,0,0.0390625,0.144469,2.47949e+08,13056,4640.81,983.688,3.29939e+09,4.61606e+06,2.71111e+09,1.5016e+10,0,0,7.1977e+06,2.1469e+10,
80.8523,18.9722,0,0,0.0234375,0.152187,2.4876e+08,12800,3980.59,1049.25,3.2997e+09,4.7584e+06,2.83419e+09,1.48924e+10,0,0,7.1977e+06,2.1469e+10,
