"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.0742188,0.39025,96.8466,2.65003,0,0.0390313,3.01338e+06,156928,4645.34,2055.62,1.0676e+09,2.16614e+06,4.36213e+08,1.95251e+10,0,0,6.83315e+06,2.14693e+10,
0.0585313,0.569813,97.041,2.27997,0.00390625,0.046875,1.94688e+06,229632,10906.5,832.469,1.06246e+09,2.2697e+06,5.44593e+07,1.99119e+10,0,0,6.83315e+06,2.14693e+10,
0.125062,0.11325,97.1303,2.60412,0.00390625,0.0234375,2.66214e+06,40960,50996.6,50551.9,1.06261e+09,2.41882e+06,5.45032e+07,1.99115e+10,0,0,6.83315e+06,2.14693e+10,
0.171781,0.117156,97.4088,2.24784,0.0078125,0.0468438,2.29222e+06,231424,79466,66379.6,1.06245e+09,2.54234e+06,5.47196e+07,1.99114e+10,0,0,6.83315e+06,2.14693e+10,
0.518437,0.12875,96.7494,2.56053,0.00390625,0.039,3.04154e+06,492544,162012,62907.6,1.06382e+09,2.68186e+06,5.52828e+07,1.99093e+10,0,0,6.83315e+06,2.14693e+10,
0.766531,0.132781,96.4315,2.63422,0.00390625,0.03125,2.56589e+06,73728,224220,20870.7,1.06548e+09,2.82598e+06,5.55903e+07,1.99072e+10,0,0,6.83315e+06,2.14693e+10,
0.878031,0.15225,96.0931,2.83381,0.00390625,0.0390625,2.51622e+06,314112,171190,7599.81,1.06744e+09,2.96934e+06,5.58198e+07,1.99049e+10,0,0,6.83315e+06,2.14693e+10,
0.480469,0.105469,97.1045,2.27075,0,0.0390625,1.4144e+06,122624,191882,8978.41,1.06771e+09,3.08582e+06,5.55204e+07,1.99048e+10,0,0,6.83315e+06,2.14693e+10,
0.623563,0.0936875,97.0883,2.16734,0,0.0273438,3.0103e+06,110080,139854,9302.75,1.06783e+09,3.2096e+06,5.59164e+07,1.99041e+10,0,0,6.83315e+06,2.14693e+10,
0.675781,0.105438,97.1649,2.015,0.00390625,0.0351562,1.76051e+06,125696,79572.8,5949.78,1.06843e+09,3.38189e+06,5.58545e+07,1.99034e+10,0,0,6.83315e+06,2.14693e+10,
0.706219,0.121031,97.3901,1.73606,0,0.0468438,2.44736e+06,25600,105058,5068.84,1.06927e+09,3.50029e+06,5.59602e+07,1.99024e+10,0,0,6.83315e+06,2.14693e+10,
1.0315,0.0896563,97.3699,1.47778,0,0.03125,1.97606e+06,191232,94871.5,4430.38,1.07096e+09,3.57402e+06,5.59501e+07,1.99006e+10,0,0,6.83315e+06,2.14693e+10,
1.04953,0.0624688,97.6533,1.20747,0,0.0273438,2.85645e+06,37120,105425,26908.8,1.07105e+09,3.64531e+06,5.63027e+07,1.99001e+10,0,0,6.83315e+06,2.14693e+10,
0.242219,0.066375,98.4548,1.20562,0.00390625,0.0273125,2.81216e+06,191488,10845.2,15985.9,1.07106e+09,3.73299e+06,5.66444e+07,1.98996e+10,0,0,6.83315e+06,2.14693e+10,
0.351188,0.0703125,98.2351,1.31228,0,0.03125,2.27533e+06,91136,599.312,747.781,1.07106e+09,3.80864e+06,5.66959e+07,1.98995e+10,0,0,6.83315e+06,2.14693e+10,
9.98341,4.29919,70.917,14.4611,0.035125,0.304344,2.42714e+06,98560,1.17137e+06,205586,1.10494e+09,4.08346e+06,5.90569e+07,1.9863e+10,0,0,6.83315e+06,2.14693e+10,
10.1429,20.9033,51.6687,17.0784,0.0117188,0.195094,2.57536e+06,347904,2.35327e+06,372439,1.15031e+09,4.19661e+06,6.11112e+07,1.98155e+10,0,0,6.83315e+06,2.14693e+10,
37.6357,14.2351,38.4612,9.15191,0.0309687,0.485156,2.3063e+06,236544,2.25843e+06,317085,1.28864e+09,4.38874e+06,6.3899e+07,1.96742e+10,0,0,6.83315e+06,2.14693e+10,
68.966,5.95816,14.0622,10.7265,0.019125,0.268156,2.68518e+06,263424,3.2774e+06,288511,1.50822e+09,4.55731e+06,6.66803e+07,1.94516e+10,0,0,6.83315e+06,2.14693e+10,
91.5802,2.92003,3.76094,1.55016,0.0148125,0.173719,2.05824e+06,921856,2.29897e+06,119279,1.69287e+09,4.59661e+06,6.82093e+07,1.92654e+10,0,0,6.83315e+06,2.14693e+10,
85.8065,4.21741,3.80525,5.87209,0.0155312,0.283219,2.73434e+06,1.47507e+06,2.61159e+06,124750,1.92044e+09,4.6441e+06,7.14381e+07,1.90346e+10,0,0,6.83315e+06,2.14693e+10,
71.5139,3.48,8.14287,16.5487,0.0165937,0.298094,3.48339e+06,130560,3.26124e+06,154929,2.09801e+09,4.72576e+06,7.52906e+07,1.88531e+10,0,0,6.83315e+06,2.14693e+10,
91.6527,2.62297,1.93259,3.61103,0.00634375,0.174344,6.74995e+06,27392,2.5322e+06,130834,2.27763e+09,4.77747e+06,7.94596e+07,1.86692e+10,0,0,6.83315e+06,2.14693e+10,
91.8282,2.87259,2.22931,2.79244,0.0152187,0.262313,9.24902e+06,124928,1.9749e+06,110977,2.39472e+09,4.84173e+06,8.64387e+07,1.85451e+10,0,0,6.83315e+06,2.14693e+10,
