"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven16",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/grep-250gb-1gb-1-raven16.csv",,,,"Date:","15 Aug 2016 15:47:22 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.854,0.129,98.782,0.217,0.002,0.016,650381.442,912526.046,0.0,0.0,1066184704.0,1679360.0,56225792.0,19906994176.0,0.0,0.064,196608.0,21475966976.0,
0.125,0.125,99.501,0.249,0.0,0.0,4202496.0,0.0,3476.0,1198.0,1065562112.0,1683456.0,57651200.0,19906187264.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,678.0,481.0,1065168896.0,1683456.0,56774656.0,19907457024.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,90112.0,930.0,403.0,1065312256.0,1691648.0,55480320.0,19908599808.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,360448.0,800.0,1040.0,1065238528.0,1699840.0,54276096.0,19909869568.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,98.750,1.125,0.0,0.0,106496.0,0.0,486.0,403.0,1064587264.0,1753088.0,53768192.0,19910975488.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.250,0.625,0.0,0.0,8478720.0,0.0,298039.0,295656.0,1064919040.0,1761280.0,56938496.0,19907465216.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.875,0.0,0.0,0.0,4259840.0,0.0,726.0,938.0,1064714240.0,1773568.0,58068992.0,19906527232.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.626,0.249,0.0,0.0,0.0,679936.0,486.0,403.0,1064517632.0,1781760.0,56868864.0,19907915776.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.875,0.0,0.0,0.0,4194304.0,0.0,3106.0,403.0,1063944192.0,1781760.0,58101760.0,19907256320.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,24576.0,854.0,938.0,1063567360.0,1789952.0,57200640.0,19908526080.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,99.750,0.0,0.125,0.125,0.0,0.0,5030.0,467.0,1063714816.0,1789952.0,55910400.0,19909668864.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,930.0,481.0,1063505920.0,1789952.0,54714368.0,19911073792.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.875,0.0,0.0,0.0,8429568.0,40960.0,4502.0,938.0,1063477248.0,1802240.0,57823232.0,19907981312.0,0.0,0.0,196608.0,21475966976.0,
3.750,1.375,91.750,3.0,0.0,0.125,622592.0,0.0,45404.0,326350.0,1064005632.0,1945600.0,58077184.0,19907055616.0,0.0,0.0,196608.0,21475966976.0,
11.875,14.250,58.625,14.875,0.0,0.375,5120000.0,0.0,4173100.0,576899.0,1131810816.0,2105344.0,63111168.0,19834056704.0,0.0,0.0,196608.0,21475966976.0,
20.974,25.968,50.811,1.748,0.0,0.499,0.0,2891776.0,1032356.0,202682.0,1207320576.0,2117632.0,62976000.0,19758669824.0,0.0,0.0,196608.0,21475966976.0,
55.351,4.428,19.557,20.295,0.0,0.369,4292608.0,0.0,3858441.0,378765.0,1431613440.0,2162688.0,68907008.0,19528400896.0,0.0,0.0,196608.0,21475966976.0,
96.287,2.635,0.479,0.479,0.0,0.120,0.0,57344.0,2077322.0,91575.0,1596760064.0,2170880.0,68517888.0,19363635200.0,0.0,0.0,196608.0,21475966976.0,
95.146,3.883,0.364,0.364,0.0,0.243,16384.0,0.0,1676510.0,75326.0,1827938304.0,2174976.0,69869568.0,19131101184.0,0.0,0.0,196608.0,21475966976.0,
70.287,4.619,7.241,17.353,0.0,0.499,0.0,0.0,4080044.0,182351.0,2044100608.0,2174976.0,72785920.0,18912022528.0,0.0,0.0,196608.0,21475966976.0,
89.038,2.558,3.410,4.750,0.0,0.244,8495104.0,0.0,3407346.0,156567.0,2197745664.0,2187264.0,78667776.0,18752483328.0,0.0,0.0,196608.0,21475966976.0,
98.0,1.700,0.100,0.100,0.0,0.100,65536.0,212992.0,1462108.0,63414.0,2283790336.0,2215936.0,80228352.0,18664849408.0,0.0,0.0,196608.0,21475966976.0,
92.643,4.364,1.372,1.122,0.125,0.374,4259840.0,49152.0,3600492.0,155031.0,2383986688.0,2252800.0,85438464.0,18559406080.0,0.0,0.0,196608.0,21475966976.0,
69.913,7.865,12.360,9.613,0.0,0.250,32399360.0,0.0,1935593.0,105971.0,2957176832.0,2355200.0,106102784.0,17965449216.0,0.0,0.0,196608.0,21475966976.0,
73.750,10.0,9.250,6.375,0.0,0.625,189366272.0,0.0,2281315.0,44178.0,4514082816.0,2506752.0,211562496.0,16302931968.0,0.0,0.0,196608.0,21475966976.0,
42.322,1.998,23.471,31.461,0.0,0.749,225386496.0,2293760.0,15945798.0,35485.0,4522958848.0,2621440.0,315084800.0,16190418944.0,0.0,0.0,196608.0,21475966976.0,
36.954,1.498,23.471,37.203,0.0,0.874,237871104.0,0.0,9821757.0,22884.0,4524642304.0,2760704.0,436068352.0,16067612672.0,0.0,0.0,196608.0,21475966976.0,
45.807,2.003,18.899,32.791,0.0,0.501,213319680.0,90112.0,10278827.0,25885.0,4537880576.0,2875392.0,540536832.0,15949791232.0,0.0,0.0,196608.0,21475966976.0,
28.202,2.217,42.118,26.724,0.0,0.739,225148928.0,0.0,8731032.0,20293.0,4629704704.0,2985984.0,653701120.0,15744692224.0,0.0,0.0,196608.0,21475966976.0,
28.411,3.379,40.050,27.534,0.0,0.626,212811776.0,1261568.0,6755859.0,22090.0,4906934272.0,3092480.0,770867200.0,15350190080.0,0.0,0.0,196608.0,21475966976.0,
25.810,2.494,39.152,31.796,0.125,0.623,231743488.0,0.0,8963781.0,36725.0,5042352128.0,3207168.0,876072960.0,15109451776.0,0.0,0.0,196608.0,21475966976.0,
24.0,2.250,42.250,30.750,0.0,0.750,227450880.0,245760.0,7063598.0,14009.0,5129392128.0,3338240.0,997396480.0,14900957184.0,0.0,0.0,196608.0,21475966976.0,
20.225,2.122,39.825,37.328,0.0,0.499,212910080.0,73728.0,15020855.0,35782.0,5176647680.0,3440640.0,1089495040.0,14761500672.0,0.0,0.0,196608.0,21475966976.0,
17.684,1.619,45.205,34.869,0.125,0.498,210386944.0,0.0,8870231.0,19579.0,5214830592.0,3547136.0,1206374400.0,14606331904.0,0.0,0.0,196608.0,21475966976.0,
17.955,1.870,43.516,36.035,0.0,0.623,228155392.0,131072.0,8871662.0,19601.0,5301956608.0,3653632.0,1306918912.0,14418554880.0,0.0,0.0,196608.0,21475966976.0,
23.655,1.877,45.807,28.160,0.0,0.501,201211904.0,0.0,13400483.0,47981.0,5336993792.0,3756032.0,1419526144.0,14270808064.0,0.0,0.0,196608.0,21475966976.0,
17.353,1.498,46.692,33.833,0.0,0.624,225673216.0,0.0,8725831.0,28749.0,5346430976.0,3862528.0,1516052480.0,14164738048.0,0.0,0.0,196608.0,21475966976.0,
16.625,1.500,34.250,47.0,0.0,0.625,219209728.0,73728.0,4486226.0,15681.0,5384413184.0,3985408.0,1633607680.0,14009077760.0,0.0,0.0,196608.0,21475966976.0,
18.579,2.120,45.262,33.292,0.125,0.623,193159168.0,0.0,13312221.0,41250.0,5466320896.0,4104192.0,1734885376.0,13825773568.0,0.0,0.0,196608.0,21475966976.0,
16.729,2.497,44.070,36.080,0.0,0.624,221216768.0,106496.0,8809895.0,24689.0,5714837504.0,4222976.0,1835769856.0,13476253696.0,0.0,0.0,196608.0,21475966976.0,
17.125,2.0,43.500,36.875,0.0,0.500,214990848.0,0.0,8868558.0,28701.0,5861015552.0,4329472.0,1946255360.0,13219483648.0,0.0,0.0,196608.0,21475966976.0,
21.473,2.747,34.457,40.699,0.0,0.624,200327168.0,0.0,4771882.0,22848.0,5987663872.0,4431872.0,2048540672.0,12990447616.0,0.0,0.0,196608.0,21475966976.0,
18.976,1.873,37.453,41.074,0.0,0.624,225099776.0,65536.0,12971904.0,38269.0,6128947200.0,4538368.0,2153312256.0,12744286208.0,0.0,0.0,196608.0,21475966976.0,
20.625,2.375,34.500,41.625,0.125,0.750,232521728.0,0.0,8868644.0,24953.0,6282608640.0,4653056.0,2270490624.0,12473331712.0,0.0,0.0,196608.0,21475966976.0,
23.125,2.125,36.250,37.750,0.0,0.750,218071040.0,589824.0,5857037.0,21510.0,6327586816.0,4759552.0,2383560704.0,12315176960.0,0.0,0.0,196608.0,21475966976.0,
19.451,1.746,36.908,41.272,0.125,0.499,229548032.0,237568.0,16091035.0,42844.0,6374735872.0,4878336.0,2484899840.0,12166569984.0,0.0,0.0,196608.0,21475966976.0,
17.456,1.247,52.993,27.930,0.0,0.374,214089728.0,0.0,9089350.0,22586.0,6377058304.0,4993024.0,2602696704.0,12046336000.0,0.0,0.0,196608.0,21475966976.0,
19.875,2.250,42.375,34.875,0.0,0.625,233177088.0,81920.0,13307489.0,40055.0,6376738816.0,5107712.0,2716729344.0,11932508160.0,0.0,0.0,196608.0,21475966976.0,
19.250,1.500,34.500,44.250,0.0,0.500,223649792.0,0.0,11178625.0,34565.0,6366568448.0,5214208.0,2832052224.0,11827249152.0,0.0,0.0,196608.0,21475966976.0,
18.080,1.496,46.758,32.918,0.125,0.623,227696640.0,0.0,10286043.0,29261.0,6402088960.0,5324800.0,2931363840.0,11692306432.0,0.0,0.0,196608.0,21475966976.0,
19.125,2.125,49.125,29.0,0.0,0.625,221249536.0,32768.0,9626415.0,52580.0,6455492608.0,5451776.0,3045064704.0,11525074944.0,0.0,0.0,196608.0,21475966976.0,
19.725,1.873,41.698,36.080,0.0,0.624,218333184.0,0.0,13253856.0,41299.0,6527344640.0,5566464.0,3159990272.0,11338182656.0,0.0,0.0,196608.0,21475966976.0,
19.375,1.750,41.375,36.750,0.0,0.750,226582528.0,90112.0,13353570.0,33041.0,6589554688.0,5681152.0,3269636096.0,11166212096.0,0.0,0.0,196608.0,21475966976.0,
22.250,2.0,33.375,41.875,0.0,0.500,230203392.0,0.0,13253664.0,38932.0,6631604224.0,5791744.0,3365621760.0,11028066304.0,0.0,0.0,196608.0,21475966976.0,
19.825,2.120,35.037,42.394,0.0,0.623,224288768.0,0.0,8316026.0,29112.0,6675021824.0,5914624.0,3486785536.0,10863362048.0,0.0,0.0,196608.0,21475966976.0,
17.647,1.252,37.046,43.429,0.125,0.501,216915968.0,0.0,11584631.0,31081.0,6670909440.0,6017024.0,3587055616.0,10767101952.0,0.0,0.0,196608.0,21475966976.0,
20.050,1.868,48.941,28.394,0.0,0.747,212951040.0,0.0,15581825.0,40893.0,6661410816.0,6135808.0,3709169664.0,10654367744.0,0.0,0.0,196608.0,21475966976.0,
18.398,1.377,43.554,36.170,0.125,0.375,212402176.0,73728.0,8916800.0,30300.0,6663634944.0,6258688.0,3802927104.0,10558263296.0,0.0,0.0,196608.0,21475966976.0,
17.164,1.617,49.254,31.343,0.0,0.622,211329024.0,0.0,8873148.0,26787.0,6661210112.0,6369280.0,3912032256.0,10451472384.0,0.0,0.0,196608.0,21475966976.0,
17.647,1.627,53.442,26.909,0.0,0.375,218963968.0,24576.0,8873169.0,28775.0,6655889408.0,6479872.0,4031025152.0,10337689600.0,0.0,0.0,196608.0,21475966976.0,
17.978,1.498,50.936,28.839,0.125,0.624,229261312.0,0.0,4380763.0,21001.0,6654656512.0,6590464.0,4140531712.0,10229305344.0,0.0,0.0,196608.0,21475966976.0,
14.732,1.498,46.442,36.829,0.0,0.499,208076800.0,0.0,8920356.0,29689.0,6663852032.0,6680576.0,4232126464.0,10128424960.0,0.0,0.0,196608.0,21475966976.0,
25.218,2.122,30.712,41.323,0.0,0.624,222896128.0,65536.0,8878528.0,25691.0,6656303104.0,6807552.0,4353474560.0,10014498816.0,0.0,0.0,196608.0,21475966976.0,
18.0,1.500,33.750,46.125,0.125,0.500,218324992.0,0.0,13243254.0,44418.0,6656409600.0,6909952.0,4453666816.0,9914097664.0,0.0,0.0,196608.0,21475966976.0,
19.701,1.496,46.758,31.297,0.0,0.748,218152960.0,245760.0,15519320.0,37731.0,6655098880.0,7032832.0,4568002560.0,9800949760.0,0.0,0.0,196608.0,21475966976.0,
20.100,1.873,48.564,28.964,0.0,0.499,223141888.0,0.0,11086338.0,50643.0,6651678720.0,7147520.0,4674121728.0,9698136064.0,0.0,0.0,196608.0,21475966976.0,
16.500,1.375,50.375,31.0,0.125,0.625,218415104.0,0.0,13389919.0,39743.0,6650884096.0,7266304.0,4787716096.0,9585217536.0,0.0,0.0,196608.0,21475966976.0,
16.500,1.375,51.0,30.625,0.0,0.500,219963392.0,73728.0,13221241.0,36331.0,6648819712.0,7376896.0,4893036544.0,9481850880.0,0.0,0.0,196608.0,21475966976.0,
18.976,1.748,39.201,39.700,0.0,0.375,220946432.0,0.0,4434882.0,10991.0,6643212288.0,7487488.0,4998283264.0,9382100992.0,0.0,0.0,196608.0,21475966976.0,
21.473,1.373,40.449,36.205,0.125,0.375,221380608.0,139264.0,8865194.0,34027.0,6644649984.0,7618560.0,5117603840.0,9261211648.0,0.0,0.0,196608.0,21475966976.0,
17.228,1.498,40.449,40.200,0.0,0.624,225280000.0,0.0,13355850.0,33297.0,6638731264.0,7725056.0,5232873472.0,9151754240.0,0.0,0.0,196608.0,21475966976.0,
18.125,1.625,47.250,32.375,0.0,0.625,213368832.0,0.0,13303036.0,33953.0,6644027392.0,7827456.0,5329260544.0,9049968640.0,0.0,0.0,196608.0,21475966976.0,
15.875,1.500,50.500,31.625,0.0,0.500,220946432.0,65536.0,3385933.0,16038.0,6641999872.0,7938048.0,5437652992.0,8943493120.0,0.0,0.0,196608.0,21475966976.0,
19.327,1.372,45.761,33.042,0.125,0.374,220995584.0,0.0,4293464.0,16801.0,6642229248.0,8048640.0,5538951168.0,8841854976.0,0.0,0.0,196608.0,21475966976.0,
20.0,2.0,35.625,41.750,0.0,0.625,231137280.0,0.0,14498261.0,40951.0,6647427072.0,8167424.0,5660192768.0,8715296768.0,0.0,0.0,196608.0,21475966976.0,
16.375,1.500,45.0,36.750,0.0,0.375,220577792.0,32768.0,13867410.0,44878.0,6646870016.0,8282112.0,5773447168.0,8602484736.0,0.0,0.0,196608.0,21475966976.0,
18.454,1.870,49.002,30.050,0.0,0.623,232415232.0,0.0,12739786.0,30101.0,6655492096.0,8396800.0,5891538944.0,8475656192.0,0.0,0.0,196608.0,21475966976.0,
17.853,1.623,42.197,37.953,0.0,0.375,229425152.0,81920.0,4999270.0,17781.0,6655459328.0,8515584.0,5990256640.0,8376852480.0,0.0,0.0,196608.0,21475966976.0,
16.729,1.623,52.185,29.089,0.0,0.375,222830592.0,0.0,6029151.0,26888.0,6653390848.0,8634368.0,6117982208.0,8251076608.0,0.0,0.0,196608.0,21475966976.0,
17.397,1.502,56.571,23.905,0.0,0.626,223272960.0,327680.0,6660711.0,23731.0,6652125184.0,8732672.0,6226268160.0,8143958016.0,0.0,0.0,196608.0,21475966976.0,
