"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/grep-250gb-1gb-1-ravenleader.csv",,,,"Date:","15 Aug 2016 15:47:20 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.708,0.452,98.387,0.311,0.010,0.131,4180616.887,808651.940,0.0,0.0,3210297344.0,1399169024.0,16193904640.0,227725312.0,243.803,5178.934,830504960.0,20143915008.0,
22.347,4.245,73.034,0.0,0.0,0.375,0.0,8192.0,245813.0,335037.0,3269820416.0,1399169024.0,16194711552.0,167395328.0,0.0,0.0,830504960.0,20143915008.0,
28.340,1.248,70.287,0.0,0.0,0.125,0.0,0.0,135830.0,211750.0,3356786688.0,1399169024.0,16194842624.0,80297984.0,0.0,0.0,830504960.0,20143915008.0,
18.523,0.751,80.726,0.0,0.0,0.0,0.0,32768.0,25454.0,12704.0,3376898048.0,1399169024.0,16194842624.0,60186624.0,0.0,0.0,830504960.0,20143915008.0,
7.232,0.374,92.269,0.0,0.0,0.125,0.0,614400.0,28673.0,300799.0,3377414144.0,1399169024.0,16194846720.0,59666432.0,0.0,0.0,830504960.0,20143915008.0,
10.0,0.875,89.0,0.125,0.0,0.0,0.0,2768896.0,41171.0,153190.0,3409514496.0,1397948416.0,16175996928.0,47636480.0,0.0,0.0,830504960.0,20143915008.0,
0.125,0.625,98.750,0.0,0.0,0.500,0.0,0.0,381890.0,5920518.0,3409330176.0,1397952512.0,16175648768.0,48164864.0,0.0,0.0,830504960.0,20143915008.0,
0.249,0.374,99.002,0.0,0.0,0.374,0.0,0.0,318174.0,7230050.0,3409317888.0,1397952512.0,16175661056.0,48164864.0,0.0,0.0,830504960.0,20143915008.0,
0.125,0.250,99.500,0.0,0.0,0.125,0.0,0.0,179942.0,3683737.0,3408474112.0,1397952512.0,16175669248.0,49000448.0,0.0,0.0,830504960.0,20143915008.0,
0.250,0.250,99.251,0.0,0.0,0.250,0.0,450560.0,278540.0,6219130.0,3408474112.0,1397952512.0,16175669248.0,49000448.0,0.0,0.0,830504960.0,20143915008.0,
0.250,0.375,99.126,0.0,0.0,0.250,0.0,32768.0,224059.0,4750052.0,3408027648.0,1397952512.0,16175669248.0,49446912.0,0.0,0.0,830504960.0,20143915008.0,
0.250,0.125,99.376,0.0,0.125,0.125,0.0,24576.0,153234.0,2971773.0,3408154624.0,1397952512.0,16175669248.0,49319936.0,0.0,0.0,830504960.0,20143915008.0,
0.874,0.125,98.752,0.0,0.0,0.250,0.0,0.0,165728.0,3844152.0,3407749120.0,1397952512.0,16175669248.0,49725440.0,0.0,0.0,830504960.0,20143915008.0,
0.375,0.250,99.125,0.125,0.0,0.125,0.0,49152.0,101044.0,1988014.0,3408011264.0,1397952512.0,16175669248.0,49463296.0,0.0,0.0,830504960.0,20143915008.0,
1.124,0.250,98.627,0.0,0.0,0.0,0.0,0.0,64532.0,754548.0,3408961536.0,1397952512.0,16176066560.0,48115712.0,0.0,0.0,830504960.0,20143915008.0,
1.373,0.250,98.252,0.0,0.0,0.125,0.0,966656.0,29227.0,159651.0,3409199104.0,1397956608.0,16176062464.0,47878144.0,0.0,0.0,830504960.0,20143915008.0,
0.624,6.117,87.266,0.0,0.250,5.743,0.0,303104.0,3393484.0,19549510.0,3410554880.0,1398575104.0,16170942464.0,51023872.0,0.0,0.0,830504960.0,20143915008.0,
0.250,4.245,89.513,0.0,0.125,5.868,8192.0,0.0,7311674.0,103685991.0,3410300928.0,1398607872.0,16170909696.0,51277824.0,0.0,0.0,830504960.0,20143915008.0,
0.125,10.612,74.032,0.0,0.624,14.607,0.0,0.0,9409124.0,66705040.0,3412082688.0,1398607872.0,16170758144.0,49647616.0,0.0,0.0,830504960.0,20143915008.0,
0.125,4.130,89.362,0.125,0.125,6.133,0.0,2334720.0,9040069.0,113021882.0,3411963904.0,1398624256.0,16170741760.0,49766400.0,0.0,0.0,830504960.0,20143915008.0,
0.125,2.497,94.257,0.250,0.125,2.747,57344.0,5529600.0,2944064.0,65328906.0,3411492864.0,1398624256.0,16170967040.0,50012160.0,0.0,0.0,830504960.0,20143915008.0,
0.250,3.371,91.261,0.0,0.250,4.869,0.0,0.0,2914770.0,65823571.0,3412127744.0,1398624256.0,16170967040.0,49377280.0,0.0,0.0,830504960.0,20143915008.0,
0.375,4.370,88.015,0.0,0.250,6.991,0.0,32768.0,5272320.0,115487572.0,3411795968.0,1398628352.0,16170979328.0,49692672.0,0.0,0.0,830504960.0,20143915008.0,
0.250,2.250,94.500,0.0,0.125,2.875,0.0,0.0,4006996.0,88302731.0,3411787776.0,1398628352.0,16170979328.0,49700864.0,0.0,0.0,830504960.0,20143915008.0,
0.249,2.244,93.766,0.0,0.249,3.491,0.0,131072.0,1907238.0,42155514.0,3410857984.0,1398636544.0,16171008000.0,50593792.0,0.0,0.0,830504960.0,20143915008.0,
0.250,4.0,89.625,0.0,0.250,5.875,0.0,294912.0,3918592.0,88268218.0,3411439616.0,1398640640.0,16171003904.0,50012160.0,0.0,0.0,830504960.0,20143915008.0,
1.625,2.500,92.875,0.0,0.125,2.875,0.0,188416.0,3683762.0,72126763.0,3412520960.0,1398640640.0,16171659264.0,48275456.0,0.0,0.0,830504960.0,20143915008.0,
0.625,0.375,98.875,0.0,0.0,0.125,0.0,0.0,1094197.0,16856831.0,3412647936.0,1398640640.0,16171659264.0,48148480.0,0.0,0.0,830504960.0,20143915008.0,
0.249,0.125,99.626,0.0,0.0,0.0,0.0,0.0,53906.0,167374.0,3411603456.0,1398640640.0,16172019712.0,48832512.0,0.0,0.0,830504960.0,20143915008.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,98304.0,157246.0,62008.0,3411857408.0,1398648832.0,16172011520.0,48578560.0,0.0,0.0,830504960.0,20143915008.0,
0.249,0.125,99.377,0.125,0.0,0.125,0.0,2899968.0,135974.0,50220.0,3411636224.0,1398652928.0,16172236800.0,48570368.0,0.0,0.0,830504960.0,20143915008.0,
0.0,0.250,99.625,0.0,0.0,0.125,0.0,5357568.0,225452.0,379359.0,3411636224.0,1398673408.0,16172216320.0,48570368.0,0.0,0.0,830504960.0,20143915008.0,
0.125,0.500,99.250,0.0,0.0,0.125,0.0,0.0,196914.0,1168936.0,3411050496.0,1398755328.0,16172359680.0,48930816.0,0.0,0.0,830504960.0,20143915008.0,
0.375,0.250,99.376,0.0,0.0,0.0,0.0,0.0,142390.0,224418.0,3411177472.0,1398771712.0,16172343296.0,48803840.0,0.0,0.0,830504960.0,20143915008.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,32768.0,133587.0,35006.0,3410911232.0,1398775808.0,16172597248.0,48812032.0,0.0,0.0,830504960.0,20143915008.0,
0.249,0.125,99.501,0.125,0.0,0.0,0.0,1654784.0,68039.0,68789.0,3411038208.0,1398775808.0,16172597248.0,48685056.0,0.0,0.0,830504960.0,20143915008.0,
0.250,0.125,99.501,0.0,0.0,0.125,0.0,8192.0,46907.0,68199.0,3410694144.0,1398779904.0,16172634112.0,48988160.0,0.0,0.0,830504960.0,20143915008.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,0.0,104298.0,90672.0,3410694144.0,1398779904.0,16172634112.0,48988160.0,0.0,0.0,830504960.0,20143915008.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,40916.0,70597.0,3410640896.0,1398779904.0,16172662784.0,49012736.0,0.0,0.0,830504960.0,20143915008.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,32768.0,35714.0,108767.0,3410640896.0,1398784000.0,16172658688.0,49012736.0,0.0,0.0,830504960.0,20143915008.0,
0.125,0.0,99.750,0.0,0.125,0.0,0.0,409600.0,33834.0,70190.0,3410137088.0,1398784000.0,16172662784.0,49512448.0,0.0,0.0,830504960.0,20143915008.0,
0.249,0.125,99.626,0.0,0.0,0.0,0.0,24576.0,34805.0,39980.0,3410137088.0,1398784000.0,16172662784.0,49512448.0,0.0,0.0,830504960.0,20143915008.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,0.0,675367.0,57856.0,3410051072.0,1398784000.0,16173858816.0,48402432.0,0.0,0.0,830504960.0,20143915008.0,
