"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.0390625,0.0351562,99.7656,0.160156,0,0,2.64806e+06,0,3802.62,2054.47,1.0582e+09,1.74579e+06,5.48771e+07,1.99163e+10,0,0,6.83315e+06,2.14693e+10,
0.082,0.0546875,99.6174,0.234344,0,0.0117188,2.13018e+06,7424,10037.8,862.625,1.05791e+09,1.75258e+06,5.4969e+07,1.99165e+10,0,0,6.83315e+06,2.14693e+10,
0.089875,0.0625,99.5551,0.288875,0,0.00390625,1.29178e+06,19456,26967,26684.6,1.05759e+09,1.76922e+06,5.47158e+07,1.9917e+10,0,0,6.83315e+06,2.14693e+10,
0.39375,0.113125,99.1228,0.327625,0.00390625,0.0390313,2.50061e+06,103168,163362,25345.5,1.05863e+09,1.78483e+06,5.50867e+07,1.99156e+10,0,0,6.83315e+06,2.14693e+10,
0.60475,0.0937188,98.9386,0.339594,0.00390625,0.0195312,2.6647e+06,536064,226227,11989.8,1.05956e+09,1.80915e+06,5.55663e+07,1.99141e+10,0,0,6.83315e+06,2.14693e+10,
0.90125,0.0624688,98.7163,0.304469,0.00390625,0.0117188,2.01216e+06,0,133055,5854.53,1.06147e+09,1.82285e+06,5.55995e+07,1.99122e+10,0,0,6.83315e+06,2.14693e+10,
0.488281,0.0507812,99.3204,0.128875,0,0.0117188,1.728e+06,0,206873,9196.78,1.06207e+09,1.82579e+06,5.56452e+07,1.99115e+10,0,0,6.83315e+06,2.14693e+10,
0.530656,0.0898125,99.122,0.238031,0,0.0195312,1.99731e+06,49152,162699,52195.7,1.06221e+09,1.83693e+06,5.58419e+07,1.99112e+10,0,0,6.83315e+06,2.14693e+10,
0.632812,0.0625,99.0861,0.210875,0,0.0078125,2.24589e+06,78336,152181,24977.5,1.06216e+09,1.84461e+06,5.59844e+07,1.99111e+10,0,0,6.83315e+06,2.14693e+10,
0.663312,0.05075,99.0713,0.199156,0.00390625,0.0117188,2.53082e+06,108544,117556,5044.84,1.06233e+09,1.85702e+06,5.62947e+07,1.99106e+10,0,0,6.83315e+06,2.14693e+10,
0.788125,0.0936875,99.0403,0.07025,0,0.0078125,1.06778e+06,13568,47870.4,2585.56,1.06408e+09,1.86278e+06,5.59238e+07,1.99092e+10,0,0,6.83315e+06,2.14693e+10,
0.121,0.046875,99.5395,0.284969,0,0.0078125,2.79987e+06,2560,46213.6,6744.03,1.06399e+09,1.8752e+06,5.61946e+07,1.9909e+10,0,0,6.83315e+06,2.14693e+10,
0.417969,0.0351562,99.0591,0.476156,0,0.0117188,2.0695e+06,38912,14050,5067.03,1.06399e+09,1.88685e+06,5.62962e+07,1.99089e+10,0,0,6.83315e+06,2.14693e+10,
5.859,2.47416,84.1229,7.33728,0.0078125,0.199031,3.41965e+06,73728,378030,153949,1.08691e+09,2.02125e+06,5.86043e+07,1.98835e+10,0,0,6.83315e+06,2.14693e+10,
7.1155,15.2882,73.9312,3.52487,0.015625,0.124719,1.48198e+06,49408,1.82097e+06,186101,1.11334e+09,2.03558e+06,5.91651e+07,1.98565e+10,0,0,6.83315e+06,2.14693e+10,
30.2434,4.46978,60.4514,4.5035,0.023375,0.3085,2.39104e+06,93952,1.6204e+06,207126,1.22774e+09,2.10854e+06,6.14659e+07,1.97398e+10,0,0,6.83315e+06,2.14693e+10,
47.4161,1.50566,50.4426,0.554719,0.0114062,0.0695,2.05133e+06,184064,1.94008e+06,113148,1.33314e+09,2.11226e+06,6.2418e+07,1.96334e+10,0,0,6.83315e+06,2.14693e+10,
47.2376,1.87659,50.3611,0.392875,0.0116562,0.120344,2.19469e+06,397312,940092,41618.5,1.44587e+09,2.11955e+06,6.38784e+07,1.95192e+10,0,0,6.83315e+06,2.14693e+10,
43.3984,2.34684,51.4651,2.56219,0.0115312,0.216094,1.35117e+06,832768,2.2426e+06,100426,1.56802e+09,2.12954e+06,6.60114e+07,1.93949e+10,0,0,6.83315e+06,2.14693e+10,
47.9682,1.19912,50.2939,0.458437,0.0145,0.0659375,2.78323e+06,23296,1.76463e+06,85892.1,1.64477e+09,2.13965e+06,6.70295e+07,1.93171e+10,0,0,6.83315e+06,2.14693e+10,
47.8611,1.32938,50.2987,0.374375,0.0151562,0.121375,2.28736e+06,768,903713,42710.9,1.68219e+09,2.16371e+06,6.857e+07,1.92782e+10,0,0,6.83315e+06,2.14693e+10,
42.9586,2.87791,52.6256,1.32828,0.0115937,0.198187,9.70291e+06,210432,3.50739e+06,76002.9,1.85207e+09,2.20058e+06,7.41295e+07,1.91027e+10,0,0,6.83315e+06,2.14693e+10,
