"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/grep-64gb-256mb-1-ravenleader.csv",,,,"Date:","15 Aug 2016 15:15:23 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.707,0.452,98.389,0.311,0.010,0.131,4183210.355,806976.077,0.0,0.0,3367100416.0,1558523904.0,15701848064.0,403623936.0,243.954,5182.148,830504960.0,20143915008.0,
19.725,4.245,75.655,0.0,0.0,0.375,0.0,0.0,182008.0,193296.0,3419623424.0,1558523904.0,15702659072.0,350289920.0,0.0,0.0,830504960.0,20143915008.0,
28.839,1.373,69.663,0.0,0.0,0.125,0.0,778240.0,193112.0,344720.0,3508232192.0,1558523904.0,15702781952.0,261558272.0,0.0,0.0,830504960.0,20143915008.0,
17.500,0.625,81.875,0.0,0.0,0.0,0.0,0.0,23074.0,9584.0,3528253440.0,1558523904.0,15702786048.0,241532928.0,0.0,0.0,830504960.0,20143915008.0,
10.112,0.375,89.388,0.0,0.125,0.0,0.0,90112.0,28612.0,298678.0,3531702272.0,1558523904.0,15702790144.0,238080000.0,0.0,0.0,830504960.0,20143915008.0,
11.486,0.499,87.765,0.125,0.0,0.125,0.0,2727936.0,42624.0,155427.0,3535671296.0,1558536192.0,15702786048.0,234102784.0,0.0,0.0,830504960.0,20143915008.0,
0.125,0.250,99.250,0.0,0.0,0.375,0.0,0.0,310597.0,5083915.0,3535941632.0,1558540288.0,15702810624.0,233803776.0,0.0,0.0,830504960.0,20143915008.0,
0.125,0.375,99.125,0.0,0.0,0.375,0.0,466944.0,299330.0,6445840.0,3536019456.0,1558540288.0,15702818816.0,233717760.0,0.0,0.0,830504960.0,20143915008.0,
0.250,0.250,99.251,0.0,0.0,0.250,0.0,0.0,214887.0,4567600.0,3536269312.0,1558540288.0,15702822912.0,233463808.0,0.0,0.0,830504960.0,20143915008.0,
0.250,0.375,99.126,0.0,0.0,0.250,0.0,40960.0,287289.0,6443792.0,3536371712.0,1558540288.0,15702822912.0,233361408.0,0.0,0.0,830504960.0,20143915008.0,
0.375,0.250,99.0,0.0,0.0,0.375,0.0,32768.0,204642.0,3971905.0,3536392192.0,1558548480.0,15702822912.0,233332736.0,0.0,0.0,830504960.0,20143915008.0,
0.499,0.499,98.752,0.0,0.0,0.250,0.0,286720.0,176198.0,3531652.0,3536748544.0,1558548480.0,15702822912.0,232976384.0,0.0,0.0,830504960.0,20143915008.0,
0.874,0.125,98.752,0.0,0.0,0.250,0.0,344064.0,129809.0,2922861.0,3536732160.0,1558548480.0,15702831104.0,232984576.0,0.0,0.0,830504960.0,20143915008.0,
0.375,0.250,99.250,0.0,0.0,0.125,0.0,16384.0,119637.0,2177596.0,3535937536.0,1558548480.0,15702839296.0,233771008.0,0.0,0.0,830504960.0,20143915008.0,
0.250,0.125,99.501,0.0,0.0,0.125,0.0,40960.0,117273.0,2083384.0,3535642624.0,1558548480.0,15702843392.0,234061824.0,0.0,0.0,830504960.0,20143915008.0,
3.750,0.375,95.875,0.0,0.0,0.0,0.0,40960.0,35526.0,314601.0,3538378752.0,1558552576.0,15703371776.0,230793216.0,0.0,0.0,830504960.0,20143915008.0,
0.375,2.372,95.381,0.125,0.125,1.623,0.0,2883584.0,90519.0,1933785.0,3538845696.0,1558786048.0,15703949312.0,229515264.0,0.0,0.0,830504960.0,20143915008.0,
0.875,6.750,83.625,0.125,0.375,8.250,0.0,6381568.0,7367126.0,67314770.0,3540688896.0,1559527424.0,15704293376.0,226586624.0,0.0,0.0,830504960.0,20143915008.0,
0.249,7.731,82.918,0.0,0.374,8.728,0.0,0.0,4748811.0,67705800.0,3536601088.0,1559527424.0,15704588288.0,230379520.0,0.0,0.0,830504960.0,20143915008.0,
0.125,7.491,79.276,0.125,0.375,12.609,0.0,4767744.0,13596952.0,100627424.0,3535798272.0,1559527424.0,15704588288.0,231182336.0,0.0,0.0,830504960.0,20143915008.0,
0.125,2.747,93.009,0.0,0.250,3.870,0.0,0.0,4977906.0,103242736.0,3536171008.0,1559527424.0,15704596480.0,230801408.0,0.0,0.0,830504960.0,20143915008.0,
0.250,2.372,94.132,0.0,0.0,3.246,0.0,221184.0,2251025.0,49264598.0,3535773696.0,1559527424.0,15704596480.0,231198720.0,0.0,0.0,830504960.0,20143915008.0,
