"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven06",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/grep-64gb-64mb-1-raven06.csv",,,,"Date:","15 Aug 2016 15:11:34 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
1.466,0.247,98.013,0.247,0.002,0.024,1196437.295,1074460.381,0.0,0.0,1121554432.0,1708032.0,53874688.0,19853946880.0,0.0,0.064,196608.0,21475966976.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,3540.0,1261.0,1121697792.0,1708032.0,52715520.0,19854962688.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.751,0.0,0.125,0.0,0.0,0.0,1454.0,403.0,1120907264.0,1708032.0,51965952.0,19856502784.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,99.750,0.250,0.0,0.0,0.0,0.0,816.0,505.0,1120829440.0,1712128.0,50769920.0,19857772544.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,98.752,0.999,0.0,0.125,8503296.0,90112.0,854.0,1015.0,1120247808.0,1736704.0,54067200.0,19855032320.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.125,99.751,0.0,0.0,0.0,0.0,376832.0,674.0,403.0,1120296960.0,1744896.0,52867072.0,19856175104.0,0.0,0.0,196608.0,21475966976.0,
0.875,0.125,99.0,0.0,0.0,0.0,0.0,0.0,2470.0,467.0,1119973376.0,1744896.0,52039680.0,19857326080.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.625,0.250,0.0,0.0,1671168.0,0.0,2518.0,1001.0,1120157696.0,1748992.0,54816768.0,19854360576.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.625,0.250,0.0,0.0,6799360.0,0.0,610.0,403.0,1119358976.0,1748992.0,54153216.0,19855822848.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,49152.0,742.0,403.0,1119535104.0,1757184.0,52953088.0,19856838656.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,1447.0,937.0,1119010816.0,1757184.0,52076544.0,19858239488.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,99.625,0.375,0.0,0.0,5939200.0,0.0,1216.0,403.0,1119334400.0,1761280.0,54853632.0,19855134720.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.625,0.250,0.0,0.0,2531328.0,0.0,1894.0,467.0,1118654464.0,1761280.0,54194176.0,19856474112.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,726.0,937.0,1118703616.0,1761280.0,53002240.0,19857616896.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,73728.0,802.0,481.0,1118220288.0,1777664.0,52101120.0,19858984960.0,0.0,0.0,196608.0,21475966976.0,
10.487,4.245,67.541,17.478,0.0,0.250,3489792.0,0.0,2303027.0,249856.0,1173282816.0,2064384.0,59797504.0,19795939328.0,0.0,0.0,196608.0,21475966976.0,
12.110,35.456,44.195,7.990,0.0,0.250,6422528.0,0.0,2224578.0,153153.0,1211351040.0,2068480.0,59510784.0,19758153728.0,0.0,0.0,196608.0,21475966976.0,
