"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven03",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/sort-250gb-1gb-1-raven03.csv",,,,"Date:","15 Aug 2016 20:46:46 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
1.670,0.255,97.749,0.299,0.003,0.025,1331528.964,1206776.677,0.0,0.0,1012543488.0,3674112.0,52047872.0,19962818560.0,0.0,0.063,196608.0,21475966976.0,
0.0,0.874,87.141,11.860,0.0,0.125,7290880.0,0.0,1386.0,1833.0,1012342784.0,5214208.0,52862976.0,19960664064.0,0.0,0.0,196608.0,21475966976.0,
0.125,1.125,87.375,11.375,0.0,0.0,3366912.0,0.0,3514.0,711.0,1012391936.0,6889472.0,51900416.0,19959902208.0,0.0,0.0,196608.0,21475966976.0,
0.0,1.001,87.484,11.514,0.0,0.0,7561216.0,1024000.0,614.0,403.0,1011994624.0,8572928.0,53125120.0,19957391360.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.623,87.282,11.970,0.0,0.0,2056192.0,0.0,4374.0,1143.0,1012097024.0,9592832.0,51920896.0,19957473280.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.375,91.136,8.365,0.125,0.0,1105920.0,753664.0,802.0,403.0,1011019776.0,10145792.0,51302400.0,19958616064.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.875,0.0,0.0,0.0,16384.0,0.0,2918.0,467.0,1010798592.0,10145792.0,50110464.0,19960029184.0,0.0,0.0,196608.0,21475966976.0,
6.125,1.625,84.0,8.0,0.0,0.250,10387456.0,0.0,49598.0,43482.0,1011634176.0,10432512.0,54374400.0,19954642944.0,0.0,0.0,196608.0,21475966976.0,
9.738,16.479,51.810,21.598,0.0,0.375,1114112.0,638976.0,4472285.0,349687.0,1079115776.0,10629120.0,57606144.0,19883732992.0,0.0,0.0,196608.0,21475966976.0,
23.661,29.016,44.707,2.117,0.0,0.498,4349952.0,0.0,1158494.0,242401.0,1176801280.0,10641408.0,60825600.0,19782815744.0,0.0,0.0,196608.0,21475966976.0,
60.689,5.107,22.565,11.401,0.0,0.238,655360.0,0.0,4216299.0,350843.0,1429024768.0,10964992.0,63840256.0,19527254016.0,0.0,0.0,196608.0,21475966976.0,
