"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/sort-250gb-1gb-1-ravenleader.csv",,,,"Date:","15 Aug 2016 20:46:36 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.708,0.455,98.383,0.310,0.010,0.134,4156492.087,812237.722,0.0,0.0,2625650688.0,1472110592.0,9658916864.0,7274418176.0,242.398,5149.038,830468096.0,20143951872.0,
18.905,1.244,79.726,0.0,0.0,0.124,0.0,0.0,102367.0,107437.0,2683412480.0,1472110592.0,9659740160.0,7215833088.0,0.0,0.0,830468096.0,20143951872.0,
27.625,1.875,70.250,0.0,0.0,0.250,0.0,0.0,231957.0,127126.0,2771734528.0,1472110592.0,9659904000.0,7127347200.0,0.0,0.0,830468096.0,20143951872.0,
25.218,1.998,71.910,0.0,0.125,0.749,0.0,16384.0,3095968.0,257017.0,2789167104.0,1472110592.0,9659908096.0,7109910528.0,0.0,0.0,830468096.0,20143951872.0,
11.471,0.374,88.030,0.0,0.0,0.125,0.0,991232.0,11109524.0,156794.0,2790596608.0,1472110592.0,9659969536.0,7108419584.0,0.0,0.0,830468096.0,20143951872.0,
11.500,0.500,87.875,0.125,0.0,0.0,0.0,2818048.0,66568.0,347963.0,2795192320.0,1472114688.0,9659965440.0,7103823872.0,0.0,0.0,830468096.0,20143951872.0,
9.488,0.499,89.888,0.0,0.0,0.125,0.0,73728.0,122393.0,450600.0,2796859392.0,1472114688.0,9660051456.0,7102070784.0,0.0,0.0,830468096.0,20143951872.0,
0.125,0.500,98.875,0.0,0.0,0.500,0.0,0.0,484326.0,8669538.0,2796453888.0,1472114688.0,9660067840.0,7102459904.0,0.0,0.0,830468096.0,20143951872.0,
0.125,0.250,99.251,0.0,0.0,0.375,0.0,0.0,398836.0,6410046.0,2795003904.0,1472114688.0,9660182528.0,7103795200.0,0.0,0.0,830468096.0,20143951872.0,
0.250,0.125,99.251,0.125,0.0,0.250,0.0,974848.0,155325.0,3259154.0,2794225664.0,1472114688.0,9660182528.0,7104573440.0,0.0,0.0,830468096.0,20143951872.0,
0.250,0.375,98.876,0.125,0.125,0.250,0.0,2375680.0,296808.0,6252033.0,2792960000.0,1472139264.0,9660264448.0,7105732608.0,0.0,0.0,830468096.0,20143951872.0,
0.375,0.125,99.250,0.0,0.0,0.250,0.0,73728.0,198636.0,4249814.0,2792988672.0,1472139264.0,9660235776.0,7105732608.0,0.0,0.0,830468096.0,20143951872.0,
0.375,0.250,99.126,0.0,0.0,0.250,0.0,0.0,140902.0,3121824.0,2792583168.0,1472139264.0,9660235776.0,7106138112.0,0.0,0.0,830468096.0,20143951872.0,
0.749,0.125,99.001,0.0,0.0,0.125,0.0,0.0,129171.0,2726576.0,2792583168.0,1472139264.0,9660235776.0,7106138112.0,0.0,0.0,830468096.0,20143951872.0,
0.375,0.125,99.374,0.0,0.0,0.125,0.0,327680.0,113455.0,2080830.0,2792185856.0,1472139264.0,9660235776.0,7106535424.0,0.0,0.0,830468096.0,20143951872.0,
0.998,0.125,98.753,0.0,0.0,0.125,0.0,450560.0,91463.0,318748.0,2791788544.0,1472147456.0,9660624896.0,7106535424.0,0.0,0.0,830468096.0,20143951872.0,
3.125,0.500,96.250,0.0,0.0,0.125,0.0,73728.0,92939.0,1922206.0,2791460864.0,1472147456.0,9660665856.0,7106822144.0,0.0,0.0,830468096.0,20143951872.0,
