"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.121094,1.81453,86.6898,11.0975,0,0.277219,5.10938e+06,698112,66053.7,50408.8,1.02691e+09,1.06995e+07,2.73237e+08,1.97202e+10,0,0,6.83315e+06,2.14693e+10,
0.0742188,1.1675,87.1489,11.3559,0,0.253625,5.15917e+06,903680,15743.3,103347,1.02115e+09,1.19877e+07,1.2269e+08,1.98753e+10,0,0,6.83315e+06,2.14693e+10,
0.0976562,1.00294,87.2101,11.4906,0.0078125,0.191188,4.69683e+06,773888,1528.09,17306.9,1.01217e+09,1.14463e+07,5.62468e+07,1.99512e+10,0,0,6.83315e+06,2.14693e+10,
0.0897813,0.648031,87.8322,11.2466,0,0.1835,4.94067e+06,6144,38903.1,22247.8,1.0122e+09,1.26783e+07,5.6412e+07,1.99498e+10,0,0,6.83315e+06,2.14693e+10,
0.257812,0.725969,87.8197,11.0173,0.00390625,0.175656,4.59853e+06,46336,232748,44032.2,1.01304e+09,1.38527e+07,5.68118e+07,1.99474e+10,0,0,6.83315e+06,2.14693e+10,
0.61325,0.620781,87.5145,11.1306,0,0.121125,4.03789e+06,559104,183755,21818.1,1.01438e+09,1.49467e+07,5.6842e+07,1.99449e+10,0,0,6.83315e+06,2.14693e+10,
0.838875,0.597094,87.6313,10.8082,0.00390625,0.120906,4.30272e+06,788480,130437,5849.19,1.01588e+09,1.5936e+07,5.70966e+07,1.99422e+10,0,0,6.83315e+06,2.14693e+10,
0.523906,0.499781,89.1665,9.72413,0.00390625,0.082,3.50938e+06,540160,153696,6818.44,1.01708e+09,1.67313e+07,5.71862e+07,1.99401e+10,0,0,6.83315e+06,2.14693e+10,
0.616469,0.425438,90.4546,8.41784,0.0078125,0.0780625,3.67066e+06,1280,151748,8334.28,1.0176e+09,1.73727e+07,5.75323e+07,1.99386e+10,0,0,6.83315e+06,2.14693e+10,
0.647687,0.316188,91.5757,7.42547,0,0.0351562,3.00403e+06,3584,98055.6,4798.59,1.01799e+09,1.78747e+07,5.75901e+07,1.99376e+10,0,0,6.83315e+06,2.14693e+10,
0.666469,0.300469,92.5883,6.40219,0.015625,0.0272812,3.06893e+06,292096,102132,4518.25,1.01846e+09,1.82853e+07,5.77684e+07,1.99366e+10,0,0,6.83315e+06,2.14693e+10,
0.682781,0.199094,93.738,5.34519,0.0117188,0.0234375,2.46067e+06,368384,90546.3,4116.97,1.019e+09,1.85942e+07,5.78532e+07,1.99356e+10,0,0,6.83315e+06,2.14693e+10,
1.45931,0.402031,93.4948,4.61669,0.00390625,0.0234375,2.92787e+06,383232,96859.2,7050.91,1.02084e+09,1.88603e+07,5.80905e+07,1.99333e+10,0,0,6.83315e+06,2.14693e+10,
5.05412,2.94694,82.6225,9.21634,0.00390625,0.156125,2.81907e+06,4096,337681,112108,1.03696e+09,1.917e+07,5.93532e+07,1.99156e+10,0,0,6.83315e+06,2.14693e+10,
14.8786,15.3457,54.5948,14.8453,0.0234375,0.312219,3.31571e+06,7680,2.55995e+06,367134,1.09911e+09,1.94376e+07,6.28118e+07,1.98497e+10,0,0,6.83315e+06,2.14693e+10,
33.3922,18.1078,41.7914,6.23828,0.0232812,0.446875,2.05517e+06,173824,2.47577e+06,381131,1.22082e+09,1.95982e+07,6.5093e+07,1.97256e+10,0,0,6.83315e+06,2.14693e+10,
66.5893,4.30009,20.2423,8.59837,0.00759375,0.262125,2.86387e+06,445440,3.34413e+06,319276,1.41494e+09,1.97627e+07,6.79301e+07,1.95285e+10,0,0,6.83315e+06,2.14693e+10,
88.5394,3.27259,5.85825,2.14659,0.0208125,0.162469,2.24026e+06,1.12691e+06,2.26902e+06,117682,1.61945e+09,1.98482e+07,6.99139e+07,1.93219e+10,0,0,6.83315e+06,2.14693e+10,
81.0589,5.60734,7.59203,5.44494,0.0185937,0.278187,2.43098e+06,1.2375e+06,2.40369e+06,116592,1.8296e+09,1.99502e+07,7.2681e+07,1.91088e+10,0,0,6.83315e+06,2.14693e+10,
72.916,4.03075,11.2733,11.4716,0.0345312,0.273688,2.08819e+06,245760,3.47066e+06,175095,2.01326e+09,2.00475e+07,7.57658e+07,1.8922e+10,0,0,6.83315e+06,2.14693e+10,
91.5653,2.63769,2.44019,3.16288,0.0186875,0.175281,2.46144e+06,250624,2.88118e+06,167225,2.16127e+09,2.01083e+07,7.78405e+07,1.87719e+10,0,0,6.83315e+06,2.14693e+10,
95.2102,2.79988,0.943812,0.806406,0.0154687,0.224156,2.17882e+06,421120,2.06408e+06,105635,2.26346e+09,2.01627e+07,8.08448e+07,1.86666e+10,0,0,6.83315e+06,2.14693e+10,
86.5087,5.60703,4.46487,3.16325,0.0271875,0.229156,1.12748e+07,1.14125e+06,2.80707e+06,262480,2.58531e+09,2.02852e+07,8.9418e+07,1.83361e+10,0,0,6.83315e+06,2.14693e+10,
77.8058,4.91881,9.13247,7.78969,0.0326562,0.320594,7.72972e+07,1.21779e+06,2.01439e+06,422828,3.03986e+09,2.04371e+07,1.31255e+08,1.78395e+10,0,0,6.83315e+06,2.14693e+10,
65.2528,4.83606,13.3984,16.0892,0.0328437,0.390531,1.48887e+08,484608,659404,130512,3.63243e+09,2.05727e+07,2.12043e+08,1.7166e+10,0,0,6.83315e+06,2.14693e+10,
39.8558,3.46562,26.6282,29.5668,0.0312187,0.451937,1.82831e+08,381696,53317.3,25357,3.99262e+09,2.06811e+07,3.06138e+08,1.67116e+10,0,0,6.83315e+06,2.14693e+10,
25.8142,2.12041,38.7982,32.8183,0.0234375,0.425531,1.79939e+08,772864,221971,17294.6,4.10865e+09,2.07908e+07,3.93982e+08,1.65077e+10,0,0,6.83315e+06,2.14693e+10,
25.0152,1.60687,41.1053,31.8592,0.0194687,0.394031,1.77676e+08,686848,200039,15221,4.16166e+09,2.09006e+07,4.84243e+08,1.63643e+10,0,0,6.83315e+06,2.14693e+10,
45.8735,2.01103,28.2045,23.4797,0.0273125,0.404094,1.854e+08,409856,76885.9,8611.47,4.21485e+09,2.10088e+07,5.82175e+08,1.62131e+10,0,0,6.83315e+06,2.14693e+10,
63.3038,2.13,17.0585,17.0412,0.038875,0.427781,1.91736e+08,683904,28105.3,8530.44,4.24437e+09,2.11261e+07,6.95852e+08,1.60697e+10,0,0,6.83315e+06,2.14693e+10,
73.5887,2.24297,12.8339,10.9288,0.0382813,0.367375,1.73039e+08,154496,8200,4227.06,4.24822e+09,2.12589e+07,8.1712e+08,1.59445e+10,0,0,6.83315e+06,2.14693e+10,
78.6602,4.65534,9.22372,7.12881,0.0233437,0.308594,1.4782e+08,8.40525e+06,1982.16,3998.91,4.26162e+09,2.14636e+07,9.93382e+08,1.57546e+10,0,0,6.83315e+06,2.14693e+10,
77.166,6.05391,7.788,8.56403,0.0367188,0.391281,1.74207e+08,3.32675e+07,4585.12,7334.97,4.29176e+09,2.17152e+07,1.22187e+09,1.54957e+10,0,0,6.83315e+06,2.14693e+10,
68.2802,5.73919,11.3009,14.1396,0.0311875,0.508875,1.85371e+08,1.04319e+08,8712.78,4978.97,4.33213e+09,2.19466e+07,1.43482e+09,1.52422e+10,0,0,6.83315e+06,2.14693e+10,
59.0577,4.656,15.0507,20.5626,0.0467188,0.626438,2.05279e+08,1.78831e+08,1830.97,3111.78,4.39324e+09,2.21409e+07,1.61538e+09,1.50003e+10,0,0,6.83315e+06,2.14693e+10,
63.0237,4.82053,14.1862,17.2605,0.0463438,0.662969,1.95902e+08,1.93758e+08,4588.94,4110.28,4.47212e+09,2.23327e+07,1.79241e+09,1.47442e+10,0,0,6.83315e+06,2.14693e+10,
69.3002,4.68741,10.4142,14.9117,0.0348437,0.651719,1.91741e+08,1.81767e+08,6908.59,60278.4,4.55452e+09,2.25258e+07,1.97359e+09,1.44804e+10,0,0,6.83315e+06,2.14693e+10,
66.8815,5.55188,12.4972,14.4525,0.04675,0.570156,1.68413e+08,1.58814e+08,1718.84,2886.59,4.62502e+09,2.27309e+07,2.16017e+09,1.42232e+10,0,0,6.83315e+06,2.14693e+10,
64.1783,5.88634,11.2602,18.0684,0.0299062,0.57675,1.80663e+08,1.6708e+08,8057.69,8494.16,4.69944e+09,2.29556e+07,2.35908e+09,1.39496e+10,0,0,6.83315e+06,2.14693e+10,
57.9421,5.62181,14.5385,21.2085,0.0425312,0.6465,1.85019e+08,2.15241e+08,4649.75,6974.94,4.75896e+09,2.31619e+07,2.55099e+09,1.3698e+10,0,0,6.83315e+06,2.14693e+10,
62.0902,5.40997,12.7843,19.0199,0.0389063,0.656719,2.00643e+08,2.05934e+08,5127.75,6246.47,4.8175e+09,2.33725e+07,2.75045e+09,1.34398e+10,0,0,6.83315e+06,2.14693e+10,
62.7913,4.50816,14.0984,17.9394,0.0468125,0.615844,1.98682e+08,1.72143e+08,14111,21263.8,4.8648e+09,2.35657e+07,2.93137e+09,1.32114e+10,0,0,6.83315e+06,2.14693e+10,
65.1943,4.62763,13.0789,16.5895,0.0312187,0.478531,1.771e+08,1.34269e+08,55012.3,44782.7,4.88805e+09,2.37793e+07,3.11424e+09,1.3005e+10,0,0,6.83315e+06,2.14693e+10,
