"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/sort-250gb-512mb-1-ravenleader.csv",,,,"Date:","15 Aug 2016 20:14:04 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.708,0.455,98.383,0.310,0.010,0.134,4159102.231,812414.393,0.0,0.0,2635268096.0,1465561088.0,10689183744.0,6241083392.0,242.550,5152.271,830468096.0,20143951872.0,
17.853,1.248,80.774,0.0,0.0,0.125,0.0,0.0,46233.0,41912.0,2692399104.0,1465561088.0,10689994752.0,6183141376.0,0.0,0.0,830468096.0,20143951872.0,
28.964,2.247,68.414,0.0,0.125,0.250,0.0,647168.0,35463.0,25619.0,2782949376.0,1465561088.0,10690129920.0,6092455936.0,0.0,0.0,830468096.0,20143951872.0,
28.464,1.373,69.788,0.0,0.0,0.375,0.0,8192.0,230852.0,323984.0,2803601408.0,1465561088.0,10690129920.0,6071803904.0,0.0,0.0,830468096.0,20143951872.0,
7.481,0.374,91.771,0.0,0.0,0.374,0.0,8192.0,10951726.0,240462.0,2805104640.0,1465561088.0,10690195456.0,6070235136.0,0.0,0.0,830468096.0,20143951872.0,
15.855,0.499,83.396,0.125,0.0,0.125,0.0,2826240.0,2854135.0,61064.0,2809925632.0,1465561088.0,10690199552.0,6065410048.0,0.0,0.0,830468096.0,20143951872.0,
10.237,0.499,89.014,0.0,0.125,0.125,0.0,73728.0,49908.0,374775.0,2812915712.0,1465561088.0,10690256896.0,6062362624.0,0.0,0.0,830468096.0,20143951872.0,
0.125,0.125,99.500,0.0,0.0,0.250,0.0,811008.0,53226.0,144290.0,2811998208.0,1465561088.0,10690269184.0,6063267840.0,0.0,0.0,830468096.0,20143951872.0,
0.125,0.375,99.125,0.0,0.0,0.375,0.0,0.0,376719.0,5414427.0,2811473920.0,1465561088.0,10690285568.0,6063775744.0,0.0,0.0,830468096.0,20143951872.0,
0.250,0.250,99.251,0.0,0.0,0.250,0.0,0.0,254626.0,5563064.0,2811473920.0,1465561088.0,10690285568.0,6063775744.0,0.0,0.0,830468096.0,20143951872.0,
0.250,0.250,99.126,0.125,0.0,0.250,0.0,40960.0,220291.0,4992004.0,2811183104.0,1465565184.0,10690285568.0,6064062464.0,0.0,0.0,830468096.0,20143951872.0,
0.500,0.375,98.750,0.0,0.0,0.375,0.0,73728.0,265810.0,5921626.0,2811305984.0,1465565184.0,10690289664.0,6063935488.0,0.0,0.0,830468096.0,20143951872.0,
0.125,0.374,99.127,0.0,0.0,0.374,0.0,245760.0,211786.0,4399183.0,2810638336.0,1465569280.0,10690285568.0,6064603136.0,0.0,0.0,830468096.0,20143951872.0,
0.125,0.250,99.376,0.0,0.0,0.250,0.0,0.0,170515.0,3401752.0,2810888192.0,1465569280.0,10690289664.0,6064349184.0,0.0,0.0,830468096.0,20143951872.0,
0.625,0.375,98.750,0.0,0.125,0.125,0.0,0.0,107538.0,2381923.0,2810720256.0,1465569280.0,10690289664.0,6064517120.0,0.0,0.0,830468096.0,20143951872.0,
0.250,0.250,99.376,0.0,0.0,0.125,0.0,65536.0,132768.0,2829892.0,2810720256.0,1465569280.0,10690289664.0,6064517120.0,0.0,0.0,830468096.0,20143951872.0,
