"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven30",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/sort-64gb-128mb-1-raven30.csv",,,,"Date:","15 Aug 2016 18:35:53 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
1.000,0.127,98.602,0.255,0.002,0.014,667095.229,857691.166,0.0,0.0,970067968.0,3313664.0,54198272.0,20003504128.0,0.0,0.063,196608.0,21475966976.0,
0.125,0.249,87.406,12.219,0.0,0.0,1630208.0,0.0,4009.0,2642.0,970899456.0,4120576.0,53067776.0,20002996224.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.375,87.610,12.015,0.0,0.0,6152192.0,1269760.0,251.0,427.0,971878400.0,4984832.0,54714368.0,19999506432.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.499,87.266,12.235,0.0,0.0,1630208.0,0.0,177.0,403.0,973574144.0,5787648.0,53358592.0,19998363648.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.250,87.516,12.110,0.0,0.0,5668864.0,409600.0,289.0,938.0,974045184.0,6524928.0,54419456.0,19996094464.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.250,87.500,12.125,0.0,0.0,1720320.0,0.0,305.0,481.0,976449536.0,7376896.0,53338112.0,19993919488.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.375,87.391,12.235,0.0,0.0,5414912.0,0.0,241.0,403.0,976736256.0,7979008.0,54530048.0,19991838720.0,0.0,0.0,196608.0,21475966976.0,
0.624,0.375,86.517,12.484,0.0,0.0,901120.0,1384448.0,289.0,938.0,977965056.0,8429568.0,53231616.0,19991457792.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,87.375,12.500,0.0,0.0,5275648.0,0.0,427.0,647.0,977092608.0,8962048.0,54493184.0,19990536192.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.374,87.282,12.095,0.0,0.125,2580480.0,0.0,177.0,403.0,981454848.0,10244096.0,53452800.0,19985932288.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,87.625,11.875,0.0,0.0,6578176.0,0.0,417.0,938.0,987791360.0,11427840.0,54362112.0,19977502720.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,96.0,3.875,0.0,0.0,532480.0,0.0,241.0,403.0,990195712.0,11681792.0,53465088.0,19975741440.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.625,0.250,0.0,0.0,4218880.0,2064384.0,371.0,651.0,989093888.0,11698176.0,54607872.0,19975684096.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.875,0.0,0.0,0.0,16384.0,40960.0,289.0,938.0,989175808.0,11706368.0,53624832.0,19976577024.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.875,0.0,0.0,0.0,4210688.0,0.0,177.0,403.0,988868608.0,11706368.0,54542336.0,19975966720.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.750,0.0,0.125,0.0,16384.0,0.0,241.0,481.0,988745728.0,11706368.0,53649408.0,19976982528.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.751,0.125,0.0,0.0,4218880.0,0.0,289.0,938.0,988082176.0,11710464.0,54554624.0,19976736768.0,0.0,0.0,196608.0,21475966976.0,
0.250,0.0,99.249,0.501,0.0,0.0,73728.0,40960.0,177.0,403.0,987901952.0,11751424.0,53624832.0,19977805824.0,0.0,0.0,196608.0,21475966976.0,
13.125,5.500,48.0,33.0,0.0,0.375,5775360.0,0.0,20553.0,12753.0,1047875584.0,12025856.0,59494400.0,19911688192.0,0.0,0.0,196608.0,21475966976.0,
10.399,33.495,49.698,6.288,0.0,0.121,8192.0,3022848.0,5015310.0,445083.0,1080246272.0,12042240.0,59551744.0,19879243776.0,0.0,0.0,196608.0,21475966976.0,
46.294,7.169,34.629,11.422,0.0,0.486,4734976.0,0.0,4180197.0,509511.0,1258479616.0,12308480.0,64131072.0,19696164864.0,0.0,0.0,196608.0,21475966976.0,
87.853,3.558,3.190,5.276,0.0,0.123,0.0,0.0,2256237.0,98412.0,1478209536.0,12308480.0,64663552.0,19475902464.0,0.0,0.0,196608.0,21475966976.0,
96.384,3.051,0.226,0.113,0.0,0.226,4202496.0,40960.0,1546159.0,68045.0,1677262848.0,12316672.0,67645440.0,19273859072.0,0.0,0.0,196608.0,21475966976.0,
76.145,4.337,6.867,12.410,0.0,0.241,0.0,368640.0,3795741.0,165529.0,1923149824.0,12324864.0,70516736.0,19025092608.0,0.0,0.0,196608.0,21475966976.0,
81.494,2.780,4.605,10.947,0.0,0.174,4259840.0,0.0,3813663.0,181358.0,2178813952.0,12333056.0,74436608.0,18765500416.0,0.0,0.0,196608.0,21475966976.0,
97.824,1.604,0.344,0.115,0.0,0.115,4194304.0,0.0,531557.0,29871.0,2227032064.0,12357632.0,77467648.0,18714226688.0,0.0,0.0,196608.0,21475966976.0,
85.803,4.483,5.106,4.234,0.0,0.374,106496.0,0.0,4782881.0,199223.0,2373054464.0,12394496.0,80863232.0,18564771840.0,0.0,0.0,196608.0,21475966976.0,
79.177,5.985,6.733,7.731,0.0,0.374,59334656.0,1179648.0,1644169.0,97008.0,2796400640.0,12431360.0,111316992.0,18110935040.0,0.0,0.0,196608.0,21475966976.0,
81.598,5.811,4.237,7.869,0.0,0.484,134348800.0,2400256.0,870526.0,42091.0,3725869056.0,12591104.0,187293696.0,17105330176.0,0.0,0.0,196608.0,21475966976.0,
49.500,7.250,20.750,21.625,0.0,0.875,210501632.0,0.0,3726.0,1113.0,4648128512.0,12705792.0,294277120.0,16075972608.0,0.0,0.0,196608.0,21475966976.0,
14.625,1.125,49.875,33.500,0.0,0.875,210821120.0,0.0,1066.0,3741.0,4631220224.0,12804096.0,398995456.0,15988064256.0,0.0,0.0,196608.0,21475966976.0,
13.466,1.496,41.646,42.768,0.125,0.499,209821696.0,0.0,848.0,2172.0,4632547328.0,12910592.0,509689856.0,15875936256.0,0.0,0.0,196608.0,21475966976.0,
37.0,1.500,31.0,30.0,0.0,0.500,193396736.0,1081344.0,27645.0,29491.0,4641968128.0,13004800.0,591687680.0,15784423424.0,0.0,0.0,196608.0,21475966976.0,
70.375,1.522,11.944,15.808,0.0,0.351,230203392.0,0.0,35762.0,8523.0,4643856384.0,13119488.0,716566528.0,15657541632.0,0.0,0.0,196608.0,21475966976.0,
96.083,2.503,0.0,0.979,0.0,0.435,215465984.0,65536.0,1717.0,4105.0,4643262464.0,13258752.0,851484672.0,15523078144.0,0.0,0.0,196608.0,21475966976.0,
95.387,3.741,0.499,0.125,0.125,0.125,95363072.0,0.0,1130.0,6704.0,4640403456.0,13414400.0,985595904.0,15391670272.0,0.0,0.0,196608.0,21475966976.0,
88.551,10.719,0.122,0.487,0.0,0.122,81559552.0,0.0,1065.0,2978.0,4659343360.0,13758464.0,1289478144.0,15068504064.0,0.0,0.0,196608.0,21475966976.0,
63.046,8.365,17.104,10.986,0.0,0.499,219545600.0,65536.0,148869.0,5630.0,4675022848.0,14073856.0,1590243328.0,14751744000.0,0.0,0.0,196608.0,21475966976.0,
46.250,4.0,27.500,21.625,0.0,0.625,207855616.0,0.0,129482.0,127996.0,4685197312.0,14282752.0,1778720768.0,14552883200.0,0.0,0.0,196608.0,21475966976.0,
63.795,3.143,20.140,12.456,0.0,0.466,136519680.0,269369344.0,577239.0,129051.0,4789870592.0,14376960.0,1867505664.0,14359330816.0,0.0,0.0,196608.0,21475966976.0,
