"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
17.2999,7.31038,68.1595,6.10219,0,1.12794,2.11712e+06,192256,52782.9,15981.2,2.55433e+09,6.0951e+06,1.57882e+08,1.83128e+10,0,0,7.1977e+06,2.1469e+10,
17.3159,6.95766,69.2649,5.36819,0,1.09325,4.56192e+06,122880,44808.1,196126,2.55083e+09,6.4e+06,5.67104e+07,1.84171e+10,0,0,7.1977e+06,2.1469e+10,
17.2239,6.83994,70.2523,4.55934,0.0117188,1.11266,2.23974e+06,527104,36020,52493,2.55113e+09,6.71309e+06,5.65716e+07,1.84167e+10,0,0,7.1977e+06,2.1469e+10,
17.2965,6.80803,70.8593,3.92428,0.0078125,1.10409,3.28448e+06,314112,52957.6,18760.3,2.55136e+09,6.97357e+06,5.70115e+07,1.84157e+10,0,0,7.1977e+06,2.1469e+10,
17.5439,6.82481,70.9261,3.57366,0.0117188,1.11984,1.63533e+06,303872,253851,39390.3,2.55265e+09,7.18669e+06,5.69276e+07,1.84143e+10,0,0,7.1977e+06,2.1469e+10,
17.8367,6.80594,70.9748,3.25456,0.0117188,1.116,3.05408e+06,100608,285861,50342.3,2.55403e+09,7.39354e+06,5.75192e+07,1.84121e+10,0,0,7.1977e+06,2.1469e+10,
18.0591,6.84284,71.0374,2.94409,0.0117188,1.10466,1.80147e+06,55552,153024,10325.7,2.55667e+09,7.63251e+06,5.73203e+07,1.84095e+10,0,0,7.1977e+06,2.1469e+10,
17.5086,6.88856,71.7518,2.71522,0.00390625,1.13178,2.91507e+06,453632,229035,12737.6,2.55791e+09,7.83629e+06,5.7772e+07,1.84076e+10,0,0,7.1977e+06,2.1469e+10,
17.7571,6.74359,71.6578,2.70575,0.00390625,1.13166,1.92051e+06,132608,168580,10134.9,2.5586e+09,8.06502e+06,5.76581e+07,1.84068e+10,0,0,7.1977e+06,2.1469e+10,
17.8058,6.8425,72.1479,2.15375,0,1.04987,2.87565e+06,53504,152506,9048.34,2.55906e+09,8.24243e+06,5.80897e+07,1.84057e+10,0,0,7.1977e+06,2.1469e+10,
18.1032,6.93159,71.6623,2.18275,0.00390625,1.11609,1.74285e+06,84992,192549,40990.6,2.56017e+09,8.39885e+06,5.83639e+07,1.84041e+10,0,0,7.1977e+06,2.1469e+10,
19.8173,7.20378,67.667,4.09053,0.0078125,1.21362,3.29677e+06,78592,1.11119e+06,123898,2.56886e+09,8.56755e+06,6.04099e+07,1.83932e+10,0,0,7.1977e+06,2.1469e+10,
22.2781,7.381,64.9564,4.14031,0.0234062,1.221,1.59181e+06,394752,2.33083e+06,252514,2.58694e+09,8.74688e+06,6.22127e+07,1.83732e+10,0,0,7.1977e+06,2.1469e+10,
28.8056,7.33019,58.5033,4.128,0.0117188,1.22109,3.13907e+06,113920,2.27329e+06,119051,2.61606e+09,8.92877e+06,6.49445e+07,1.83412e+10,0,0,7.1977e+06,2.1469e+10,
29.6618,7.35262,56.6953,5.01784,0.0078125,1.2645,1.80774e+06,71680,2.93581e+06,137447,2.64981e+09,9.06624e+06,6.801e+07,1.83042e+10,0,0,7.1977e+06,2.1469e+10,
34.8274,7.09459,52.5965,4.22256,0.00753125,1.25141,2.9408e+06,470272,3.48073e+06,214709,2.68328e+09,9.20282e+06,7.14853e+07,1.82671e+10,0,0,7.1977e+06,2.1469e+10,
35.8049,7.19941,51.8599,3.93772,0.00390625,1.19397,1.52832e+06,441856,3.21684e+06,137567,2.71399e+09,9.30074e+06,7.42813e+07,1.82335e+10,0,0,7.1977e+06,2.1469e+10,
31.4951,7.24144,56.3594,3.68863,0.0117188,1.20387,1.43964e+07,360960,2.82226e+06,124313,2.78378e+09,9.37626e+06,8.3015e+07,1.81549e+10,0,0,7.1977e+06,2.1469e+10,
35.7901,7.24838,53.0745,2.56394,0.0155937,1.30756,5.98687e+07,245504,4.56502e+06,1.63738e+06,2.83124e+09,9.44512e+06,1.13549e+08,1.80769e+10,0,0,7.1977e+06,2.1469e+10,
32.5813,6.988,56.2453,2.99138,0.0116875,1.18222,4.71173e+07,27392,6.69556e+06,1.45691e+06,2.84527e+09,9.5159e+06,1.36515e+08,1.80398e+10,0,0,7.1977e+06,2.1469e+10,
32.8201,6.87041,57.7931,1.42788,0.0234375,1.065,2.52329e+07,204288,1.26356e+06,41395.4,2.86718e+09,9.64006e+06,1.55165e+08,1.79991e+10,0,0,7.1977e+06,2.1469e+10,
31.7633,7.41425,57.6681,1.95966,0.0078125,1.18691,5.37311e+07,7.82029e+06,119801,740514,2.87519e+09,9.79456e+06,2.09055e+08,1.7937e+10,0,0,7.1977e+06,2.1469e+10,
32.8032,7.282,57.1283,1.61197,0.0234375,1.15119,5.97115e+07,773376,2.74961e+06,5.29527e+06,2.88924e+09,9.89184e+06,2.56075e+08,1.78759e+10,0,0,7.1977e+06,2.1469e+10,
33.1266,6.86575,57.0343,1.86941,0.0078125,1.09606,3.44371e+07,2.09485e+06,4.07426e+06,2.22581e+06,2.89933e+09,9.99718e+06,2.824e+08,1.78394e+10,0,0,7.1977e+06,2.1469e+10,
