"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/wc-250gb-128mb-1-ravenleader.csv",,,,"Date:","15 Aug 2016 17:21:52 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.708,0.453,98.386,0.311,0.010,0.132,4172969.710,810500.310,0.0,0.0,3025297408.0,1348403200.0,16420474880.0,236920832.0,243.359,5169.454,830468096.0,20143951872.0,
22.943,4.239,72.319,0.0,0.0,0.499,0.0,0.0,309745.0,385924.0,3080712192.0,1348403200.0,16421302272.0,180678656.0,0.0,0.0,830468096.0,20143951872.0,
26.841,1.248,71.785,0.0,0.0,0.125,0.0,0.0,156239.0,256993.0,3167936512.0,1348403200.0,16421421056.0,93335552.0,0.0,0.0,830468096.0,20143951872.0,
19.125,0.625,80.250,0.0,0.0,0.0,0.0,32768.0,30099.0,20394.0,3186520064.0,1348403200.0,16421425152.0,74747904.0,0.0,0.0,830468096.0,20143951872.0,
20.875,0.500,78.500,0.0,0.0,0.125,0.0,827392.0,31023.0,299544.0,3196026880.0,1348407296.0,16421429248.0,65232896.0,0.0,0.0,830468096.0,20143951872.0,
10.763,0.375,88.736,0.125,0.0,0.0,0.0,2744320.0,47590.0,417028.0,3199172608.0,1348411392.0,16421445632.0,62066688.0,0.0,0.0,830468096.0,20143951872.0,
0.249,0.374,98.755,0.0,0.125,0.498,0.0,0.0,393171.0,6557595.0,3196350464.0,1348411392.0,16421457920.0,64876544.0,0.0,0.0,830468096.0,20143951872.0,
0.125,0.375,99.125,0.0,0.0,0.375,0.0,0.0,323501.0,7649708.0,3196321792.0,1348411392.0,16421470208.0,64892928.0,0.0,0.0,830468096.0,20143951872.0,
0.125,0.250,99.376,0.0,0.0,0.250,0.0,0.0,148389.0,3044422.0,3195510784.0,1348411392.0,16421470208.0,65703936.0,0.0,0.0,830468096.0,20143951872.0,
0.125,0.375,99.250,0.0,0.0,0.250,0.0,458752.0,260857.0,5811072.0,3195252736.0,1348415488.0,16421470208.0,65957888.0,0.0,0.0,830468096.0,20143951872.0,
0.125,0.125,99.377,0.125,0.0,0.249,0.0,1400832.0,216142.0,4586518.0,3194441728.0,1348423680.0,16421462016.0,66768896.0,0.0,0.0,830468096.0,20143951872.0,
0.375,0.125,99.250,0.0,0.0,0.250,0.0,40960.0,102234.0,1859536.0,3194429440.0,1348423680.0,16421474304.0,66768896.0,0.0,0.0,830468096.0,20143951872.0,
