"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.109281,0.0546875,99.6917,0.140563,0,0.00390625,1.61638e+06,11776,2963.34,1740.81,1.03533e+09,1.95597e+06,5.5175e+07,1.99386e+10,0,0,6.83315e+06,2.14693e+10,
0.0937188,0.0585938,99.7111,0.132781,0,0.00390625,2.40768e+06,20224,10777.1,9310.53,1.03493e+09,1.96634e+06,5.54373e+07,1.99387e+10,0,0,6.83315e+06,2.14693e+10,
0.124938,0.0898125,99.5044,0.257625,0.00390625,0.0195312,2.05798e+06,31232,32336.6,19158.5,1.03474e+09,1.98208e+06,5.5477e+07,1.99389e+10,0,0,6.83315e+06,2.14693e+10,
0.410156,0.105469,99.2034,0.257719,0,0.0234375,2.4105e+06,160000,270721,62070.7,1.03573e+09,1.99565e+06,5.59087e+07,1.99374e+10,0,0,6.83315e+06,2.14693e+10,
0.647687,0.082,99.1223,0.113219,0.00390625,0.0312187,1.8816e+06,508672,244375,45795.4,1.03653e+09,2.00755e+06,5.59907e+07,1.99366e+10,0,0,6.83315e+06,2.14693e+10,
0.893469,0.0702813,98.931,0.08975,0.00390625,0.0117188,2.38592e+06,2560,108658,5093.84,1.03818e+09,2.00998e+06,5.6249e+07,1.99346e+10,0,0,6.83315e+06,2.14693e+10,
0.444844,0.05075,99.3835,0.105406,0,0.0155937,1.8601e+06,69632,193402,8736.38,1.03863e+09,2.01254e+06,5.63295e+07,1.99341e+10,0,0,6.83315e+06,2.14693e+10,
0.503313,0.0859063,99.3445,0.05075,0,0.015625,2.39232e+06,43264,133943,6162.22,1.03852e+09,2.01549e+06,5.65499e+07,1.9934e+10,0,0,6.83315e+06,2.14693e+10,
0.604812,0.0585625,99.2391,0.0780625,0.00390625,0.015625,1.87827e+06,6400,92998.9,4942.34,1.03829e+09,2.01958e+06,5.65852e+07,1.99342e+10,0,0,6.83315e+06,2.14693e+10,
0.678906,0.0585625,99.2236,0.0273125,0.00390625,0.0078125,2.39078e+06,25600,120555,5188.56,1.03848e+09,2.02458e+06,5.67982e+07,1.99338e+10,0,0,6.83315e+06,2.14693e+10,
0.985531,0.089875,98.7491,0.167906,0,0.0078125,1.87238e+06,15616,53961.4,2828.12,1.04017e+09,2.03507e+06,5.67602e+07,1.99321e+10,0,0,6.83315e+06,2.14693e+10,
0.120969,0.0585938,99.7426,0.07025,0,0.0078125,2.40819e+06,27904,50354.5,12440.5,1.0399e+09,2.04109e+06,5.69228e+07,1.99322e+10,0,0,6.83315e+06,2.14693e+10,
0.316406,0.0546875,99.262,0.351437,0.00390625,0.0117188,1.88493e+06,16896,3960.16,3011.28,1.03958e+09,2.06118e+06,5.68721e+07,1.99326e+10,0,0,6.83315e+06,2.14693e+10,
6.03809,1.95753,88.6215,3.21141,0.0155937,0.156,3.01056e+06,77824,313307,80234.6,1.05229e+09,2.1856e+06,5.79904e+07,1.99186e+10,0,0,6.83315e+06,2.14693e+10,
13.5612,8.31266,58.2891,19.4821,0.03125,0.323781,2.54259e+06,403712,2.42858e+06,463527,1.11496e+09,2.31091e+06,6.15579e+07,1.98523e+10,0,0,6.83315e+06,2.14693e+10,
30.2796,23.7758,41.1329,4.34878,0.0468125,0.41625,2.30707e+06,713472,2.78001e+06,312498,1.22322e+09,2.34432e+06,6.39532e+07,1.97416e+10,0,0,6.83315e+06,2.14693e+10,
63.6888,4.69441,22.0518,9.19044,0.015375,0.359094,1.90797e+06,189952,3.22582e+06,340898,1.42472e+09,2.42995e+06,6.69039e+07,1.9537e+10,0,0,6.83315e+06,2.14693e+10,
90.7447,3.21697,3.90922,1.93606,0.00728125,0.185562,2.7305e+06,917760,2.8326e+06,157188,1.62598e+09,2.45734e+06,6.9244e+07,1.93334e+10,0,0,6.83315e+06,2.14693e+10,
91.4875,3.69066,2.51094,2.06925,0.0228125,0.218813,1.56851e+06,666112,2.13572e+06,96218.8,1.84157e+09,2.46682e+06,7.15178e+07,1.91155e+10,0,0,6.83315e+06,2.14693e+10,
72.6514,3.86584,10.1012,13.0431,0.0194687,0.319094,3.07686e+06,147456,3.34065e+06,155752,2.04124e+09,2.47949e+06,7.52118e+07,1.89122e+10,0,0,6.83315e+06,2.14693e+10,
89.9247,2.80437,3.95887,3.13344,0.00675,0.172,4.17715e+06,165888,3.0335e+06,147930,2.22906e+09,2.4983e+06,7.84915e+07,1.8721e+10,0,0,6.83315e+06,2.14693e+10,
93.5437,2.62903,2.64741,0.959406,0.00765625,0.212719,7.2937e+06,71168,2.14281e+06,207249,2.35875e+09,2.52557e+06,8.37777e+07,1.8586e+10,0,0,6.83315e+06,2.14693e+10,
86.017,4.80094,6.77219,2.09287,0.0271875,0.290031,1.22007e+07,546816,3.14403e+06,426234,2.59415e+09,2.57664e+06,9.18473e+07,1.83425e+10,0,0,6.83315e+06,2.14693e+10,
80.2672,6.44666,9.36369,3.67409,0.025375,0.222687,5.17284e+07,691200,2.18768e+06,450680,3.34078e+09,2.69299e+06,1.18002e+08,1.75696e+10,0,0,6.83315e+06,2.14693e+10,
86.2174,5.69166,5.76106,1.97178,0.0240938,0.334031,8.93453e+07,635904,942342,493008,4.17976e+09,2.80371e+06,1.63133e+08,1.66854e+10,0,0,6.83315e+06,2.14693e+10,
90.2169,4.43203,4.16503,0.644188,0.02925,0.512531,1.30089e+08,544512,2.81462e+06,2.66643e+06,4.79498e+09,2.8864e+06,2.26529e+08,1.60067e+10,0,0,6.83315e+06,2.14693e+10,
92.8229,3.80506,2.84831,0.0555937,0.0417187,0.426469,1.03215e+08,418816,4.64852e+06,5.1383e+06,5.27656e+09,2.94093e+06,2.75575e+08,1.5476e+10,0,0,6.83315e+06,2.14693e+10,
94.4468,1.8,3.31378,0.160156,0.0224687,0.256906,5.20673e+07,272640,3.89379e+06,4.13791e+06,5.44549e+09,2.96806e+06,3.00323e+08,1.52823e+10,0,0,6.83315e+06,2.14693e+10,
94.3884,1.04559,3.51844,0.87375,0.0155937,0.158219,2.18309e+07,215552,1.9306e+06,1.85488e+06,5.49283e+09,2.97997e+06,3.10234e+08,1.5225e+10,0,0,6.83315e+06,2.14693e+10,
96.5556,0.677781,2.64994,0.0117188,0.0115312,0.093625,1.07249e+07,414336,1.44831e+06,1.39147e+06,5.5151e+09,2.98944e+06,3.14574e+08,1.51984e+10,0,0,6.83315e+06,2.14693e+10,
96.7308,0.448562,2.44941,0.2855,0.0078125,0.0779688,1.06929e+07,96384,1.30872e+06,1.2401e+06,5.54352e+09,2.99853e+06,3.18918e+08,1.51656e+10,0,0,6.83315e+06,2.14693e+10,
95.0456,0.523312,3.31803,1.01397,0.00390625,0.0952813,1.12287e+07,203520,1.4049e+06,1.31487e+06,5.56828e+09,3.01402e+06,3.23514e+08,1.51363e+10,0,0,6.83315e+06,2.14693e+10,
96.2468,0.982063,2.66453,0.00384375,0.00778125,0.0949687,2.00635e+07,124160,1.17744e+06,1.05739e+06,5.63932e+09,3.04435e+06,3.32752e+08,1.5056e+10,0,0,6.83315e+06,2.14693e+10,
95.5453,1.89681,2.29428,0,0.0115937,0.252062,5.53638e+07,153856,781813,731954,5.86451e+09,3.08608e+06,3.59863e+08,1.48036e+10,0,0,6.83315e+06,2.14693e+10,
94.8522,2.59297,2.18719,0.0155937,0.0185,0.333812,8.3465e+07,274688,1.658e+06,1.94194e+06,6.19341e+09,3.13523e+06,4.00181e+08,1.44344e+10,0,0,6.83315e+06,2.14693e+10,
