"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven27",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/wc-250gb-2gb-1-raven27.csv",,,,"Date:","15 Aug 2016 18:07:05 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.998,0.119,98.597,0.270,0.002,0.015,680819.830,873660.136,0.0,0.0,1008476160.0,1642496.0,56786944.0,19964178432.0,0.0,0.063,196608.0,21475966976.0,
0.125,0.500,97.375,1.875,0.0,0.125,106496.0,0.0,246151.0,210678.0,1008295936.0,1691648.0,56037376.0,19965059072.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,99.001,0.250,0.0,0.250,4481024.0,0.0,306049.0,259619.0,1008558080.0,1699840.0,57561088.0,19963265024.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.625,99.125,0.0,0.0,0.125,16384.0,180224.0,335459.0,284197.0,1008799744.0,1708032.0,56410112.0,19964166144.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,99.250,0.0,0.0,0.250,4210688.0,376832.0,324833.0,275314.0,1008525312.0,1716224.0,57507840.0,19963334656.0,0.0,0.0,196608.0,21475966976.0,
0.250,0.499,98.627,0.499,0.0,0.125,57344.0,0.0,243875.0,206737.0,1008631808.0,1736704.0,56729600.0,19963985920.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.499,99.126,0.125,0.0,0.125,4218880.0,0.0,251117.0,209761.0,1008168960.0,1740800.0,57663488.0,19963510784.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.250,99.500,0.0,0.0,0.125,16384.0,0.0,278159.0,236844.0,1007939584.0,1740800.0,56930304.0,19964473344.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,99.251,0.0,0.0,0.250,4210688.0,40960.0,245929.0,209055.0,1007812608.0,1748992.0,57946112.0,19963576320.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,99.376,0.0,0.0,0.125,16384.0,0.0,233161.0,196879.0,1007730688.0,1748992.0,57065472.0,19964538880.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.499,99.001,0.125,0.0,0.250,4218880.0,122880.0,252353.0,212674.0,1007697920.0,1761280.0,57995264.0,19963629568.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.624,99.126,0.0,0.0,0.125,16384.0,0.0,308549.0,257545.0,1007771648.0,1761280.0,57126912.0,19964424192.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,99.500,0.0,0.0,0.0,4210688.0,0.0,245607.0,210091.0,1007468544.0,1761280.0,58204160.0,19963650048.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,99.375,0.0,0.0,0.125,16384.0,40960.0,244207.0,208536.0,1007308800.0,1769472.0,57458688.0,19964547072.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,99.001,0.125,0.125,0.250,4218880.0,0.0,290011.0,248741.0,1007304704.0,1773568.0,58384384.0,19963621376.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.499,99.126,0.0,0.0,0.250,16384.0,0.0,276863.0,233389.0,1006665728.0,1773568.0,57917440.0,19964727296.0,0.0,0.0,196608.0,21475966976.0,
0.250,0.624,98.876,0.0,0.0,0.250,4210688.0,0.0,304901.0,258892.0,1006895104.0,1773568.0,58736640.0,19963678720.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.499,99.126,0.0,0.0,0.250,16384.0,0.0,278685.0,236463.0,1006948352.0,1773568.0,57847808.0,19964514304.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.501,99.124,0.0,0.0,0.250,4431872.0,0.0,319153.0,269575.0,1007181824.0,1777664.0,58859520.0,19963265024.0,0.0,0.0,196608.0,21475966976.0,
0.249,0.498,98.879,0.125,0.0,0.249,0.0,40960.0,272699.0,233104.0,1007362048.0,1785856.0,58089472.0,19963846656.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,99.375,0.0,0.0,0.125,4194304.0,0.0,310951.0,262981.0,1007239168.0,1785856.0,59170816.0,19962888192.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.625,99.250,0.0,0.0,0.125,0.0,24576.0,301811.0,256641.0,1007063040.0,1794048.0,58384384.0,19963842560.0,0.0,0.0,196608.0,21475966976.0,
0.250,0.499,99.001,0.0,0.0,0.250,4202496.0,0.0,309959.0,262704.0,1007181824.0,1798144.0,59387904.0,19962716160.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.500,99.250,0.0,0.0,0.125,0.0,0.0,321073.0,270567.0,1006878720.0,1798144.0,58601472.0,19963805696.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,99.376,0.0,0.0,0.125,4194304.0,40960.0,213003.0,178297.0,1006874624.0,1806336.0,59686912.0,19962716160.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.500,99.250,0.0,0.0,0.125,0.0,0.0,184763.0,151952.0,1006624768.0,1806336.0,58793984.0,19963858944.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.374,99.127,0.0,0.125,0.249,4202496.0,0.0,278365.0,233533.0,1006964736.0,1810432.0,59768832.0,19962540032.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,99.499,0.0,0.0,0.0,0.0,0.0,246195.0,207307.0,1007050752.0,1810432.0,58912768.0,19963310080.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,99.376,0.0,0.0,0.125,4194304.0,65536.0,207055.0,178018.0,1007235072.0,1818624.0,59998208.0,19962032128.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.374,99.377,0.0,0.0,0.125,0.0,0.0,155457.0,129639.0,1006927872.0,1818624.0,59260928.0,19963076608.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,99.126,0.125,0.0,0.250,4202496.0,0.0,250059.0,216301.0,1007300608.0,1822720.0,60137472.0,19961823232.0,0.0,0.0,196608.0,21475966976.0,
