"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.160094,0.082,99.5746,0.171656,0,0.0117188,1.97683e+06,5376,2592.59,1157.03,1.05251e+09,1.85382e+06,5.52269e+07,1.99215e+10,0,0,6.83315e+06,2.14693e+10,
0.0664062,0.03125,99.8322,0.066375,0,0.00390625,2.14656e+06,0,10428.8,9918.56,1.05222e+09,1.86227e+06,5.52709e+07,1.99217e+10,0,0,6.83315e+06,2.14693e+10,
0.0624688,0.0664062,99.6723,0.167781,0.0078125,0.0234375,2.28019e+06,0,19118,9931.25,1.05218e+09,1.87226e+06,5.5489e+07,1.99215e+10,0,0,6.83315e+06,2.14693e+10,
0.171594,0.0741563,99.5048,0.22225,0.0117188,0.0155937,2.03469e+06,477696,316009,276265,1.05192e+09,1.8889e+06,5.57144e+07,1.99216e+10,0,0,6.83315e+06,2.14693e+10,
0.374594,0.0936875,99.3212,0.183406,0.00390625,0.0234062,2.13786e+06,772096,221959,61264,1.05284e+09,1.90541e+06,5.59946e+07,1.99203e+10,0,0,6.83315e+06,2.14693e+10,
0.649188,0.0664375,99.1713,0.101531,0.00390625,0.0078125,2.33958e+06,64768,200523,8880.72,1.05376e+09,1.9095e+06,5.63118e+07,1.99191e+10,0,0,6.83315e+06,2.14693e+10,
0.8535,0.0819375,98.8346,0.198844,0.00390625,0.0273125,2.06336e+06,0,183821,56378.7,1.05559e+09,1.91782e+06,5.64428e+07,1.99171e+10,0,0,6.83315e+06,2.14693e+10,
0.593688,0.097625,99.219,0.0702813,0,0.0195312,1.68934e+06,0,214913,23208.7,1.05644e+09,1.91859e+06,5.64559e+07,1.99163e+10,0,0,6.83315e+06,2.14693e+10,
0.619687,0.0663438,99.2283,0.062375,0.00390625,0.0195,2.16397e+06,98304,121526,5765.16,1.05647e+09,1.92384e+06,5.6549e+07,1.99161e+10,0,0,6.83315e+06,2.14693e+10,
0.635969,0.0468438,99.1456,0.156094,0,0.015625,2.06746e+06,78336,62361.1,11968.9,1.0564e+09,1.93408e+06,5.66806e+07,1.99161e+10,0,0,6.83315e+06,2.14693e+10,
0.671156,0.0898125,99.0869,0.144469,0,0.0078125,2.45965e+06,29184,78320.5,3989.78,1.0569e+09,1.9433e+06,5.69133e+07,1.99153e+10,0,0,6.83315e+06,2.14693e+10,
0.707031,0.0585938,98.9536,0.265344,0.00390625,0.0117188,2.02394e+06,12800,125229,5237.62,1.0574e+09,1.95981e+06,5.69642e+07,1.99148e+10,0,0,6.83315e+06,2.14693e+10,
1.06775,0.0858437,98.6826,0.148281,0.00390625,0.0117188,2.26483e+06,10496,69345.2,3358.59,1.0585e+09,1.96928e+06,5.71502e+07,1.99135e+10,0,0,6.83315e+06,2.14693e+10,
