"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven14",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/wc-64gb-128mb-1-raven14.csv",,,,"Date:","15 Aug 2016 16:17:13 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.931,0.118,98.739,0.193,0.002,0.016,647227.374,924630.908,0.0,0.0,996564992.0,2129920.0,56377344.0,19976011776.0,0.0,0.064,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1714.0,1276.0,996909056.0,2129920.0,55271424.0,19976773632.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,2854.0,467.0,996249600.0,2129920.0,54525952.0,19978178560.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,99.125,0.875,0.0,0.0,8470528.0,0.0,802.0,403.0,996343808.0,2134016.0,57454592.0,19975151616.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2646.0,1002.0,995201024.0,2134016.0,56659968.0,19977089024.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,99.875,0.125,0.0,0.0,0.0,442368.0,2086.0,467.0,995471360.0,2150400.0,55357440.0,19978104832.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,866.0,403.0,994852864.0,2150400.0,54562816.0,19979517952.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,98.627,1.124,0.0,0.125,8519680.0,0.0,3158.0,938.0,995045376.0,2179072.0,57503744.0,19976355840.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1638.0,403.0,993935360.0,2179072.0,56717312.0,19978252288.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2284.0,505.0,994095104.0,2179072.0,55414784.0,19979395072.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.125,99.751,0.0,0.0,0.0,0.0,57344.0,1566.0,1334.0,993378304.0,2187264.0,54611968.0,19980906496.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.375,0.500,0.0,0.0,8470528.0,0.0,678.0,481.0,993464320.0,2191360.0,57548800.0,19977879552.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,98304.0,866.0,403.0,992399360.0,2199552.0,56750080.0,19979735040.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,726.0,938.0,992677888.0,2199552.0,55455744.0,19980750848.0,0.0,0.0,196608.0,21475966976.0,
7.990,4.869,81.024,5.743,0.125,0.250,1269760.0,0.0,39486.0,42199.0,1009504256.0,2392064.0,57192448.0,19961995264.0,0.0,0.0,196608.0,21475966976.0,
9.863,12.609,49.438,27.840,0.0,0.250,8503296.0,49152.0,4492686.0,381231.0,1063878656.0,2416640.0,63094784.0,19901693952.0,0.0,0.0,196608.0,21475966976.0,
57.550,13.243,23.762,4.703,0.0,0.743,163840.0,0.0,3371532.0,491514.0,1281052672.0,2498560.0,66371584.0,19681161216.0,0.0,0.0,196608.0,21475966976.0,
94.725,2.982,1.261,0.917,0.0,0.115,0.0,0.0,3584982.0,166769.0,1521999872.0,2498560.0,67051520.0,19439534080.0,0.0,0.0,196608.0,21475966976.0,
95.854,3.293,0.488,0.122,0.122,0.122,16384.0,0.0,1332552.0,59253.0,1735143424.0,2502656.0,67923968.0,19225513984.0,0.0,0.0,196608.0,21475966976.0,
86.067,4.932,3.083,5.549,0.0,0.370,8568832.0,3014656.0,4003010.0,173944.0,1983213568.0,2543616.0,76419072.0,18968907776.0,0.0,0.0,196608.0,21475966976.0,
95.012,1.995,1.995,0.748,0.0,0.249,0.0,49152.0,3859500.0,182935.0,2147938304.0,2551808.0,77115392.0,18803478528.0,0.0,0.0,196608.0,21475966976.0,
98.066,1.593,0.228,0.0,0.0,0.114,0.0,0.0,994344.0,47579.0,2238267392.0,2572288.0,76513280.0,18713731072.0,0.0,0.0,196608.0,21475966976.0,
95.161,3.598,0.620,0.248,0.0,0.372,8192.0,0.0,3033386.0,123551.0,2343821312.0,2592768.0,80359424.0,18604310528.0,0.0,0.0,196608.0,21475966976.0,
