"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/wc-64gb-1gb-1-ravenleader.csv",,,,"Date:","15 Aug 2016 16:27:40 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.709,0.453,98.386,0.311,0.010,0.131,4177352.028,809193.507,0.0,0.0,3118878720.0,1412280320.0,16284872704.0,215064576.0,243.615,5174.885,830468096.0,20143951872.0,
21.750,4.0,73.750,0.125,0.0,0.375,0.0,2981888.0,144944.0,155464.0,3178401792.0,1412296704.0,16285847552.0,154550272.0,0.0,0.0,830468096.0,20143951872.0,
29.089,1.623,69.164,0.0,0.0,0.125,0.0,0.0,220577.0,393982.0,3267170304.0,1412296704.0,16285945856.0,65683456.0,0.0,0.0,830468096.0,20143951872.0,
18.750,0.375,80.875,0.0,0.0,0.0,16384.0,16384.0,21349.0,9390.0,3287011328.0,1412296704.0,16285945856.0,45842432.0,0.0,0.0,830468096.0,20143951872.0,
10.237,0.499,89.263,0.0,0.0,0.0,0.0,139264.0,30506.0,302578.0,3289731072.0,1412091904.0,16279351296.0,49922048.0,0.0,0.0,830468096.0,20143951872.0,
6.242,0.624,92.634,0.250,0.0,0.250,278528.0,2629632.0,68164.0,371133.0,3293237248.0,1412108288.0,16279355392.0,46395392.0,0.0,0.0,830468096.0,20143951872.0,
0.250,0.499,98.876,0.0,0.125,0.250,598016.0,811008.0,462928.0,8495500.0,3292909568.0,1411866624.0,16272580608.0,53739520.0,0.0,0.0,830468096.0,20143951872.0,
0.125,0.375,99.251,0.0,0.0,0.250,794624.0,0.0,283420.0,6552528.0,3292831744.0,1411866624.0,16272896000.0,53501952.0,0.0,0.0,830468096.0,20143951872.0,
0.249,0.249,99.127,0.0,0.0,0.374,0.0,0.0,146133.0,3026562.0,3292487680.0,1411866624.0,16272756736.0,53985280.0,0.0,0.0,830468096.0,20143951872.0,
0.125,0.375,99.374,0.0,0.0,0.125,32768.0,0.0,298435.0,6387382.0,3293368320.0,1411866624.0,16272756736.0,53104640.0,0.0,0.0,830468096.0,20143951872.0,
0.125,0.250,99.375,0.0,0.0,0.250,65536.0,0.0,218112.0,4508134.0,3293044736.0,1411874816.0,16272793600.0,53383168.0,0.0,0.0,830468096.0,20143951872.0,
0.374,0.374,98.878,0.125,0.0,0.249,0.0,2097152.0,158151.0,3226668.0,3292909568.0,1411899392.0,16272777216.0,53510144.0,0.0,0.0,830468096.0,20143951872.0,
0.749,0.624,98.502,0.0,0.0,0.125,0.0,16384.0,144131.0,2612196.0,3292049408.0,1411964928.0,16272736256.0,54345728.0,0.0,0.0,830468096.0,20143951872.0,
0.499,0.125,99.251,0.0,0.0,0.125,0.0,32768.0,181583.0,2160355.0,3292106752.0,1411973120.0,16272736256.0,54280192.0,0.0,0.0,830468096.0,20143951872.0,
0.875,0.125,99.0,0.0,0.0,0.0,0.0,0.0,44232.0,323256.0,3291709440.0,1411981312.0,16272797696.0,54607872.0,0.0,0.0,830468096.0,20143951872.0,
0.375,2.871,93.758,0.0,0.125,2.871,98304.0,8192.0,600777.0,4502345.0,3291373568.0,1412263936.0,16272642048.0,54816768.0,0.0,0.0,830468096.0,20143951872.0,
0.125,4.756,90.238,0.0,0.250,4.631,106496.0,4489216.0,4057067.0,52335125.0,3290140672.0,1412268032.0,16273121280.0,55566336.0,0.0,0.0,830468096.0,20143951872.0,
0.125,2.372,94.757,0.0,0.125,2.622,32768.0,0.0,4421877.0,54904816.0,3289964544.0,1412276224.0,16273285120.0,55570432.0,0.0,0.0,830468096.0,20143951872.0,
0.125,1.623,96.255,0.0,0.125,1.873,0.0,0.0,1659385.0,37816526.0,3289661440.0,1412276224.0,16273326080.0,55832576.0,0.0,0.0,830468096.0,20143951872.0,
0.0,2.0,95.250,0.0,0.125,2.625,0.0,0.0,2050242.0,47285266.0,3289534464.0,1412276224.0,16273326080.0,55959552.0,0.0,0.0,830468096.0,20143951872.0,
0.250,1.498,96.504,0.0,0.0,1.748,0.0,0.0,1874125.0,42025281.0,3288829952.0,1412276224.0,16273354752.0,56635392.0,0.0,0.0,830468096.0,20143951872.0,
