"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/wcGrepSort-assorted-128mb-1-ravenleader.csv",,,,"Date:","16 Aug 2016 16:19:12 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.708,0.463,98.381,0.305,0.010,0.133,4065248.435,803734.088,0.0,0.0,3197906944.0,2074517504.0,14553276416.0,1205395456.0,237.102,5035.149,830443520.0,20143976448.0,
51.746,5.486,42.145,0.125,0.125,0.374,24576.0,32768.0,348988.0,416338.0,3364184064.0,2074537984.0,14555820032.0,1036554240.0,0.0,0.0,830443520.0,20143976448.0,
88.457,3.524,7.898,0.0,0.0,0.122,0.0,0.0,87304.0,87359.0,3603460096.0,2074537984.0,14555852800.0,797245440.0,0.0,0.0,830443520.0,20143976448.0,
50.932,1.988,46.708,0.124,0.0,0.248,0.0,1040384.0,73273.0,21121.0,3674451968.0,2074537984.0,14556127232.0,725979136.0,0.0,0.0,830443520.0,20143976448.0,
62.172,1.748,35.581,0.0,0.0,0.499,0.0,139264.0,13761407.0,406530.0,3706966016.0,2074537984.0,14556143616.0,693448704.0,0.0,0.0,830443520.0,20143976448.0,
39.875,1.500,58.125,0.375,0.0,0.125,0.0,7159808.0,72980.0,683906.0,3790888960.0,2074542080.0,14556176384.0,609488896.0,0.0,0.0,830443520.0,20143976448.0,
14.589,1.746,82.668,0.125,0.125,0.748,0.0,3596288.0,211826.0,3017759.0,3859435520.0,2074554368.0,14556213248.0,540893184.0,0.0,0.0,830443520.0,20143976448.0,
0.375,1.126,97.372,0.0,0.0,1.126,0.0,0.0,1009986.0,17469118.0,3859132416.0,2074554368.0,14556254208.0,541155328.0,0.0,0.0,830443520.0,20143976448.0,
0.375,1.124,97.753,0.0,0.0,0.749,0.0,794624.0,931602.0,19793371.0,3860090880.0,2074554368.0,14556258304.0,540192768.0,0.0,0.0,830443520.0,20143976448.0,
0.750,0.625,98.125,0.0,0.0,0.500,0.0,0.0,612871.0,14245282.0,3859800064.0,2074554368.0,14556274688.0,540467200.0,0.0,0.0,830443520.0,20143976448.0,
0.623,0.873,97.382,0.0,0.125,0.998,0.0,32768.0,732995.0,16938510.0,3860037632.0,2074562560.0,14556266496.0,540229632.0,0.0,0.0,830443520.0,20143976448.0,
