"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven26",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/wcGrepSort-assorted-256mb-1-raven26.csv",,,,"Date:","16 Aug 2016 16:34:49 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
1.130,0.143,98.392,0.316,0.002,0.018,878595.210,1133607.726,0.0,0.0,1022947328.0,1552384.0,56684544.0,19949899776.0,0.0,0.062,196608.0,21475966976.0,
0.125,0.0,99.875,0.0,0.0,0.0,16384.0,0.0,753.0,1081.0,1022701568.0,1552384.0,55828480.0,19951001600.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,4218880.0,0.0,175.0,395.0,1022291968.0,1556480.0,56672256.0,19950563328.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.125,98.876,0.874,0.0,0.0,106496.0,0.0,5470.0,6132.0,1021640704.0,1601536.0,55754752.0,19952087040.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.875,0.0,0.0,0.0,4210688.0,172032.0,107150.0,107363.0,1021607936.0,1613824.0,56655872.0,19951206400.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.875,0.0,0.0,0.0,16384.0,106496.0,940.0,3868.0,1021071360.0,1622016.0,55922688.0,19952467968.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.875,0.0,0.0,0.0,16384.0,0.0,478.0,929.0,1020469248.0,1622016.0,54730752.0,19954262016.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.875,0.0,0.0,0.0,16384.0,0.0,175.0,395.0,1020268544.0,1622016.0,53850112.0,19955343360.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.125,98.375,1.250,0.0,0.125,8519680.0,0.0,585405.0,302824.0,1020477440.0,1675264.0,56684544.0,19952246784.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.750,0.125,0.0,0.0,65536.0,1499136.0,420.0,999.0,1019817984.0,1683456.0,56119296.0,19953463296.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.750,0.125,0.0,0.0,4349952.0,0.0,245.0,465.0,1019187200.0,1695744.0,57597952.0,19952603136.0,0.0,0.0,196608.0,21475966976.0,
0.750,0.125,99.125,0.0,0.0,0.0,0.0,0.0,175.0,395.0,1019064320.0,1695744.0,56815616.0,19953508352.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.875,0.0,0.0,0.0,4194304.0,0.0,286.0,929.0,1019162624.0,1695744.0,57778176.0,19952447488.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,97.125,2.750,0.0,0.0,794624.0,278528.0,175.0,395.0,1018908672.0,1802240.0,56782848.0,19953590272.0,0.0,0.0,196608.0,21475966976.0,
2.747,0.499,84.769,11.735,0.0,0.250,9003008.0,49152.0,34985.0,32027.0,1030807552.0,2244608.0,59736064.0,19938295808.0,0.0,0.0,196608.0,21475966976.0,
14.589,8.105,53.491,23.317,0.125,0.374,1286144.0,0.0,3556343.0,903180.0,1086590976.0,2519040.0,63356928.0,19878617088.0,0.0,0.0,196608.0,21475966976.0,
19.725,35.206,44.320,0.375,0.0,0.375,4194304.0,0.0,1558294.0,436638.0,1158352896.0,2519040.0,66019328.0,19804192768.0,0.0,0.0,196608.0,21475966976.0,
51.621,3.990,25.187,18.828,0.0,0.374,589824.0,0.0,4013847.0,484123.0,1338646528.0,2809856.0,68747264.0,19620880384.0,0.0,0.0,196608.0,21475966976.0,
94.279,3.204,0.801,1.716,0.0,0.0,4202496.0,3391488.0,2235762.0,105955.0,1551831040.0,2834432.0,71184384.0,19405234176.0,0.0,0.0,196608.0,21475966976.0,
93.035,3.731,1.368,1.617,0.124,0.124,8192.0,0.0,1019645.0,44547.0,1782521856.0,2834432.0,71979008.0,19173748736.0,0.0,0.0,196608.0,21475966976.0,
65.418,3.745,8.989,21.473,0.0,0.375,4194304.0,0.0,4682231.0,226333.0,1976737792.0,2834432.0,77479936.0,18974031872.0,0.0,0.0,196608.0,21475966976.0,
82.733,2.981,4.969,9.068,0.0,0.248,57344.0,0.0,3538350.0,171361.0,2158645248.0,2838528.0,79441920.0,18790158336.0,0.0,0.0,196608.0,21475966976.0,
97.497,2.026,0.238,0.119,0.0,0.119,4243456.0,0.0,600461.0,31729.0,2307661824.0,2846720.0,80777216.0,18639798272.0,0.0,0.0,196608.0,21475966976.0,
94.366,3.052,0.704,1.643,0.0,0.235,0.0,2277376.0,2407701.0,97295.0,2371121152.0,2899968.0,85266432.0,18571796480.0,0.0,0.0,196608.0,21475966976.0,
80.750,9.375,6.250,3.375,0.0,0.250,4317184.0,0.0,3440196.0,174347.0,2926325760.0,2932736.0,87527424.0,18014298112.0,0.0,0.0,196608.0,21475966976.0,
