"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven06",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/wcGrepSort-assorted-2gb-1-raven06.csv",,,,"Date:","16 Aug 2016 17:07:05 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
1.822,0.275,97.531,0.341,0.003,0.028,1559203.316,1423500.015,0.0,0.0,1122381824.0,3567616.0,54751232.0,19850383360.0,0.0,0.062,196608.0,21475966976.0,
0.125,0.250,87.359,12.265,0.0,0.0,1409024.0,0.0,1942.0,1514.0,1121968128.0,4263936.0,53706752.0,19851145216.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.375,90.125,9.500,0.0,0.0,5259264.0,0.0,3695.0,395.0,1122013184.0,4784128.0,54693888.0,19849592832.0,0.0,0.0,196608.0,21475966976.0,
0.250,0.125,99.376,0.250,0.0,0.0,40960.0,0.0,15330.0,12839.0,1121759232.0,4796416.0,53792768.0,19850735616.0,0.0,0.0,196608.0,21475966976.0,
4.245,1.124,90.012,4.370,0.0,0.250,5660672.0,1761280.0,837897.0,84606.0,1133694976.0,4997120.0,59625472.0,19832766464.0,0.0,0.0,196608.0,21475966976.0,
12.702,1.245,83.437,2.242,0.125,0.249,270336.0,589824.0,9146793.0,443201.0,1178738688.0,5132288.0,64434176.0,19782778880.0,0.0,0.0,196608.0,21475966976.0,
23.375,0.875,74.125,1.250,0.0,0.375,4308992.0,0.0,6383534.0,538360.0,1223294976.0,5165056.0,70893568.0,19731730432.0,0.0,0.0,196608.0,21475966976.0,
22.971,1.498,72.534,2.497,0.0,0.499,81920.0,0.0,4337714.0,459974.0,1283653632.0,5197824.0,75083776.0,19667148800.0,0.0,0.0,196608.0,21475966976.0,
14.250,0.750,83.250,1.375,0.0,0.375,4218880.0,0.0,4974332.0,221419.0,1301884928.0,5201920.0,80822272.0,19643174912.0,0.0,0.0,196608.0,21475966976.0,
16.958,1.122,80.798,0.873,0.0,0.249,32768.0,0.0,4061204.0,173675.0,1313640448.0,5210112.0,83918848.0,19628314624.0,0.0,0.0,196608.0,21475966976.0,
18.477,0.874,80.025,0.375,0.0,0.250,4210688.0,1957888.0,3749522.0,149376.0,1328218112.0,5246976.0,87998464.0,19609620480.0,0.0,0.0,196608.0,21475966976.0,
19.650,0.501,79.725,0.125,0.0,0.0,16384.0,114688.0,2696563.0,106689.0,1338343424.0,5246976.0,88629248.0,19598864384.0,0.0,0.0,196608.0,21475966976.0,
18.727,1.124,79.401,0.624,0.0,0.125,0.0,0.0,2099204.0,216328.0,1391394816.0,5251072.0,89583616.0,19544854528.0,0.0,0.0,196608.0,21475966976.0,
1.498,0.125,98.252,0.125,0.0,0.0,0.0,0.0,308501.0,85583.0,1391878144.0,5251072.0,88965120.0,19544989696.0,0.0,0.0,196608.0,21475966976.0,
25.250,11.375,61.375,1.625,0.0,0.375,8577024.0,0.0,2118377.0,261545.0,1481621504.0,5414912.0,94322688.0,19449724928.0,0.0,0.0,196608.0,21475966976.0,
