"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/wcGrepSort-assorted-2gb-1-ravenleader.csv",,,,"Date:","16 Aug 2016 17:07:04 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.709,0.463,98.380,0.304,0.010,0.134,4061581.709,804657.021,0.0,0.0,3113984000.0,2073612288.0,15192268800.0,651231232.0,236.888,5030.608,830443520.0,20143976448.0,
53.433,5.618,40.449,0.0,0.0,0.499,0.0,0.0,282769.0,431492.0,3281121280.0,2073612288.0,15195058176.0,481304576.0,0.0,0.0,830443520.0,20143976448.0,
89.750,3.250,6.750,0.0,0.125,0.125,0.0,0.0,72558.0,109245.0,3506991104.0,2073612288.0,15195095040.0,255397888.0,0.0,0.0,830443520.0,20143976448.0,
50.0,2.369,47.631,0.0,0.0,0.0,0.0,0.0,21008.0,10921.0,3592863744.0,2073612288.0,15195004928.0,169615360.0,0.0,0.0,830443520.0,20143976448.0,
48.439,1.373,49.438,0.125,0.0,0.624,0.0,827392.0,13735971.0,119710.0,3619340288.0,2073612288.0,15195004928.0,143138816.0,0.0,0.0,830443520.0,20143976448.0,
38.625,1.750,59.250,0.250,0.0,0.125,0.0,7159808.0,96109.0,843404.0,3664756736.0,2073612288.0,15195029504.0,97697792.0,0.0,0.0,830443520.0,20143976448.0,
10.487,1.623,86.642,0.0,0.0,1.248,0.0,90112.0,713297.0,11961541.0,3668295680.0,2073616384.0,15195062272.0,94121984.0,0.0,0.0,830443520.0,20143976448.0,
0.250,0.625,98.250,0.0,0.125,0.750,0.0,0.0,711674.0,14551374.0,3667714048.0,2073620480.0,15195115520.0,94646272.0,0.0,0.0,830443520.0,20143976448.0,
0.624,0.375,98.752,0.0,0.0,0.250,0.0,0.0,324752.0,7075675.0,3667709952.0,2073620480.0,15195119616.0,94646272.0,0.0,0.0,830443520.0,20143976448.0,
0.499,0.624,98.252,0.125,0.0,0.499,0.0,3039232.0,552483.0,12523709.0,3667275776.0,2073624576.0,15195127808.0,95068160.0,0.0,0.0,830443520.0,20143976448.0,
0.375,0.500,98.500,0.0,0.0,0.625,0.0,0.0,375378.0,8065893.0,3667197952.0,2073624576.0,15195131904.0,95141888.0,0.0,0.0,830443520.0,20143976448.0,
0.624,0.375,98.377,0.0,0.125,0.499,0.0,32768.0,357727.0,7471811.0,3666882560.0,2073624576.0,15195131904.0,95457280.0,0.0,0.0,830443520.0,20143976448.0,
1.870,0.374,97.382,0.0,0.0,0.374,0.0,0.0,307623.0,7590653.0,3666628608.0,2073624576.0,15195131904.0,95711232.0,0.0,0.0,830443520.0,20143976448.0,
1.498,0.250,97.878,0.125,0.0,0.250,0.0,90112.0,162530.0,3367112.0,3666518016.0,2073624576.0,15195131904.0,95821824.0,0.0,0.0,830443520.0,20143976448.0,
0.874,0.250,98.752,0.0,0.0,0.125,0.0,663552.0,142474.0,2538926.0,3667107840.0,2073632768.0,15195295744.0,95059968.0,0.0,0.0,830443520.0,20143976448.0,
1.252,0.250,98.373,0.0,0.0,0.125,0.0,0.0,51688.0,552692.0,3667308544.0,2073632768.0,15195697152.0,94457856.0,0.0,0.0,830443520.0,20143976448.0,
1.623,7.241,83.645,0.375,0.250,6.866,8192.0,24576.0,5146216.0,37479435.0,3670663168.0,2074472448.0,15196450816.0,89509888.0,0.0,0.0,830443520.0,20143976448.0,
0.499,5.493,85.518,0.0,0.375,8.115,0.0,0.0,6163203.0,91887700.0,3670343680.0,2074558464.0,15196631040.0,89563136.0,0.0,0.0,830443520.0,20143976448.0,
0.250,9.488,76.030,0.0,0.375,13.858,0.0,0.0,12246352.0,101222933.0,3670589440.0,2074574848.0,15196622848.0,89309184.0,0.0,0.0,830443520.0,20143976448.0,
0.125,3.755,90.989,0.125,0.250,4.756,0.0,5685248.0,5810201.0,101765455.0,3670605824.0,2074595328.0,15196614656.0,89280512.0,0.0,0.0,830443520.0,20143976448.0,
0.249,2.993,92.768,0.0,0.125,3.865,0.0,0.0,3119486.0,68955807.0,3670073344.0,2074595328.0,15196639232.0,89788416.0,0.0,0.0,830443520.0,20143976448.0,
0.250,4.380,89.111,0.0,0.250,6.008,0.0,0.0,4281904.0,95207343.0,3670417408.0,2074595328.0,15196643328.0,89440256.0,0.0,0.0,830443520.0,20143976448.0,
0.375,3.870,89.513,0.0,0.250,5.993,0.0,32768.0,5171122.0,111457097.0,3670691840.0,2074599424.0,15196651520.0,89153536.0,0.0,0.0,830443520.0,20143976448.0,
0.499,1.873,95.256,0.0,0.125,2.247,0.0,0.0,2664371.0,56363228.0,3670421504.0,2074599424.0,15196753920.0,89321472.0,0.0,0.0,830443520.0,20143976448.0,
0.375,2.622,92.509,0.125,0.250,4.120,0.0,3047424.0,2395328.0,53838990.0,3671699456.0,2074607616.0,15196774400.0,88014848.0,0.0,0.0,830443520.0,20143976448.0,
1.625,3.375,90.875,0.0,0.125,4.0,0.0,0.0,4047551.0,86184532.0,3672014848.0,2074611712.0,15197040640.0,87429120.0,0.0,0.0,830443520.0,20143976448.0,
1.750,1.250,95.250,0.0,0.125,1.625,0.0,0.0,1924472.0,32704170.0,3672137728.0,2074611712.0,15197356032.0,86990848.0,0.0,0.0,830443520.0,20143976448.0,
0.623,0.374,98.504,0.0,0.0,0.499,0.0,0.0,761251.0,14769938.0,3672002560.0,2074611712.0,15197745152.0,86736896.0,0.0,0.0,830443520.0,20143976448.0,
0.250,0.125,99.500,0.0,0.0,0.125,0.0,65536.0,333333.0,4286613.0,3672240128.0,2074611712.0,15197761536.0,86482944.0,0.0,0.0,830443520.0,20143976448.0,
0.250,0.125,99.376,0.250,0.0,0.0,0.0,5038080.0,287422.0,1034197.0,3671842816.0,2074611712.0,15197945856.0,86695936.0,0.0,0.0,830443520.0,20143976448.0,
0.374,0.249,99.252,0.0,0.0,0.125,0.0,0.0,212390.0,157780.0,3672002560.0,2074619904.0,15198052352.0,86421504.0,0.0,0.0,830443520.0,20143976448.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,153219.0,541869.0,3671977984.0,2074619904.0,15198203904.0,86294528.0,0.0,0.0,830443520.0,20143976448.0,
0.250,0.0,99.625,0.0,0.0,0.125,0.0,0.0,280302.0,547378.0,3671904256.0,2074619904.0,15198277632.0,86294528.0,0.0,0.0,830443520.0,20143976448.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,157095.0,110171.0,3671834624.0,2074619904.0,15198482432.0,86159360.0,0.0,0.0,830443520.0,20143976448.0,
0.250,0.125,99.501,0.0,0.0,0.125,0.0,278528.0,124457.0,23273.0,3671851008.0,2074619904.0,15198543872.0,86081536.0,0.0,0.0,830443520.0,20143976448.0,
0.375,0.125,99.251,0.0,0.125,0.125,0.0,1728512.0,139222.0,27515.0,3671711744.0,2074619904.0,15198683136.0,86081536.0,0.0,0.0,830443520.0,20143976448.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,127275.0,23468.0,3671650304.0,2074619904.0,15198744576.0,86081536.0,0.0,0.0,830443520.0,20143976448.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,140326.0,27583.0,3671113728.0,2074619904.0,15198900224.0,86462464.0,0.0,0.0,830443520.0,20143976448.0,
0.374,0.125,99.377,0.0,0.0,0.125,0.0,0.0,372878.0,72568.0,3671363584.0,2074624000.0,15198900224.0,86208512.0,0.0,0.0,830443520.0,20143976448.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,860160.0,77051.0,48225.0,3671310336.0,2074624000.0,15199191040.0,85970944.0,0.0,0.0,830443520.0,20143976448.0,
0.249,0.125,99.377,0.125,0.0,0.125,0.0,1097728.0,86329.0,16864.0,3671310336.0,2074624000.0,15199191040.0,85970944.0,0.0,0.0,830443520.0,20143976448.0,
0.375,0.125,99.500,0.0,0.0,0.0,0.0,0.0,82773.0,53765.0,3671093248.0,2074628096.0,15199240192.0,86134784.0,0.0,0.0,830443520.0,20143976448.0,
0.250,0.250,99.376,0.0,0.0,0.125,0.0,0.0,1251537.0,67154.0,3671146496.0,2074636288.0,15200026624.0,85286912.0,0.0,0.0,830443520.0,20143976448.0,
0.375,0.0,99.500,0.0,0.0,0.125,0.0,0.0,41863.0,19784.0,3670704128.0,2074636288.0,15200395264.0,85360640.0,0.0,0.0,830443520.0,20143976448.0,
0.375,0.250,99.376,0.0,0.0,0.0,0.0,1679360.0,41993.0,19837.0,3671171072.0,2074636288.0,15200395264.0,84893696.0,0.0,0.0,830443520.0,20143976448.0,
0.375,0.125,99.250,0.125,0.0,0.125,0.0,2539520.0,47442.0,36489.0,3671834624.0,2074640384.0,15200399360.0,84221952.0,0.0,0.0,830443520.0,20143976448.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,74636.0,62882.0,3671834624.0,2074640384.0,15200399360.0,84221952.0,0.0,0.0,830443520.0,20143976448.0,
0.125,0.0,99.750,0.0,0.0,0.125,0.0,0.0,41095.0,16246.0,3671764992.0,2074640384.0,15200403456.0,84287488.0,0.0,0.0,830443520.0,20143976448.0,
0.374,0.125,99.501,0.0,0.0,0.0,0.0,0.0,34457.0,13491.0,3671642112.0,2074640384.0,15200403456.0,84410368.0,0.0,0.0,830443520.0,20143976448.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,40960.0,30701.0,10933.0,3671257088.0,2074640384.0,15200403456.0,84795392.0,0.0,0.0,830443520.0,20143976448.0,
0.250,0.250,99.376,0.0,0.0,0.125,0.0,245760.0,82343.0,35233.0,3671121920.0,2074640384.0,15200411648.0,84922368.0,0.0,0.0,830443520.0,20143976448.0,
