"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.0664062,0.175687,94.5891,5.12613,0.0078125,0.0351562,2.83008e+06,52736,2969.97,1509.16,9.70196e+08,2.78221e+06,5.47598e+07,2.00033e+10,0,0,7.1977e+06,2.1469e+10,
0.09375,0.191344,94.2518,5.4165,0.00390625,0.0429375,4.96538e+06,20992,12851.5,149658,9.69889e+08,3.08083e+06,5.58856e+07,2.00022e+10,0,0,7.1977e+06,2.1469e+10,
0.156156,0.27325,94.5953,4.91313,0.00390625,0.0585313,2.83776e+06,7424,51412.4,325285,9.69584e+08,3.37088e+06,5.60517e+07,2.00021e+10,0,0,7.1977e+06,2.1469e+10,
0.401938,0.288844,94.2132,5.02594,0,0.0702813,1.95123e+06,183552,207146,43019.6,9.70214e+08,3.65888e+06,5.60948e+07,2.00011e+10,0,0,7.1977e+06,2.1469e+10,
1.34013,0.288625,94.319,3.97053,0.015625,0.0663438,3.37638e+06,664320,529995,77238.6,9.74369e+08,3.89082e+06,5.6934e+07,1.99959e+10,0,0,7.1977e+06,2.1469e+10,
2.47863,0.207,94.3528,2.90722,0.00390625,0.05075,2.5641e+06,178176,473417,126584,9.78999e+08,4.04326e+06,5.74136e+07,1.99906e+10,0,0,7.1977e+06,2.1469e+10,
1.97416,0.203,96.1677,1.59678,0.0078125,0.0507187,2.69082e+06,66816,390256,87952.8,9.83531e+08,4.12877e+06,5.80443e+07,1.99854e+10,0,0,7.1977e+06,2.1469e+10,
1.52478,0.152188,97.0508,1.23716,0.00390625,0.0312187,2.00243e+06,37632,303436,22820.5,9.8501e+08,4.19571e+06,5.82463e+07,1.99836e+10,0,0,7.1977e+06,2.1469e+10,
1.51041,0.136625,98.0331,0.300469,0.00390625,0.0155937,2.1655e+06,20480,250673,12030.6,9.86671e+08,4.21133e+06,5.8427e+07,1.99818e+10,0,0,7.1977e+06,2.1469e+10,
1.761,0.132781,97.997,0.0937188,0,0.015625,1.86291e+06,355584,240797,10012.3,9.89515e+08,4.22285e+06,5.86013e+07,1.99787e+10,0,0,7.1977e+06,2.1469e+10,
1.9585,0.0780625,97.8544,0.101469,0,0.00778125,2.54694e+06,161536,134665,5957.41,9.91074e+08,4.22938e+06,5.8865e+07,1.99769e+10,0,0,7.1977e+06,2.1469e+10,
1.64381,0.144469,98.1103,0.0936562,0,0.0078125,1.88646e+06,37632,111722,15567.7,9.93841e+08,4.23488e+06,5.89642e+07,1.9974e+10,0,0,7.1977e+06,2.1469e+10,
0.222594,0.0507812,99.6759,0.0429375,0.0078125,0,2.37875e+06,3584,41869.4,16530.9,9.93726e+08,4.23821e+06,5.91137e+07,1.9974e+10,0,0,7.1977e+06,2.1469e+10,
