"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.082,0.0625,99.8165,0.0351562,0,0.00390625,400128,0,2458.47,1389.75,7.08686e+08,1.60282e+06,5.19886e+07,2.02688e+10,0,0,7.1977e+06,2.1469e+10,
0.132812,0.0703125,99.7034,0.0896875,0.00390625,0,403456,0,643.625,594.219,7.08506e+08,1.60691e+06,5.19715e+07,2.0269e+10,0,0,7.1977e+06,2.1469e+10,
0.522906,0.0780938,98.7043,0.63625,0.0078125,0.05075,3.22611e+06,0,378397,303420,7.08747e+08,1.63098e+06,5.37947e+07,2.02669e+10,0,0,7.1977e+06,2.1469e+10,
0.526813,0.128844,98.9856,0.308281,0.015625,0.035125,432640,55040,352502,229599,7.09035e+08,1.65274e+06,5.40817e+07,2.02663e+10,0,0,7.1977e+06,2.1469e+10,
0.390156,0.0819688,98.845,0.639969,0.0078125,0.035125,601344,755968,474205,55780.7,7.09162e+08,1.68755e+06,5.45856e+07,2.02656e+10,0,0,7.1977e+06,2.1469e+10,
0.616281,0.128812,98.9273,0.273094,0.00390625,0.05075,251392,0,626739,335533,7.09489e+08,1.7015e+06,5.50949e+07,2.02648e+10,0,0,7.1977e+06,2.1469e+10,
0.859469,0.125031,98.6561,0.332062,0.00390625,0.0234375,1.23315e+06,5376,472522,104952,7.12223e+08,1.71725e+06,5.59391e+07,2.02612e+10,0,0,7.1977e+06,2.1469e+10,
1.02119,0.187156,98.2773,0.432594,0.0078125,0.074125,180224,11776,515057,138212,7.16253e+08,1.73325e+06,5.63377e+07,2.02568e+10,0,0,7.1977e+06,2.1469e+10,
1.16088,0.179688,98.4408,0.183563,0,0.0351562,699904,46592,664578,166981,7.20143e+08,1.74016e+06,5.69137e+07,2.02523e+10,0,0,7.1977e+06,2.1469e+10,
2.11413,0.124969,97.5348,0.19125,0.00390625,0.0312187,136704,1.26541e+06,406077,20668.7,7.24689e+08,1.75053e+06,5.70822e+07,2.02476e+10,0,0,7.1977e+06,2.1469e+10,
2.51256,0.1405,97.1286,0.202875,0,0.015625,1.06368e+06,281344,230662,10527,7.30193e+08,1.75846e+06,5.74209e+07,2.02417e+10,0,0,7.1977e+06,2.1469e+10,
1.83759,0.113187,97.9049,0.124906,0,0.0195312,12032,14592,98766.3,5199.5,7.33028e+08,1.76461e+06,5.72988e+07,2.0239e+10,0,0,7.1977e+06,2.1469e+10,
1.76737,0.0897813,97.5927,0.523062,0.00390625,0.0234375,990464,4864,197659,20370.6,7.33764e+08,1.79917e+06,5.76511e+07,2.02379e+10,0,0,7.1977e+06,2.1469e+10,
1.79075,0.121,97.8659,0.195219,0.00390625,0.0234375,291584,16896,123629,10893.1,7.34922e+08,1.8176e+06,5.76343e+07,2.02367e+10,0,0,7.1977e+06,2.1469e+10,
1.79784,0.117094,97.9761,0.0935938,0,0.0155937,1.05805e+06,60672,217009,9170,7.3599e+08,1.82963e+06,5.80983e+07,2.02352e+10,0,0,7.1977e+06,2.1469e+10,
2.49659,0.109531,97.3704,0.0156563,0,0.0078125,135936,32000,126943,5797.12,7.40444e+08,1.83206e+06,5.80214e+07,2.02308e+10,0,0,7.1977e+06,2.1469e+10,
3.14706,0.097625,96.7125,0.0312187,0.00390625,0.0078125,794112,21760,123706,28044.2,7.41762e+08,1.83706e+06,5.84136e+07,2.02291e+10,0,0,7.1977e+06,2.1469e+10,
1.64444,0.0975312,98.2307,0.0234062,0,0.00390625,141824,30464,61684.3,25615.6,7.43774e+08,1.84243e+06,5.85869e+07,2.02269e+10,0,0,7.1977e+06,2.1469e+10,
1.69325,0.0585625,98.2132,0.0273125,0,0.0078125,782592,12288,108919,115285,7.44228e+08,1.84474e+06,5.88116e+07,2.02262e+10,0,0,7.1977e+06,2.1469e+10,
3.99725,0.495875,94.8321,0.569594,0.0078125,0.0975938,183040,296832,597735,44613,7.48623e+08,1.86598e+06,5.95748e+07,2.0221e+10,0,0,7.1977e+06,2.1469e+10,
8.87703,1.17669,88.2844,1.49428,0.0116875,0.156,802816,354944,1.49182e+06,99740.2,7.6199e+08,1.90682e+06,6.15238e+07,2.02057e+10,0,0,7.1977e+06,2.1469e+10,
14.0663,2.63531,79.1629,3.87816,0.0155937,0.241875,722688,15616,2.43601e+06,181954,7.95449e+08,1.97171e+06,6.4398e+07,2.01693e+10,0,0,7.1977e+06,2.1469e+10,
16.3817,8.355,69.348,5.6345,0.00390625,0.276969,1.32531e+06,4352,2.73882e+06,216888,8.47832e+08,2.03853e+06,6.74109e+07,2.01138e+10,0,0,7.1977e+06,2.1469e+10,
28.4207,11.1515,52.4952,7.50997,0.0428125,0.379812,838144,217344,3.23747e+06,352381,9.49342e+08,2.18765e+06,7.07176e+07,2.00088e+10,0,0,7.1977e+06,2.1469e+10,
49.1786,9.23297,33.2776,7.93187,0.0145,0.364563,1.06061e+06,1.4889e+06,3.16787e+06,312570,1.08631e+09,2.45901e+06,7.34689e+07,1.98688e+10,0,0,7.1977e+06,2.1469e+10,
67.3916,9.57244,17.0536,5.65884,0.0277813,0.29575,884992,635136,2.64123e+06,253896,1.27479e+09,2.72141e+06,7.59543e+07,1.96776e+10,0,0,7.1977e+06,2.1469e+10,
81.6092,6.87922,7.98197,3.19484,0.0153437,0.319562,5.75821e+06,510720,2.76213e+06,230813,1.5248e+09,2.96294e+06,8.10628e+07,1.94223e+10,0,0,7.1977e+06,2.1469e+10,
90.9668,3.59541,2.60512,2.57366,0.0116875,0.247594,6.38515e+06,455680,2.63329e+06,168957,1.74198e+09,3.13254e+06,8.62012e+07,1.91998e+10,0,0,7.1977e+06,2.1469e+10,
92.3584,3.25134,2.75144,1.45344,0.0364063,0.149125,4.95053e+06,817408,2.25265e+06,120117,1.90699e+09,3.31942e+06,8.96777e+07,1.90311e+10,0,0,7.1977e+06,2.1469e+10,
92.2303,3.78856,2.97759,0.844875,0.00675,0.151938,3.91091e+06,1.2352e+06,1.45025e+06,91035.6,2.02969e+09,3.51398e+06,9.28969e+07,1.8905e+10,0,0,7.1977e+06,2.1469e+10,
91.3419,4.82381,2.66444,0.977125,0.02325,0.16975,1.81197e+07,274176,1.2214e+06,165537,2.43538e+09,3.71891e+06,1.02215e+08,1.84898e+10,0,0,7.1977e+06,2.1469e+10,
91.3889,5.43847,2.15572,0.824781,0,0.192375,4.04554e+07,223744,954279,271673,3.03727e+09,3.92013e+06,1.22777e+08,1.78671e+10,0,0,7.1977e+06,2.1469e+10,
89.5192,5.2355,3.09953,1.80916,0.0154687,0.321188,8.00353e+07,316416,603498,260217,3.69296e+09,4.13171e+06,1.62404e+08,1.71716e+10,0,0,7.1977e+06,2.1469e+10,
91.3406,5.09147,2.07666,1.13803,0.0139375,0.3395,9.39622e+07,654080,512700,142174,4.366e+09,4.31834e+06,2.10105e+08,1.64507e+10,0,0,7.1977e+06,2.1469e+10,
93.2748,3.60031,1.42422,1.35237,0.028125,0.320219,8.84035e+07,919296,294708,36557.5,4.83537e+09,4.43814e+06,2.53668e+08,1.59376e+10,0,0,7.1977e+06,2.1469e+10,
94.015,2.64544,1.39766,1.65841,0.0210313,0.262469,7.5434e+07,272384,44564.2,18061,5.12741e+09,4.57037e+06,2.90264e+08,1.56088e+10,0,0,7.1977e+06,2.1469e+10,
94.8683,2.30519,1.74209,0.911687,0,0.172687,4.84252e+07,45056,58375.8,44831.6,5.23803e+09,4.72358e+06,3.13162e+08,1.54752e+10,0,0,7.1977e+06,2.1469e+10,
95.8118,1.79678,1.6485,0.625812,0.0155937,0.101594,2.50156e+07,137728,59402.2,25230.6,5.24584e+09,4.96986e+06,3.24679e+08,1.54556e+10,0,0,7.1977e+06,2.1469e+10,
96.909,1.29719,1.41059,0.288562,0.017875,0.0769062,1.24421e+07,218880,28801.6,28260.9,5.22856e+09,5.25594e+06,3.29698e+08,1.54676e+10,0,0,7.1977e+06,2.1469e+10,
97.8381,1.2175,0.654719,0.214781,0.007375,0.0675625,1.23474e+07,634368,45208.1,158975,5.27093e+09,5.5511e+06,3.35075e+08,1.54195e+10,0,0,7.1977e+06,2.1469e+10,
97.3838,1.43722,0.893469,0.147969,0.00390625,0.133938,2.016e+07,386048,110075,255752,5.39215e+09,5.89094e+06,3.44267e+08,1.52888e+10,0,0,7.1977e+06,2.1469e+10,
96.8107,1.64297,0.919719,0.470063,0.0265625,0.129937,2.16138e+07,63744,183084,168956,5.53023e+09,6.2697e+06,3.53827e+08,1.51408e+10,0,0,7.1977e+06,2.1469e+10,
97.2587,1.42566,0.794687,0.381563,0.0115312,0.127938,2.43336e+07,288000,160047,189879,5.65022e+09,6.6432e+06,3.64909e+08,1.50093e+10,0,0,7.1977e+06,2.1469e+10,
96.2013,1.97244,1.17297,0.486875,0.023375,0.143188,2.144e+07,556032,195760,225389,5.7728e+09,7.0665e+06,3.74571e+08,1.48766e+10,0,0,7.1977e+06,2.1469e+10,
92.3963,2.79856,3.65725,0.948219,0.0327812,0.167,1.99752e+07,1.45024e+06,282306,229332,5.34363e+09,7.55021e+06,3.83452e+08,1.52964e+10,0,0,7.1977e+06,2.1469e+10,
82.2995,4.04122,10.8505,2.673,0.00390625,0.132,1.51631e+07,1.04269e+06,220255,324266,4.37859e+09,8.07834e+06,3.9006e+08,1.62544e+10,0,0,7.1977e+06,2.1469e+10,
82.4871,4.955,8.91453,3.41044,0.0271875,0.20575,1.49944e+07,350208,272039,327744,3.63946e+09,8.70579e+06,3.95678e+08,1.69872e+10,0,0,7.1977e+06,2.1469e+10,
79.8737,4.16853,12.7135,3.06209,0.03125,0.15125,1.16296e+07,847104,184936,282763,2.55413e+09,9.21574e+06,3.99664e+08,1.80681e+10,0,0,7.1977e+06,2.1469e+10,
75.1721,4.73006,16.6281,3.31513,0.0389687,0.11575,3.01722e+06,926208,133432,234815,1.84114e+09,9.79008e+06,3.99569e+08,1.87806e+10,0,0,7.1977e+06,2.1469e+10,
81.119,5.23531,10.8496,2.57691,0.023375,0.195906,3.7888e+06,2.90074e+06,219185,267412,1.54427e+09,1.03182e+07,4.00185e+08,1.90763e+10,0,0,7.1977e+06,2.1469e+10,
92.1016,4.86041,2.29903,0.591844,0.0190937,0.128125,9.08646e+06,1.60998e+06,101962,139959,1.64057e+09,1.07078e+07,4.03414e+08,1.89764e+10,0,0,7.1977e+06,2.1469e+10,
94.8326,4.18781,0.632719,0.173312,0.0384687,0.135281,1.21757e+07,732672,101734,88742.5,1.88486e+09,1.11629e+07,4.08238e+08,1.87268e+10,0,0,7.1977e+06,2.1469e+10,
93.2967,4.8205,1.18781,0.494969,0.015375,0.184813,3.65618e+07,228608,176393,165592,2.15664e+09,1.15982e+07,4.25599e+08,1.84373e+10,0,0,7.1977e+06,2.1469e+10,
92.8696,4.64459,1.33631,0.82475,0.0265937,0.298156,7.33806e+07,912640,198370,171053,2.4575e+09,1.19137e+07,4.61842e+08,1.80998e+10,0,0,7.1977e+06,2.1469e+10,
89.4642,4.90416,3.33866,1.94797,0.034625,0.310312,7.09179e+07,1.29638e+06,303574,255614,2.46877e+09,1.22323e+07,4.95767e+08,1.80543e+10,0,0,7.1977e+06,2.1469e+10,
83.3708,6.15944,6.85516,3.20456,0.0315938,0.378531,8.67694e+07,896256,356535,333660,2.34757e+09,1.25605e+07,5.38458e+08,1.81325e+10,0,0,7.1977e+06,2.1469e+10,
84.066,6.17328,6.28944,2.97231,0.0659375,0.433219,1.03775e+08,216320,465676,368475,2.44635e+09,1.29083e+07,5.89067e+08,1.79828e+10,0,0,7.1977e+06,2.1469e+10,
82.4545,5.14563,8.00847,3.98134,0.0305937,0.379531,9.95901e+07,399872,405722,358086,2.2339e+09,1.32315e+07,6.37464e+08,1.81465e+10,0,0,7.1977e+06,2.1469e+10,
79.0486,5.196,11.385,3.98997,0.0544375,0.32625,6.26527e+07,684288,323080,270563,1.86874e+09,1.36132e+07,6.65949e+08,1.84828e+10,0,0,7.1977e+06,2.1469e+10,
81.4631,4.68437,10.1721,3.38116,0.0346562,0.264688,4.05722e+07,1.35142e+06,264378,269686,1.76318e+09,1.40294e+07,6.84454e+08,1.85694e+10,0,0,7.1977e+06,2.1469e+10,
89.3145,4.66609,4.50913,1.31744,0.0232812,0.169625,2.338e+07,1.24723e+06,197487,209276,1.75355e+09,1.44769e+07,6.9446e+08,1.85686e+10,0,0,7.1977e+06,2.1469e+10,
92.5393,4.87681,1.76903,0.568562,0.0225625,0.223906,2.769e+07,299008,180466,157444,1.92941e+09,1.49513e+07,7.07452e+08,1.83793e+10,0,0,7.1977e+06,2.1469e+10,
93.5268,4.76691,0.984187,0.410094,0.0308437,0.281094,5.34853e+07,313088,225192,189110,2.17724e+09,1.53327e+07,7.32887e+08,1.81056e+10,0,0,7.1977e+06,2.1469e+10,
92.7784,4.63134,1.65944,0.584937,0.0574688,0.288438,6.07428e+07,1.00685e+06,228619,190419,2.26427e+09,1.57023e+07,7.62174e+08,1.79889e+10,0,0,7.1977e+06,2.1469e+10,
87.8237,5.20119,4.47438,2.22578,0.0191562,0.255906,5.912e+07,1.52627e+06,299757,267167,2.22148e+09,1.60644e+07,7.90548e+08,1.8003e+10,0,0,7.1977e+06,2.1469e+10,
88.7207,5.53009,3.57462,1.79488,0.0381875,0.341562,8.26921e+07,996096,353370,313815,2.37415e+09,1.63487e+07,8.31186e+08,1.78094e+10,0,0,7.1977e+06,2.1469e+10,
88.1042,5.56741,4.26603,1.68394,0.0462188,0.332344,7.88925e+07,259840,376379,278329,2.32872e+09,1.66898e+07,8.68847e+08,1.78168e+10,0,0,7.1977e+06,2.1469e+10,
86.1738,5.44716,5.23094,2.72028,0.031125,0.396687,8.76055e+07,486656,398798,326437,2.23455e+09,1.69923e+07,9.11356e+08,1.78682e+10,0,0,7.1977e+06,2.1469e+10,
86.2113,5.28678,5.94488,2.19062,0.050375,0.316156,7.08155e+07,721920,324049,355347,2.02466e+09,1.73467e+07,9.44974e+08,1.80441e+10,0,0,7.1977e+06,2.1469e+10,
87.7813,5.36425,4.61578,1.9265,0.0351562,0.277,4.53148e+07,1.35706e+06,331962,292061,1.86766e+09,1.77221e+07,9.65791e+08,1.81799e+10,0,0,7.1977e+06,2.1469e+10,
91.2902,5.05822,2.50678,0.857469,0.0380625,0.249469,4.73779e+07,923392,229424,240883,1.98388e+09,1.80662e+07,9.8831e+08,1.80408e+10,0,0,7.1977e+06,2.1469e+10,
92.6407,5.00925,1.54188,0.552219,0.0188125,0.23725,3.99711e+07,316928,215026,186940,2.07889e+09,1.84273e+07,1.00711e+09,1.79267e+10,0,0,7.1977e+06,2.1469e+10,
91.3197,5.13641,2.39941,0.830875,0.0349687,0.27875,5.84822e+07,412416,248743,214378,2.16861e+09,1.87667e+07,1.03532e+09,1.78084e+10,0,0,7.1977e+06,2.1469e+10,
91.3623,4.91966,2.45613,0.931,0.0383125,0.292594,5.92927e+07,988416,269762,244856,2.17781e+09,1.90583e+07,1.06354e+09,1.77707e+10,0,0,7.1977e+06,2.1469e+10,
89.5266,5.35616,3.52581,1.17906,0.05075,0.36175,6.50921e+07,1.00992e+06,558163,415709,2.17256e+09,1.94098e+07,1.09526e+09,1.77439e+10,0,0,7.1977e+06,2.1469e+10,
90.3534,5.41969,2.83697,0.96375,0.03075,0.395625,6.70129e+07,968960,703274,290824,2.21839e+09,1.97161e+07,1.12802e+09,1.7665e+10,0,0,7.1977e+06,2.1469e+10,
90.6772,5.569,2.48341,0.844281,0.0657188,0.360281,6.6943e+07,304128,595175,336746,2.24117e+09,2.00713e+07,1.16001e+09,1.76098e+10,0,0,7.1977e+06,2.1469e+10,
88.8849,5.1445,4.10428,1.44581,0.0465625,0.373812,5.8357e+07,415488,355057,327684,2.13393e+09,2.04324e+07,1.18798e+09,1.76887e+10,0,0,7.1977e+06,2.1469e+10,
88.0844,5.16037,4.94478,1.45259,0.0270312,0.330875,5.54188e+07,933376,346048,314589,2.09028e+09,2.0785e+07,1.21408e+09,1.77059e+10,0,0,7.1977e+06,2.1469e+10,
89.4007,4.83319,4.15744,1.21806,0.0533125,0.337375,6.18764e+07,873216,304513,269241,2.12459e+09,2.11249e+07,1.24336e+09,1.7642e+10,0,0,7.1977e+06,2.1469e+10,
88.5571,5.14284,4.50891,1.43916,0.039125,0.312969,5.18692e+07,800000,313246,245279,2.05031e+09,2.15805e+07,1.26809e+09,1.76911e+10,0,0,7.1977e+06,2.1469e+10,
88.4444,4.82581,4.96853,1.40922,0.0387813,0.313406,6.04872e+07,305152,306044,273343,2.12998e+09,2.19255e+07,1.29704e+09,1.75821e+10,0,0,7.1977e+06,2.1469e+10,
88.2471,5.14175,4.96387,1.29872,0.031,0.317813,5.9305e+07,399872,286393,270721,2.19811e+09,2.222e+07,1.32556e+09,1.74852e+10,0,0,7.1977e+06,2.1469e+10,
89.3799,5.25878,3.86681,1.13397,0.0426875,0.318031,5.41888e+07,828160,400078,262375,2.15413e+09,2.25839e+07,1.35126e+09,1.75031e+10,0,0,7.1977e+06,2.1469e+10,
90.5801,5.09187,3.04016,0.921438,0.0425312,0.324156,6.07455e+07,1.12154e+06,285443,281890,2.24659e+09,2.29001e+07,1.38053e+09,1.73811e+10,0,0,7.1977e+06,2.1469e+10,
88.4232,5.34263,4.79491,1.04772,0.0314375,0.36025,6.75642e+07,847616,308481,335266,2.24775e+09,2.31409e+07,1.41289e+09,1.73473e+10,0,0,7.1977e+06,2.1469e+10,
89.5247,4.95056,4.30488,0.80525,0.0619375,0.35275,6.49033e+07,329728,385808,302156,2.14011e+09,2.33674e+07,1.44451e+09,1.74231e+10,0,0,7.1977e+06,2.1469e+10,
83.8356,5.27287,9.04487,1.46709,0.023375,0.356375,6.19638e+07,510720,337465,307297,2.15661e+09,2.36067e+07,1.47442e+09,1.73764e+10,0,0,7.1977e+06,2.1469e+10,
87.7879,5.16453,5.84609,0.815344,0.03125,0.355,6.38789e+07,784896,382302,293067,2.19752e+09,2.38072e+07,1.50483e+09,1.73049e+10,0,0,7.1977e+06,2.1469e+10,
