"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/grep_250gb-1gb-l-localhost.csv",,,,"Date:","08 Aug 2016 16:24:22 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.730,0.422,98.481,0.283,0.009,0.075,3399988.301,877080.277,0.0,0.0,2827243520.0,652800000.0,16306561024.0,1244491776.0,0.0,0.082,
21.723,4.120,73.658,0.0,0.0,0.499,0.0,0.0,310250.0,480761.0,2887958528.0,652800000.0,16307486720.0,1182851072.0,0.0,0.0,
28.464,1.373,69.913,0.0,0.125,0.125,0.0,81920.0,47019.0,57141.0,2979098624.0,652808192.0,16307507200.0,1091682304.0,0.0,0.0,
18.125,0.500,81.375,0.0,0.0,0.0,0.0,32768.0,22213.0,8436.0,2999578624.0,652808192.0,16307519488.0,1071190016.0,0.0,0.0,
13.591,0.374,85.910,0.0,0.0,0.125,0.0,122880.0,35461.0,331279.0,3002630144.0,652808192.0,16307523584.0,1068134400.0,0.0,0.0,
5.131,0.626,93.867,0.125,0.0,0.250,0.0,3260416.0,160259.0,2357451.0,3005861888.0,652832768.0,16307527680.0,1064873984.0,0.0,0.0,
0.125,0.499,99.001,0.0,0.0,0.375,0.0,0.0,401387.0,7436280.0,3002015744.0,652832768.0,16307556352.0,1068691456.0,0.0,0.0,
0.250,0.125,99.500,0.0,0.0,0.125,0.0,40960.0,251612.0,5765002.0,3001360384.0,652840960.0,16307552256.0,1069342720.0,0.0,0.0,
0.125,0.375,99.126,0.0,0.0,0.375,0.0,0.0,221530.0,4993538.0,3001217024.0,652840960.0,16307560448.0,1069477888.0,0.0,0.0,
0.250,0.250,99.126,0.0,0.0,0.375,0.0,0.0,255853.0,5297815.0,3000795136.0,652840960.0,16307560448.0,1069899776.0,0.0,0.0,
0.499,0.375,98.377,0.499,0.0,0.250,0.0,2605056.0,186810.0,3977134.0,3000995840.0,652865536.0,16307834880.0,1069400064.0,0.0,0.0,
0.125,0.250,99.500,0.0,0.0,0.125,0.0,73728.0,138519.0,3067858.0,3000573952.0,652869632.0,16307838976.0,1069813760.0,0.0,0.0,
0.874,0.250,98.752,0.0,0.0,0.125,0.0,0.0,116190.0,2201778.0,3000545280.0,652869632.0,16307740672.0,1069940736.0,0.0,0.0,
0.375,0.125,99.375,0.0,0.0,0.125,0.0,49152.0,111978.0,2072794.0,3000393728.0,652869632.0,16307740672.0,1070092288.0,0.0,0.0,
1.250,0.375,98.375,0.0,0.0,0.0,0.0,0.0,36696.0,314497.0,3000754176.0,652869632.0,16308142080.0,1069330432.0,0.0,0.0,
0.996,1.619,96.139,0.125,0.125,0.996,0.0,1507328.0,166578.0,2011536.0,3000553472.0,653012992.0,16308318208.0,1069211648.0,0.0,0.0,
1.126,6.758,84.230,0.0,0.250,7.635,0.0,73728.0,8079973.0,70434144.0,3002425344.0,654016512.0,16308752384.0,1065902080.0,0.0,0.0,
0.125,6.983,83.791,0.0,0.374,8.728,0.0,0.0,5929574.0,73138476.0,3001839616.0,654020608.0,16309207040.0,1066029056.0,0.0,0.0,
0.250,9.114,77.778,0.0,0.624,12.235,0.0,0.0,13061500.0,109419812.0,3002392576.0,654036992.0,16309272576.0,1065394176.0,0.0,0.0,
0.125,2.743,92.519,0.0,0.125,4.489,0.0,0.0,4387769.0,93024138.0,3001724928.0,654049280.0,16309284864.0,1066037248.0,0.0,0.0,
