"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven02",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/grep_250gb-1gb-l-raven02.csv",,,,"Date:","08 Aug 2016 16:24:24 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.987,0.236,98.578,0.173,0.004,0.022,503937.221,418317.459,0.0,0.0,967995392.0,1638400.0,54624256.0,20006825984.0,0.0,0.079,
0.125,0.0,99.750,0.125,0.0,0.0,8192.0,98304.0,14451.0,7680.0,968151040.0,1646592.0,53825536.0,20007460864.0,0.0,0.0,
0.0,0.125,99.875,0.0,0.0,0.0,4259840.0,0.0,241.0,398.0,968060928.0,1658880.0,54886400.0,20006477824.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,673.0,932.0,967942144.0,1658880.0,53862400.0,20007620608.0,0.0,0.0,
0.0,0.125,99.376,0.375,0.0,0.125,4259840.0,0.0,305.0,398.0,968097792.0,1703936.0,54726656.0,20006555648.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,360448.0,300140.0,299348.0,967278592.0,1712128.0,54140928.0,20007952384.0,0.0,0.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,671744.0,3169.0,932.0,967380992.0,1720320.0,52948992.0,20009033728.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,497.0,398.0,967266304.0,1720320.0,52047872.0,20010049536.0,0.0,0.0,
0.125,0.0,98.623,1.252,0.0,0.0,5283840.0,0.0,3121.0,398.0,967593984.0,1724416.0,54968320.0,20006797312.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,3211264.0,0.0,481.0,932.0,967065600.0,1724416.0,54226944.0,20008067072.0,0.0,0.0,
0.0,0.125,99.875,0.0,0.0,0.0,4259840.0,0.0,1457.0,398.0,967204864.0,1736704.0,55123968.0,20007018496.0,0.0,0.0,
