"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.526812,0.12025,99.1833,0.158813,0.00159375,0.00946875,269237,329814,0,0,9.92039e+08,1.71238e+06,5.47736e+07,1.99826e+10,82.6957,146.341,
0.0859375,0.0390625,99.762,0.10925,0,0.00390625,1.90643e+06,96000,3147.88,2142.5,9.91755e+08,1.72288e+06,5.48544e+07,1.99828e+10,0,0,
0.0429688,0.0625,99.7385,0.144437,0,0.0117188,1.96147e+06,69632,9586.5,9875.12,9.91496e+08,1.73568e+06,5.48001e+07,1.99831e+10,0,0,
0.124938,0.066375,99.4497,0.335719,0,0.0234375,2.64627e+06,0,30247.5,27153.9,9.91292e+08,1.75552e+06,5.51542e+07,1.99829e+10,0,0,
0.433563,0.132812,99.2189,0.183562,0,0.03125,1.80429e+06,98304,202405,50851.7,9.9258e+08,1.7705e+06,5.52564e+07,1.99815e+10,0,0,
0.678906,0.0741875,99.0325,0.191156,0,0.0234062,2.25664e+06,331520,274936,47410.4,9.93477e+08,1.78355e+06,5.55186e+07,1.99803e+10,0,0,
0.842781,0.0975938,98.8374,0.206781,0,0.015625,1.33555e+06,116224,113081,5052.91,9.95186e+08,1.79123e+06,5.52684e+07,1.99788e+10,0,0,
0.616469,0.0780625,99.0753,0.206844,0.00390625,0.0195312,2.38029e+06,189952,208752,9366.59,9.96029e+08,1.79891e+06,5.56079e+07,1.99776e+10,0,0,
0.519531,0.078125,99.1604,0.218656,0.0078125,0.015625,2.68442e+06,0,133628,6264.41,9.96119e+08,1.80198e+06,5.60508e+07,1.99771e+10,0,0,
0.698375,0.0741875,99.1144,0.105313,0,0.0078125,2.05926e+06,0,113003,5647.47,9.96124e+08,1.80506e+06,5.61399e+07,1.9977e+10,0,0,
0.715594,0.0625,99.0386,0.175625,0,0.0078125,1.91155e+06,12544,114651,4931.06,9.96594e+08,1.81235e+06,5.60568e+07,1.99766e+10,0,0,
0.958906,0.0936562,98.4009,0.527094,0.00390625,0.0155937,2.73562e+06,54272,53574.2,2763.69,9.98977e+08,1.83437e+06,5.64933e+07,1.99738e+10,0,0,
0.082,0.0585938,99.723,0.132719,0.00390625,0,1.7856e+06,44032,53031.6,12418.1,9.9844e+08,1.8441e+06,5.6319e+07,1.99745e+10,0,0,
0.550781,0.0585938,99.0824,0.284906,0,0.0234375,2.33165e+06,16128,12319.6,3504.56,9.98502e+08,1.8569e+06,5.6498e+07,1.99742e+10,0,0,
8.13681,2.75444,82.311,6.55181,0.0117188,0.234156,2.31219e+06,20992,431424,180748,1.01908e+09,2.03981e+06,5.78743e+07,1.99521e+10,0,0,
13.2885,15.8903,49.7539,20.759,0.03125,0.277062,2.7799e+06,276224,2.79486e+06,428134,1.08211e+09,2.11546e+06,6.14284e+07,1.98854e+10,0,0,
33.4675,20.8997,40.9902,4.16022,0.0310312,0.4515,2.89741e+06,481792,2.34729e+06,256012,1.19973e+09,2.1833e+06,6.39016e+07,1.97653e+10,0,0,
65.5984,4.06481,17.2113,12.817,0.00775,0.300906,2.24947e+06,433152,3.41447e+06,341831,1.40726e+09,2.25549e+06,6.70842e+07,1.95545e+10,0,0,
93.6974,2.85216,2.32034,0.988594,0.017875,0.1235,1.86803e+06,471040,2.56534e+06,120298,1.60426e+09,2.26138e+06,6.87328e+07,1.93558e+10,0,0,
91.244,3.96394,2.65963,1.85425,0.0115625,0.266594,2.52186e+06,1.37088e+06,2.0177e+06,90001.9,1.82054e+09,2.2729e+06,7.15363e+07,1.91367e+10,0,0,
63.7075,3.77744,15.9556,16.2027,0.038875,0.31825,1.74566e+06,7936,3.37784e+06,156465,2.00409e+09,2.27891e+06,7.47475e+07,1.895e+10,0,0,
88.2674,2.56488,4.64794,4.32537,0.011,0.183469,1.18669e+07,159744,3.37676e+06,167962,2.20551e+09,2.30464e+06,8.20114e+07,1.87413e+10,0,0,
94.2818,2.00356,2.18788,1.30913,0.0191875,0.1985,1.57635e+07,145664,1.4236e+06,68009.4,2.30434e+09,2.33638e+06,9.12095e+07,1.86332e+10,0,0,
85.9416,4.20419,4.64653,4.81803,0.0400937,0.349562,1.72992e+07,336384,2.97968e+06,132291,2.42262e+09,2.37286e+06,1.02139e+08,1.8504e+10,0,0,
61.5122,7.20922,18.2128,12.6754,0.0155,0.375031,6.35338e+07,967424,2.16368e+06,1.0161e+06,3.01261e+09,2.51635e+06,1.39766e+08,1.78762e+10,0,0,
49.2629,6.06975,19.8399,24.2293,0.0232812,0.575031,1.69762e+08,84224,2.40857e+06,2.54201e+06,3.87625e+09,2.67277e+06,2.27927e+08,1.69242e+10,0,0,
40.0686,2.97341,24.8637,31.381,0.0346875,0.678719,1.95667e+08,427520,4.80626e+06,4.25954e+06,4.14198e+09,2.80102e+06,3.27587e+08,1.65587e+10,0,0,
37.5146,1.85631,26.9071,33.0086,0.0468438,0.666687,1.99464e+08,551168,5.49738e+06,5.2343e+06,4.22581e+09,2.91558e+06,4.28099e+08,1.63743e+10,0,0,
34.2834,1.63431,30.1536,33.2813,0.0311875,0.616156,2.00635e+08,246016,5.88672e+06,5.68589e+06,4.27297e+09,3.0144e+06,5.26045e+08,1.62291e+10,0,0,
36.0276,1.86037,29.1649,32.3077,0.0351562,0.60425,2.01928e+08,361984,5.73774e+06,5.72972e+06,4.3195e+09,3.11603e+06,6.25968e+08,1.60825e+10,0,0,
31.9465,1.97391,29.9934,35.4191,0.0429688,0.624062,2.02047e+08,353536,6.00508e+06,5.95409e+06,4.38874e+09,3.21498e+06,7.26558e+08,1.59126e+10,0,0,
24.0882,1.75572,35.5157,38.0006,0.0468125,0.593,1.98216e+08,346880,5.81263e+06,5.92575e+06,4.46239e+09,3.31776e+06,8.24796e+08,1.57406e+10,0,0,
22.5509,1.92353,37.7427,37.2208,0.0312187,0.53075,1.94121e+08,215552,6.05026e+06,5.36385e+06,4.56254e+09,3.42042e+06,9.21872e+08,1.55433e+10,0,0,
22.4903,2.06441,37.4789,37.4241,0.0195,0.522844,1.9656e+08,58624,5.55798e+06,5.79616e+06,4.67365e+09,3.51885e+06,1.01805e+09,1.53359e+10,0,0,
18.2057,1.71631,45.1871,34.3331,0.0468438,0.511,1.96819e+08,50432,5.97815e+06,6.10366e+06,4.76795e+09,3.61907e+06,1.11643e+09,1.51431e+10,0,0,
20.8243,1.908,43.0688,33.6176,0.0273125,0.554094,2.00562e+08,69888,5.90585e+06,5.8494e+06,4.85678e+09,3.72326e+06,1.21475e+09,1.49558e+10,0,0,
19.7107,1.82706,41.2423,36.654,0.0351562,0.530906,1.94005e+08,92672,6.62628e+06,6.20686e+06,4.92161e+09,3.83475e+06,1.31046e+09,1.47952e+10,0,0,
17.8044,1.53694,44.5609,35.5751,0.03125,0.491625,1.95969e+08,151808,6.19567e+06,6.51479e+06,4.96332e+09,4.02189e+06,1.40858e+09,1.46552e+10,0,0,
19.2952,1.66219,43.7985,34.6588,0.046875,0.538406,2.01849e+08,88576,5.91548e+06,5.96788e+06,5.00213e+09,4.27814e+06,1.50746e+09,1.45172e+10,0,0,
19.4916,1.77225,43.6047,34.5967,0.0390625,0.495719,2.01041e+08,19456,5.52909e+06,5.6396e+06,5.04275e+09,4.41165e+06,1.60709e+09,1.43768e+10,0,0,
17.1737,1.43559,47.6583,33.2019,0.0273125,0.503219,2.00023e+08,20480,5.97479e+06,5.92743e+06,5.08262e+09,4.51942e+06,1.70603e+09,1.42379e+10,0,0,
18.7014,1.63484,46.9531,32.1452,0.0312187,0.534312,2.02396e+08,51968,6.29818e+06,5.80106e+06,5.12842e+09,4.6345e+06,1.80707e+09,1.4091e+10,0,0,
20.0141,1.76028,43.5677,34.1273,0.0234375,0.507406,2.00844e+08,158464,5.76553e+06,5.59569e+06,5.17333e+09,4.74138e+06,1.90696e+09,1.39461e+10,0,0,
17.1714,1.51384,45.2304,35.5344,0.0273438,0.522906,2.01056e+08,118272,5.95507e+06,6.08439e+06,5.22036e+09,4.84531e+06,2.00515e+09,1.38007e+10,0,0,
18.9075,1.61528,44.0813,34.8421,0.0390313,0.514938,2.02216e+08,34048,6.42279e+06,6.16395e+06,5.25446e+09,4.94554e+06,2.10345e+09,1.36682e+10,0,0,
19.7953,1.80669,43.9905,33.8416,0.0429688,0.523062,2.02888e+08,161536,5.95893e+06,6.05628e+06,5.27645e+09,5.04346e+06,2.20322e+09,1.35464e+10,0,0,
17.1147,1.53341,45.7772,35.0831,0.0273438,0.464344,1.92591e+08,193536,5.94018e+06,5.84079e+06,5.30211e+09,5.14394e+06,2.30055e+09,1.34233e+10,0,0,
17.7987,1.58437,45.7545,34.3552,0.0273438,0.479875,1.89834e+08,171008,5.69195e+06,5.96524e+06,5.33838e+09,5.24403e+06,2.39467e+09,1.32928e+10,0,0,
18.8638,1.79944,44.5018,34.312,0.0273438,0.495719,1.91314e+08,107008,6.43575e+06,5.68539e+06,5.3998e+09,5.34157e+06,2.48838e+09,1.31376e+10,0,0,
16.4931,1.49063,46.3975,35.0922,0.0351562,0.491656,1.89922e+08,165376,5.2009e+06,5.37569e+06,5.43329e+09,5.43565e+06,2.57971e+09,1.30126e+10,0,0,
17.0694,1.55637,43.8795,36.9643,0.0234375,0.507094,1.88838e+08,44288,6.7478e+06,6.61509e+06,5.48882e+09,5.53075e+06,2.67453e+09,1.28622e+10,0,0,
18.0666,1.84991,43.6941,35.8275,0.0390625,0.522906,1.86534e+08,98304,6.22818e+06,6.5421e+06,5.54908e+09,5.62918e+06,2.7674e+09,1.2709e+10,0,0,
16.3565,1.46381,45.4093,36.3022,0.0195312,0.448781,1.89175e+08,114944,6.00112e+06,5.65906e+06,5.60824e+09,5.72544e+06,2.8585e+09,1.25586e+10,0,0,
17.1611,1.52472,47.5305,33.2883,0.0234062,0.472094,1.87024e+08,33536,5.49486e+06,5.9502e+06,5.66272e+09,5.81965e+06,2.95344e+09,1.24091e+10,0,0,
20.4773,1.81041,43.7883,33.3702,0.05075,0.503219,1.87439e+08,61184,5.98465e+06,5.61263e+06,5.7194e+09,5.91539e+06,3.04783e+09,1.22579e+10,0,0,
16.8194,1.45556,46.1411,35.0688,0.0234375,0.491719,1.90286e+08,0,5.88816e+06,6.14817e+06,5.76612e+09,6.01139e+06,3.14013e+09,1.21188e+10,0,0,
16.8078,1.47941,49.4411,31.7643,0.03125,0.476219,1.88065e+08,52736,6.3753e+06,6.41372e+06,5.79913e+09,6.11686e+06,3.23238e+09,1.19935e+10,0,0,
18.8447,1.69744,45.4132,33.5139,0.03125,0.499437,1.8743e+08,81408,6.56399e+06,5.90181e+06,5.82428e+09,6.21952e+06,3.32481e+09,1.18758e+10,0,0,
16.3836,1.30769,46.4638,35.349,0.0234375,0.472375,1.89375e+08,26368,6.31966e+06,6.77172e+06,5.83883e+09,6.31706e+06,3.41948e+09,1.17665e+10,0,0,
16.5657,1.38087,48.0732,33.4501,0.0429688,0.487656,1.90986e+08,24064,6.20356e+06,6.10252e+06,5.84812e+09,6.41626e+06,3.51403e+09,1.16625e+10,0,0,
