"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven09",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/grep_250gb-256mb-1-raven09.csv",,,,"Date:","08 Aug 2016 16:18:25 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.382,0.100,99.389,0.120,0.002,0.007,162681.943,290436.846,0.0,0.0,1139232768.0,1699840.0,55480320.0,19834671104.0,0.0,0.079,
0.0,0.0,100.0,0.0,0.0,0.0,8192.0,0.0,825.0,756.0,1139138560.0,1699840.0,54566912.0,19835678720.0,0.0,0.0,
0.125,0.125,99.751,0.0,0.0,0.0,0.0,81920.0,3759.0,1060.0,1138458624.0,1708032.0,53665792.0,19837251584.0,0.0,0.0,
0.0,0.0,99.250,0.750,0.0,0.0,8454144.0,0.0,305.0,398.0,1138302976.0,1728512.0,56639488.0,19834413056.0,0.0,0.0,
0.125,0.125,99.001,0.624,0.125,0.0,106496.0,0.0,109826.0,213586.0,1137553408.0,1753088.0,55840768.0,19835936768.0,0.0,0.0,
0.0,0.125,99.002,0.748,0.0,0.125,4308992.0,352256.0,737.0,1002.0,1137463296.0,1798144.0,56807424.0,19835015168.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,497.0,476.0,1136775168.0,1798144.0,55963648.0,19836547072.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,4194304.0,344064.0,177.0,398.0,1136803840.0,1806336.0,56864768.0,19835609088.0,0.0,0.0,
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,2285.0,1066.0,1135927296.0,1806336.0,55963648.0,19837386752.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,817.0,398.0,1135792128.0,1806336.0,55963648.0,19837521920.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,98304.0,1905.0,462.0,1135308800.0,1814528.0,54906880.0,19839053824.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,609.0,932.0,1135230976.0,1814528.0,53714944.0,19840323584.0,0.0,0.0,
0.0,0.0,99.500,0.500,0.0,0.0,8495104.0,49152.0,3313.0,462.0,1134596096.0,1826816.0,56995840.0,19837665280.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,2033.0,398.0,1134780416.0,1826816.0,55795712.0,19838681088.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,4259840.0,0.0,2145.0,932.0,1134428160.0,1839104.0,56942592.0,19837874176.0,0.0,0.0,
7.865,2.747,84.769,4.370,0.0,0.250,1204224.0,0.0,81935.0,1192848.0,1139712000.0,2043904.0,57622528.0,19831705600.0,0.0,0.0,
10.487,28.839,53.808,6.617,0.0,0.250,4308992.0,0.0,4337434.0,399925.0,1204494336.0,2068480.0,62476288.0,19762044928.0,0.0,0.0,
36.205,8.614,46.317,8.240,0.0,0.624,32768.0,49152.0,2196939.0,388738.0,1344475136.0,2101248.0,64040960.0,19620466688.0,0.0,0.0,
