"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven09",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/grep-250gb-2gb-1-raven09.csv",,,,"Date:","14 Aug 2016 17:16:12 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.817,0.127,98.843,0.194,0.002,0.015,551264.139,876509.576,0.0,0.0,1375363072.0,1667072.0,55250944.0,19598802944.0,0.0,0.065,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,4202496.0,0.0,1631.0,1261.0,1374015488.0,1667072.0,56758272.0,19598643200.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.125,99.626,0.125,0.0,0.0,8192.0,0.0,241.0,403.0,1373523968.0,1671168.0,55848960.0,19600039936.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.125,99.126,0.624,0.0,0.0,81920.0,0.0,16603.0,17073.0,1373528064.0,1708032.0,54636544.0,19601211392.0,0.0,0.0,196608.0,21475966976.0,
3.367,1.122,90.648,4.489,0.125,0.249,1474560.0,212992.0,765033.0,60987.0,1386311680.0,1929216.0,58429440.0,19584413696.0,0.0,0.0,196608.0,21475966976.0,
12.984,1.248,83.146,2.122,0.0,0.499,8519680.0,1761280.0,9196221.0,473555.0,1429135360.0,1990656.0,67031040.0,19532926976.0,0.0,0.0,196608.0,21475966976.0,
23.625,1.125,73.500,1.500,0.0,0.250,122880.0,0.0,5745439.0,231973.0,1476218880.0,1994752.0,71471104.0,19481399296.0,0.0,0.0,196608.0,21475966976.0,
19.625,1.125,75.875,2.625,0.125,0.625,4317184.0,0.0,3311335.0,134081.0,1527046144.0,2031616.0,77647872.0,19424358400.0,0.0,0.0,196608.0,21475966976.0,
14.464,0.623,83.292,1.247,0.0,0.374,0.0,0.0,6154504.0,265165.0,1550880768.0,2031616.0,81612800.0,19396558848.0,0.0,0.0,196608.0,21475966976.0,
16.105,0.624,81.648,1.373,0.0,0.250,4210688.0,65536.0,4501325.0,191472.0,1562804224.0,2048000.0,86175744.0,19380056064.0,0.0,0.0,196608.0,21475966976.0,
18.579,0.499,79.925,0.623,0.0,0.374,0.0,270336.0,3423813.0,133673.0,1577328640.0,2076672.0,89051136.0,19362627584.0,0.0,0.0,196608.0,21475966976.0,
19.351,0.624,79.526,0.375,0.0,0.125,0.0,0.0,2271015.0,88621.0,1596825600.0,2076672.0,89059328.0,19343122432.0,0.0,0.0,196608.0,21475966976.0,
16.500,0.625,81.875,0.875,0.0,0.125,32768.0,0.0,2076460.0,214538.0,1641558016.0,2097152.0,89661440.0,19297767424.0,0.0,0.0,196608.0,21475966976.0,
1.623,0.250,98.002,0.125,0.0,0.0,8429568.0,0.0,308864.0,16475.0,1641832448.0,2101248.0,92905472.0,19294244864.0,0.0,0.0,196608.0,21475966976.0,
36.579,6.866,55.680,0.499,0.0,0.375,73728.0,409600.0,2004533.0,223926.0,1719181312.0,2220032.0,94863360.0,19214819328.0,0.0,0.0,196608.0,21475966976.0,
56.305,19.351,23.970,0.0,0.0,0.375,4259840.0,1843200.0,346621.0,616123.0,1924636672.0,2240512.0,95834112.0,19008372736.0,0.0,0.0,196608.0,21475966976.0,
95.511,2.868,1.621,0.0,0.0,0.0,16384.0,0.0,13204.0,14616.0,2124349440.0,2248704.0,95965184.0,18808520704.0,0.0,0.0,196608.0,21475966976.0,
95.432,3.827,0.617,0.0,0.123,0.0,0.0,0.0,453150.0,22852.0,2369806336.0,2248704.0,95690752.0,18563338240.0,0.0,0.0,196608.0,21475966976.0,
94.418,3.444,2.138,0.0,0.0,0.0,4194304.0,0.0,19028.0,14706.0,2611449856.0,2248704.0,96534528.0,18320850944.0,0.0,0.0,196608.0,21475966976.0,
97.628,1.873,0.375,0.0,0.0,0.125,0.0,253952.0,20759.0,19374.0,2706280448.0,2265088.0,95789056.0,18226749440.0,0.0,0.0,196608.0,21475966976.0,
96.429,2.463,0.739,0.123,0.0,0.246,90112.0,770048.0,95402.0,86855.0,2791702528.0,2314240.0,94720000.0,18142347264.0,0.0,0.0,196608.0,21475966976.0,
84.750,6.500,7.875,0.750,0.0,0.125,22847488.0,0.0,364497.0,73227.0,3182239744.0,2383872.0,110985216.0,17735475200.0,0.0,0.0,196608.0,21475966976.0,
63.965,8.479,16.708,10.224,0.125,0.499,163151872.0,0.0,803359.0,53935.0,4319043584.0,2506752.0,196239360.0,16513294336.0,0.0,0.0,196608.0,21475966976.0,
40.949,2.996,24.844,30.712,0.0,0.499,196542464.0,0.0,2787.0,7310.0,4600655872.0,2621440.0,295100416.0,16132706304.0,0.0,0.0,196608.0,21475966976.0,
40.426,1.627,18.648,38.924,0.0,0.375,207659008.0,98304.0,12513.0,76073.0,4609470464.0,2744320.0,397676544.0,16021192704.0,0.0,0.0,196608.0,21475966976.0,
40.648,2.743,32.294,23.566,0.125,0.623,215785472.0,1540096.0,1200.0,2246.0,4846288896.0,2875392.0,512376832.0,15669542912.0,0.0,0.0,196608.0,21475966976.0,
27.591,1.498,45.443,25.094,0.0,0.375,213696512.0,0.0,22359.0,22880.0,4897619968.0,2965504.0,615653376.0,15514845184.0,0.0,0.0,196608.0,21475966976.0,
29.713,3.121,38.577,28.090,0.125,0.375,215244800.0,0.0,60806.0,12029.0,5173387264.0,3067904.0,722145280.0,15132483584.0,0.0,0.0,196608.0,21475966976.0,
27.466,2.497,43.820,25.718,0.0,0.499,213254144.0,0.0,1654.0,2246.0,5322530816.0,3190784.0,824512512.0,14880849920.0,0.0,0.0,196608.0,21475966976.0,
25.094,1.873,33.833,38.577,0.0,0.624,215990272.0,114688.0,30179.0,5597.0,5359177728.0,3309568.0,937168896.0,14731427840.0,0.0,0.0,196608.0,21475966976.0,
29.463,2.122,33.458,34.457,0.0,0.499,225484800.0,1572864.0,63468.0,26397.0,5389406208.0,3416064.0,1037787136.0,14600474624.0,0.0,0.0,196608.0,21475966976.0,
21.223,1.373,45.818,30.961,0.125,0.499,191037440.0,0.0,1334.0,2386.0,5414895616.0,3514368.0,1143721984.0,14468952064.0,0.0,0.0,196608.0,21475966976.0,
27.930,1.870,43.267,26.309,0.0,0.623,233988096.0,0.0,26319.0,5549.0,5443293184.0,3629056.0,1249411072.0,14334750720.0,0.0,0.0,196608.0,21475966976.0,
21.402,1.877,38.548,37.797,0.0,0.375,200015872.0,172032.0,74733.0,12176.0,5511200768.0,3743744.0,1359618048.0,14156521472.0,0.0,0.0,196608.0,21475966976.0,
18.250,1.375,45.875,34.125,0.0,0.375,218267648.0,90112.0,5113.0,2357.0,5539553280.0,3858432.0,1472458752.0,14015213568.0,0.0,0.0,196608.0,21475966976.0,
21.945,1.496,49.127,26.808,0.0,0.623,217325568.0,106496.0,20260.0,6628.0,5615083520.0,3956736.0,1564819456.0,13847224320.0,0.0,0.0,196608.0,21475966976.0,
21.820,3.117,43.267,31.172,0.125,0.499,231317504.0,0.0,76624.0,12038.0,5932294144.0,4071424.0,1679843328.0,13414875136.0,0.0,0.0,196608.0,21475966976.0,
19.399,3.004,43.930,33.417,0.0,0.250,215277568.0,0.0,2887.0,2582.0,6285598720.0,4169728.0,1784991744.0,12956323840.0,0.0,0.0,196608.0,21475966976.0,
22.800,2.354,46.221,28.377,0.0,0.248,232521728.0,0.0,18249.0,4157.0,6447525888.0,4288512.0,1902211072.0,12677058560.0,0.0,0.0,196608.0,21475966976.0,
27.216,1.498,39.201,31.461,0.0,0.624,226680832.0,73728.0,70377.0,11483.0,6452596736.0,4403200.0,2014437376.0,12559646720.0,0.0,0.0,196608.0,21475966976.0,
