"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.0585938,0.0351562,99.836,0.0664062,0,0.00390625,898560,0,4264.84,1960.03,8.58001e+08,1.63917e+06,5.24879e+07,2.0119e+10,0,0,6.83315e+06,2.14693e+10,
0.03125,0.046875,99.7776,0.136625,0,0.0078125,310016,0,1259.53,588.094,8.57665e+08,1.6448e+06,5.24539e+07,2.01193e+10,0,0,6.83315e+06,2.14693e+10,
0.0429688,0.0429375,99.4419,0.448906,0.00390625,0.0195312,842240,0,31620.4,21510.2,8.5747e+08,1.66682e+06,5.25692e+07,2.01194e+10,0,0,6.83315e+06,2.14693e+10,
0.046875,0.0546875,99.6879,0.195031,0,0.015625,291584,60928,7640.31,3904.25,8.57127e+08,1.67846e+06,5.2479e+07,2.01198e+10,0,0,6.83315e+06,2.14693e+10,
0.308594,0.046875,99.1527,0.476344,0,0.015625,554240,565248,130122,12764.8,8.57025e+08,1.70342e+06,5.26115e+07,2.01197e+10,0,0,6.83315e+06,2.14693e+10,
0.426844,0.0857187,99.1291,0.331281,0.00390625,0.0233437,290816,0,216827,21970.1,8.57365e+08,1.71878e+06,5.27155e+07,2.01193e+10,0,0,6.83315e+06,2.14693e+10,
0.343031,0.0858125,99.3645,0.187188,0.00390625,0.0155937,837376,0,242283,73126.7,8.58468e+08,1.728e+06,5.30789e+07,2.01178e+10,0,0,6.83315e+06,2.14693e+10,
0.605469,0.0546875,99.2695,0.0546875,0,0.015625,139264,0,212028,12725.7,8.59587e+08,1.73005e+06,5.31596e+07,2.01166e+10,0,0,6.83315e+06,2.14693e+10,
0.983219,0.066375,98.8258,0.109156,0.00390625,0.0117188,1.02195e+06,0,85333.4,4191.72,8.61701e+08,1.73286e+06,5.35058e+07,2.01141e+10,0,0,6.83315e+06,2.14693e+10,
0.508406,0.0390937,99.394,0.0469062,0,0.0117188,315136,217088,42143.7,2520.38,8.62301e+08,1.7417e+06,5.33932e+07,2.01136e+10,0,0,6.83315e+06,2.14693e+10,
0.491,0.0663438,99.3881,0.0311875,0.0078125,0.0155625,923904,24320,109423,5182.66,8.62451e+08,1.74387e+06,5.36657e+07,2.01132e+10,0,0,6.83315e+06,2.14693e+10,
0.565094,0.0468125,99.353,0.0272812,0,0.00778125,133632,16896,111784,5162.16,8.62514e+08,1.74618e+06,5.36046e+07,2.01132e+10,0,0,6.83315e+06,2.14693e+10,
0.628156,0.0741875,99.2626,0.0273125,0,0.0078125,526592,1792,90077.6,4200.59,8.62774e+08,1.74682e+06,5.36956e+07,2.01129e+10,0,0,6.83315e+06,2.14693e+10,
0.792063,0.0624688,99.1338,0.0078125,0,0.00390625,271104,3072,57662.9,2891.16,8.64605e+08,1.74797e+06,5.36215e+07,2.01111e+10,0,0,6.83315e+06,2.14693e+10,
0.132625,0.0429375,99.6568,0.140469,0,0.0272812,802560,71680,19131,9200.25,8.64603e+08,1.76154e+06,5.3775e+07,2.01109e+10,0,0,6.83315e+06,2.14693e+10,
0.226719,0.0585625,99.481,0.226031,0,0.0078125,354816,10240,5166.47,823.25,8.64527e+08,1.77152e+06,5.37412e+07,2.0111e+10,0,0,6.83315e+06,2.14693e+10,
1.06066,0.117031,98.4008,0.378688,0.00390625,0.039,1.12154e+06,8448,152993,9350.78,8.64848e+08,1.78189e+06,5.4358e+07,2.01101e+10,0,0,6.83315e+06,2.14693e+10,
