"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.525063,0.120094,99.1861,0.157813,0.00159375,0.0094375,262252,329825,0,0,9.91395e+08,1.7719e+06,5.50492e+07,1.99829e+10,82.7018,146.352,
0.0664062,0.0468438,99.3761,0.506812,0,0.00390625,1.2777e+06,54528,2994,1664.97,9.91227e+08,1.8144e+06,5.47451e+07,1.99833e+10,0,0,
0.0546875,0.0585938,99.2584,0.605,0.00390625,0.0195312,2.06464e+06,78592,406.5,564.938,9.90995e+08,1.86138e+06,5.47167e+07,1.99835e+10,0,0,
0.0625,0.0742188,99.2152,0.6365,0.0117188,0,1.52525e+06,69888,42561.1,32879.7,9.9079e+08,1.90246e+06,5.44257e+07,1.9984e+10,0,0,
0.289062,0.09375,98.9617,0.636094,0.00390625,0.015625,3.11194e+06,55040,173892,29061.6,9.91407e+08,1.94278e+06,5.51667e+07,1.99826e+10,0,0,
0.616531,0.082,98.7979,0.480313,0.0078125,0.015625,1.60717e+06,364800,195798,14003.1,9.92643e+08,1.98566e+06,5.51437e+07,1.99813e+10,0,0,
0.966469,0.0858125,98.5578,0.362812,0.00390625,0.0234062,2.77043e+06,108544,174031,10975.1,9.94224e+08,2.00218e+06,5.5559e+07,1.99793e+10,0,0,
0.518938,0.0741875,98.8062,0.565719,0.00390625,0.0312187,2.20006e+06,79104,259661,70182.2,9.95164e+08,2.01971e+06,5.58746e+07,1.9978e+10,0,0,
0.598281,0.0937812,99.0855,0.206906,0.00390625,0.0117188,2.74944e+06,180224,126662,5974.31,9.95254e+08,2.03123e+06,5.63379e+07,1.99775e+10,0,0,
0.507219,0.0702813,99.3522,0.0625,0,0.0078125,1.45434e+06,3328,107531,5872.06,9.95332e+08,2.03366e+06,5.60773e+07,1.99776e+10,0,0,
0.656219,0.078125,99.1448,0.101469,0,0.0195312,1.98451e+06,14592,100192,4406.31,9.95577e+08,2.03776e+06,5.61304e+07,1.99773e+10,0,0,
0.753,0.0780938,99.0558,0.0975938,0.00390625,0.0117188,1.28742e+06,11776,64701.4,3044.81,9.96539e+08,2.04058e+06,5.58838e+07,1.99766e+10,0,0,
0.695312,0.0585938,99.0199,0.218469,0,0.0078125,2.93581e+06,64768,70430.6,15574.5,9.9701e+08,2.05094e+06,5.62336e+07,1.99758e+10,0,0,
0.148219,0.0429688,99.6607,0.128812,0.0078125,0.0117188,1.88211e+06,48128,20030.3,5567.75,9.96821e+08,2.06003e+06,5.61539e+07,1.9976e+10,0,0,
4.425,1.19819,92.3389,1.92475,0.0078125,0.105438,3.11654e+06,20736,100328,33389.9,1.00269e+09,2.16064e+06,5.69268e+07,1.99693e+10,0,0,
13.3917,8.15547,54.1304,23.9206,0.0117188,0.390125,2.97677e+06,419584,1.95969e+06,405539,1.07033e+09,2.3287e+06,6.11629e+07,1.98973e+10,0,0,
25.7216,28.7354,42.4999,2.69347,0.0195,0.330312,2.66266e+06,368896,2.45409e+06,278650,1.15795e+09,2.34189e+06,6.32133e+07,1.98076e+10,0,0,
57.3451,4.74806,24.8106,12.6607,0.03825,0.39725,1.55162e+06,398592,3.30275e+06,408220,1.35224e+09,2.46093e+06,6.6241e+07,1.96101e+10,0,0,
92.461,3.31856,1.73206,2.32513,0.00375,0.159219,2.12506e+06,585472,3.19015e+06,183488,1.5713e+09,2.47219e+06,6.80829e+07,1.93892e+10,0,0,
93.7258,3.70662,1.19459,1.13903,0.0116875,0.222156,1.59667e+06,1.2439e+06,1.71716e+06,77199.5,1.78483e+09,2.48166e+06,6.99913e+07,1.91738e+10,0,0,
75.1309,4.13328,6.58391,13.7874,0.031125,0.333531,2.93632e+06,68864,3.14996e+06,146185,1.99313e+09,2.48909e+06,7.38301e+07,1.89616e+10,0,0,
87.9614,2.81509,3.23103,5.75309,0.019875,0.2195,5.84192e+06,39424,3.99581e+06,192833,2.19865e+09,2.50624e+06,7.84617e+07,1.87515e+10,0,0,
94.9976,2.42894,1.12963,1.21569,0.0227812,0.205406,9.96198e+06,207616,1.84079e+06,85109.1,2.32229e+09,2.53606e+06,8.48484e+07,1.86214e+10,0,0,
83.4773,4.54684,5.28109,6.36712,0.019875,0.307906,1.73714e+07,361216,2.75423e+06,146966,2.50262e+09,2.58266e+06,9.61412e+07,1.84297e+10,0,0,
65.8776,7.25975,14.8011,11.7012,0.0234062,0.336875,6.74189e+07,770560,2.27032e+06,229262,3.11218e+09,2.67981e+06,1.33985e+08,1.77822e+10,0,0,
52.5083,6.38003,18.9844,21.5957,0.0311875,0.500531,1.69456e+08,495104,639961,112123,3.94915e+09,2.8215e+06,2.23381e+08,1.68557e+10,0,0,
44.224,3.18444,21.9312,30.0635,0.0273125,0.569531,2.07482e+08,155904,77222.2,16207.9,4.2635e+09,2.93862e+06,3.31177e+08,1.64335e+10,0,0,
41.1838,2.00191,22.6403,33.5693,0.0390313,0.565813,2.10765e+08,402432,4972.91,4808.16,4.35494e+09,3.05114e+06,4.35445e+08,1.62376e+10,0,0,
39.0237,1.69875,23.8229,34.8663,0.0390313,0.549281,2.1241e+08,328704,3187.78,5522.09,4.38686e+09,3.16518e+06,5.42267e+08,1.60988e+10,0,0,
37.2151,1.74994,27.1897,33.2956,0.0155937,0.534031,2.12111e+08,267520,9883.34,6414.38,4.42011e+09,3.26963e+06,6.469e+08,1.59608e+10,0,0,
33.4381,1.97047,30.1305,33.9226,0.0273438,0.511063,2.10719e+08,329728,34516.6,8354.94,4.49101e+09,3.37626e+06,7.49746e+08,1.57869e+10,0,0,
23.7299,1.96956,37.3005,36.4619,0.03125,0.506969,2.06242e+08,236288,14538.6,7315.16,4.6128e+09,3.48032e+06,8.53855e+08,1.5561e+10,0,0,
23.6287,2.18616,37.2606,36.4561,0.015625,0.45275,2.09161e+08,380928,1871.5,5617.44,4.76684e+09,3.58925e+06,9.5612e+08,1.53045e+10,0,0,
23.4262,2.16928,38.0085,35.9046,0.03125,0.460281,2.08996e+08,124928,4129.47,6003.06,4.88784e+09,3.69549e+06,1.05938e+09,1.50802e+10,0,0,
20.1834,1.67803,41.9626,35.6765,0.0273438,0.472125,2.08815e+08,75008,5727.78,3588.41,4.95947e+09,3.79968e+06,1.16268e+09,1.49051e+10,0,0,
19.645,1.68194,41.9991,36.1939,0.0234062,0.456469,2.07217e+08,49664,3197.31,2595.09,5.01528e+09,3.90298e+06,1.26529e+09,1.47466e+10,0,0,
