"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/grep_250gb-8mb-1-localhost.csv",,,,"Date:","08 Aug 2016 15:22:06 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.729,0.419,98.487,0.283,0.008,0.073,3405095.230,868415.495,0.0,0.0,2185670656.0,313659392.0,17681174528.0,850591744.0,0.0,0.082,
21.446,3.616,74.190,0.0,0.125,0.623,0.0,114688.0,101920.0,70846.0,2244759552.0,313700352.0,17682051072.0,790585344.0,0.0,0.0,
25.782,1.126,72.966,0.0,0.0,0.125,0.0,0.0,255198.0,463930.0,2332930048.0,313700352.0,17682128896.0,702337024.0,0.0,0.0,
19.351,0.624,80.025,0.0,0.0,0.0,0.0,24576.0,21245.0,9796.0,2351513600.0,313700352.0,17682132992.0,683749376.0,0.0,0.0,
27.125,0.500,72.250,0.0,0.0,0.125,0.0,32768.0,32741.0,299735.0,2398736384.0,313700352.0,17682137088.0,636522496.0,0.0,0.0,
30.087,1.248,68.290,0.125,0.0,0.250,0.0,2990080.0,20584.0,7690.0,2525962240.0,313712640.0,17682124800.0,509296640.0,0.0,0.0,
39.076,1.623,59.301,0.0,0.0,0.0,0.0,65536.0,18441.0,7359.0,2690121728.0,313720832.0,17682128896.0,345124864.0,0.0,0.0,
13.109,0.0,86.767,0.0,0.0,0.125,0.0,0.0,30647.0,12169.0,2689863680.0,313720832.0,17682128896.0,345382912.0,0.0,0.0,
12.500,0.250,87.250,0.0,0.0,0.0,0.0,32768.0,21455.0,10285.0,2690387968.0,313720832.0,17682137088.0,344850432.0,0.0,0.0,
10.723,0.374,88.653,0.125,0.0,0.125,0.0,81920.0,53808.0,4605852.0,2693746688.0,313724928.0,17682137088.0,341487616.0,0.0,0.0,
0.125,0.625,98.750,0.0,0.0,0.500,0.0,409600.0,79029.0,530505.0,2693976064.0,313737216.0,17682149376.0,341233664.0,0.0,0.0,
0.249,0.249,99.002,0.0,0.125,0.374,0.0,90112.0,467176.0,9254046.0,2694201344.0,313749504.0,17682149376.0,340996096.0,0.0,0.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,0.0,248499.0,5764286.0,2694057984.0,313749504.0,17682165760.0,341123072.0,0.0,0.0,
0.125,0.250,98.752,0.499,0.0,0.375,8192.0,0.0,206111.0,4535974.0,2693525504.0,313757696.0,17682173952.0,341639168.0,0.0,0.0,
0.125,0.250,99.126,0.375,0.0,0.125,24576.0,0.0,251343.0,4895709.0,2693771264.0,313765888.0,17682173952.0,341385216.0,0.0,0.0,
0.250,0.125,99.501,0.0,0.0,0.125,0.0,270336.0,147959.0,3193009.0,2693595136.0,313769984.0,17682173952.0,341557248.0,0.0,0.0,
0.250,0.250,99.375,0.0,0.0,0.125,0.0,114688.0,49825.0,647179.0,2693337088.0,313786368.0,17682161664.0,341811200.0,0.0,0.0,
0.874,0.125,98.752,0.0,0.0,0.250,8192.0,0.0,153331.0,3427897.0,2693083136.0,313786368.0,17682161664.0,342065152.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,16384.0,124057.0,2793591.0,2692935680.0,313786368.0,17682182144.0,342192128.0,0.0,0.0,
0.375,0.125,99.376,0.0,0.0,0.125,0.0,24576.0,117210.0,2155582.0,2692780032.0,313786368.0,17682182144.0,342347776.0,0.0,0.0,
