"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven28",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/grep-64gb-128mb-1-raven28.csv",,,,"Date:","14 Aug 2016 16:51:15 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.769,0.103,98.879,0.234,0.001,0.013,494170.101,784836.036,0.0,0.0,1028669440.0,1789952.0,55914496.0,19944710144.0,0.0,0.065,196608.0,21475966976.0,
0.125,0.125,99.625,0.125,0.0,0.0,8192.0,0.0,543.0,1276.0,1028214784.0,1794048.0,54968320.0,19946106880.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,251.0,505.0,1027919872.0,1794048.0,53780480.0,19947589632.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,99.875,0.125,0.0,0.0,8429568.0,0.0,177.0,403.0,1027641344.0,1798144.0,56954880.0,19944689664.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.125,99.751,0.0,0.0,0.0,40960.0,0.0,289.0,938.0,1027649536.0,1798144.0,56057856.0,19945578496.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,483328.0,177.0,403.0,1027411968.0,1814528.0,55017472.0,19946840064.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,177.0,403.0,1027186688.0,1814528.0,54222848.0,19947859968.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,99.251,0.749,0.0,0.0,8429568.0,0.0,289.0,938.0,1027067904.0,1818624.0,57106432.0,19945091072.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.875,0.0,0.0,0.0,40960.0,0.0,177.0,403.0,1026686976.0,1818624.0,56209408.0,19946369024.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,241.0,403.0,1026424832.0,1818624.0,55074816.0,19947765760.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,49152.0,289.0,938.0,1025822720.0,1826816.0,54272000.0,19949162496.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.125,99.501,0.250,0.0,0.0,8437760.0,24576.0,241.0,481.0,1025998848.0,1843200.0,57040896.0,19946201088.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,40960.0,0.0,177.0,403.0,1025384448.0,1843200.0,56250368.0,19947606016.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,361.0,1334.0,1025019904.0,1843200.0,55218176.0,19949002752.0,0.0,0.0,196608.0,21475966976.0,
