"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/grep-64gb-1gb-1-ravenleader.csv",,,,"Date:","14 Aug 2016 16:57:05 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.719,0.456,98.367,0.318,0.010,0.129,4294636.823,812871.164,0.0,0.0,2920964096.0,1409089536.0,11706814464.0,4994228224.0,250.340,5320.377,830578688.0,20143841280.0,
21.571,3.990,73.815,0.0,0.0,0.623,0.0,573440.0,21874.0,12557.0,2979106816.0,1409089536.0,11707731968.0,4935168000.0,0.0,0.0,830578688.0,20143841280.0,
28.125,1.375,70.500,0.0,0.0,0.0,0.0,0.0,326451.0,525388.0,3067092992.0,1409089536.0,11707740160.0,4847173632.0,0.0,0.0,830578688.0,20143841280.0,
18.102,0.749,80.899,0.125,0.0,0.125,0.0,24576.0,32016.0,16206.0,3086229504.0,1409089536.0,11707740160.0,4828037120.0,0.0,0.0,830578688.0,20143841280.0,
12.360,0.375,87.141,0.0,0.0,0.125,0.0,139264.0,20098.0,8254.0,3089907712.0,1409089536.0,11707744256.0,4824354816.0,0.0,0.0,830578688.0,20143841280.0,
5.0,0.500,94.125,0.125,0.0,0.250,0.0,2662400.0,46466.0,418089.0,3092410368.0,1409101824.0,11707752448.0,4821831680.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.624,98.876,0.0,0.0,0.375,0.0,475136.0,353722.0,5140288.0,3092017152.0,1409101824.0,11707772928.0,4822204416.0,0.0,0.0,830578688.0,20143841280.0,
0.375,0.250,99.126,0.0,0.0,0.250,0.0,0.0,341737.0,7863276.0,3091218432.0,1409101824.0,11707781120.0,4822994944.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.499,99.001,0.0,0.0,0.375,0.0,0.0,188351.0,3796689.0,3091079168.0,1409101824.0,11707785216.0,4823130112.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.250,99.375,0.0,0.0,0.250,0.0,0.0,282229.0,6288042.0,3090657280.0,1409101824.0,11707785216.0,4823552000.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.250,99.251,0.0,0.0,0.250,0.0,32768.0,216276.0,4673927.0,3090276352.0,1409105920.0,11707781120.0,4823932928.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.250,99.251,0.0,0.125,0.125,0.0,245760.0,149781.0,2996620.0,3089547264.0,1409105920.0,11707781120.0,4824662016.0,0.0,0.0,830578688.0,20143841280.0,
0.873,0.125,98.878,0.0,0.0,0.125,0.0,0.0,167235.0,3837354.0,3089481728.0,1409105920.0,11707785216.0,4824723456.0,0.0,0.0,830578688.0,20143841280.0,
0.375,0.125,99.375,0.0,0.0,0.125,0.0,49152.0,86584.0,1623013.0,3089346560.0,1409105920.0,11707785216.0,4824858624.0,0.0,0.0,830578688.0,20143841280.0,
0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,79291.0,1343925.0,3089346560.0,1409105920.0,11707785216.0,4824858624.0,0.0,0.0,830578688.0,20143841280.0,
0.624,1.498,97.129,0.125,0.0,0.624,0.0,49152.0,26408.0,44493.0,3088658432.0,1409343488.0,11707830272.0,4825264128.0,0.0,0.0,830578688.0,20143841280.0,
0.125,3.375,92.750,0.125,0.125,3.500,0.0,1843200.0,2147775.0,20718683.0,3088805888.0,1409392640.0,11707871232.0,4825026560.0,0.0,0.0,830578688.0,20143841280.0,
0.125,3.875,91.750,0.0,0.125,4.125,0.0,0.0,3338379.0,36672308.0,3088465920.0,1409396736.0,11708170240.0,4825063424.0,0.0,0.0,830578688.0,20143841280.0,
