"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/grep-64gb-256mb-1-ravenleader.csv",,,,"Date:","14 Aug 2016 16:52:35 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.719,0.456,98.367,0.318,0.010,0.129,4295020.666,812852.176,0.0,0.0,2916646912.0,1403232256.0,11627008000.0,5084209152.0,250.362,5320.853,830582784.0,20143837184.0,
21.820,3.865,73.815,0.0,0.0,0.499,0.0,0.0,116101.0,98876.0,2979229696.0,1403232256.0,11627843584.0,5020790784.0,0.0,0.0,830582784.0,20143837184.0,
26.909,1.126,71.965,0.0,0.0,0.0,0.0,0.0,245068.0,446294.0,3065208832.0,1403232256.0,11627937792.0,4934717440.0,0.0,0.0,830582784.0,20143837184.0,
18.976,0.749,80.275,0.0,0.0,0.0,0.0,40960.0,22442.0,8896.0,3084812288.0,1403232256.0,11627937792.0,4915113984.0,0.0,0.0,830582784.0,20143837184.0,
12.843,0.374,86.658,0.0,0.0,0.125,0.0,122880.0,28688.0,300588.0,3086589952.0,1403232256.0,11627941888.0,4913332224.0,0.0,0.0,830582784.0,20143837184.0,
4.875,0.375,94.375,0.125,0.0,0.250,0.0,4399104.0,52439.0,163098.0,3089653760.0,1403244544.0,11627945984.0,4910252032.0,0.0,0.0,830582784.0,20143837184.0,
0.125,0.375,99.126,0.0,0.125,0.250,0.0,0.0,447263.0,7981603.0,3089502208.0,1403244544.0,11627954176.0,4910395392.0,0.0,0.0,830582784.0,20143837184.0,
0.125,0.250,99.375,0.0,0.0,0.250,0.0,0.0,291987.0,6915398.0,3089346560.0,1403244544.0,11627982848.0,4910522368.0,0.0,0.0,830582784.0,20143837184.0,
0.125,0.250,99.375,0.0,0.0,0.250,0.0,0.0,158092.0,3042461.0,3088941056.0,1403244544.0,11627982848.0,4910927872.0,0.0,0.0,830582784.0,20143837184.0,
0.250,0.125,99.376,0.0,0.0,0.250,0.0,0.0,287201.0,6304633.0,3089092608.0,1403244544.0,11627986944.0,4910772224.0,0.0,0.0,830582784.0,20143837184.0,
0.375,0.375,99.001,0.125,0.0,0.125,0.0,2318336.0,187015.0,3979412.0,3089948672.0,1403248640.0,11627982848.0,4909916160.0,0.0,0.0,830582784.0,20143837184.0,
0.250,0.125,99.376,0.0,0.125,0.125,0.0,32768.0,190683.0,3787144.0,3089813504.0,1403248640.0,11627991040.0,4910043136.0,0.0,0.0,830582784.0,20143837184.0,
0.749,0.125,99.001,0.0,0.0,0.125,0.0,0.0,134402.0,2829982.0,3089096704.0,1403248640.0,11627991040.0,4910759936.0,0.0,0.0,830582784.0,20143837184.0,
0.499,0.125,99.251,0.0,0.0,0.125,0.0,57344.0,111867.0,2213203.0,3088920576.0,1403248640.0,11628003328.0,4910923776.0,0.0,0.0,830582784.0,20143837184.0,
1.125,0.250,98.500,0.0,0.0,0.125,0.0,0.0,65609.0,457247.0,3088515072.0,1403248640.0,11628408832.0,4910923776.0,0.0,0.0,830582784.0,20143837184.0,
