"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/grep_250gb-128mb-1-localhost.csv",,,,"Date:","08 Aug 2016 16:14:42 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.730,0.422,98.482,0.283,0.009,0.075,3400780.399,876649.424,0.0,0.0,2790842368.0,627687424.0,15689097216.0,1923469312.0,0.0,0.082,
20.474,3.745,74.906,0.125,0.125,0.624,0.0,2277376.0,325014.0,520325.0,2848755712.0,627695616.0,15690022912.0,1864622080.0,0.0,0.0,
26.717,1.373,71.910,0.0,0.0,0.0,0.0,0.0,30604.0,13969.0,2940276736.0,627695616.0,15690051584.0,1773072384.0,0.0,0.0,
18.0,0.750,81.125,0.0,0.0,0.125,0.0,16384.0,21013.0,8340.0,2961383424.0,627695616.0,15690055680.0,1751961600.0,0.0,0.0,
21.223,0.499,78.152,0.125,0.0,0.0,0.0,73728.0,31457.0,298888.0,2974126080.0,627695616.0,15690059776.0,1739214848.0,0.0,0.0,
10.0,0.500,87.125,2.125,0.0,0.250,0.0,25763840.0,47881.0,411600.0,2976624640.0,627707904.0,15690047488.0,1736716288.0,0.0,0.0,
1.001,0.626,97.747,0.125,0.0,0.501,0.0,778240.0,399780.0,6419014.0,2975457280.0,627720192.0,15690067968.0,1737850880.0,0.0,0.0,
0.250,0.250,99.126,0.0,0.0,0.375,0.0,0.0,321325.0,7609944.0,2975027200.0,627720192.0,15690084352.0,1738264576.0,0.0,0.0,
0.250,0.125,99.376,0.0,0.0,0.250,0.0,0.0,151547.0,3089664.0,2974642176.0,627720192.0,15690088448.0,1738645504.0,0.0,0.0,
0.125,0.375,99.001,0.0,0.125,0.375,0.0,0.0,279361.0,6180722.0,2974072832.0,627720192.0,15690092544.0,1739210752.0,0.0,0.0,
0.125,0.374,99.128,0.125,0.0,0.249,0.0,65536.0,205851.0,4363206.0,2974072832.0,627728384.0,15690084352.0,1739210752.0,0.0,0.0,
0.250,0.125,99.500,0.0,0.0,0.125,0.0,278528.0,87476.0,1639567.0,2973634560.0,627728384.0,15690084352.0,1739649024.0,0.0,0.0,
0.250,0.125,99.501,0.0,0.0,0.125,0.0,0.0,149403.0,3369288.0,2973499392.0,627728384.0,15690092544.0,1739776000.0,0.0,0.0,
0.749,0.125,98.876,0.0,0.0,0.250,0.0,0.0,111169.0,2299290.0,2973085696.0,627728384.0,15690092544.0,1740189696.0,0.0,0.0,
0.250,0.250,99.500,0.0,0.0,0.0,0.0,49152.0,107054.0,1960023.0,2973085696.0,627728384.0,15690092544.0,1740189696.0,0.0,0.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,49152.0,44314.0,402538.0,2972753920.0,627736576.0,15690084352.0,1740521472.0,0.0,0.0,
