"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven16",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/grep_250gb-1gb-l-raven16.csv",,,,"Date:","08 Aug 2016 16:24:24 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.392,0.097,99.385,0.117,0.002,0.008,177123.797,295891.136,0.0,0.0,982528000.0,1748992.0,57376768.0,19989430272.0,0.0,0.079,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,188416.0,431.0,654.0,982650880.0,1761280.0,56279040.0,19990392832.0,0.0,0.0,
0.0,0.250,99.501,0.125,0.0,0.125,4218880.0,0.0,294590.0,298200.0,982081536.0,1773568.0,57643008.0,19989585920.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,109028.0,293106.0,982097920.0,1777664.0,56741888.0,19990466560.0,0.0,0.0,
0.0,0.125,99.750,0.125,0.0,0.0,8192.0,368640.0,1279.0,104223.0,981778432.0,1789952.0,55644160.0,19991871488.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1615.0,1011.0,981532672.0,1789952.0,54747136.0,19993014272.0,0.0,0.0,
0.125,0.0,98.752,1.124,0.0,0.0,8503296.0,917504.0,753.0,398.0,981417984.0,1806336.0,57769984.0,19990089728.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2865.0,398.0,981291008.0,1806336.0,56872960.0,19991113728.0,0.0,0.0,
0.125,0.125,99.751,0.0,0.0,0.0,4259840.0,0.0,2289.0,1105.0,981102592.0,1818624.0,57868288.0,19990294528.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1591.0,468.0,980750336.0,1818624.0,57073664.0,19991441408.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,4194304.0,0.0,1393.0,462.0,980701184.0,1818624.0,57868288.0,19990695936.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,40960.0,6305.0,933.0,980709376.0,1826816.0,56963072.0,19991584768.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,3569.0,398.0,980582400.0,1826816.0,55812096.0,19992862720.0,0.0,0.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,24576.0,497.0,398.0,980463616.0,1835008.0,54906880.0,19993878528.0,0.0,0.0,
