"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven20",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/grep_250gb-32mb-1-raven20.csv",,,,"Date:","08 Aug 2016 16:01:03 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.340,0.073,99.404,0.176,0.001,0.006,154959.333,280504.273,0.0,0.0,923049984.0,1785856.0,54693888.0,20051554304.0,0.0,0.079,
0.125,0.125,99.626,0.125,0.0,0.0,8192.0,0.0,431.0,732.0,922685440.0,1789952.0,53899264.0,20052709376.0,0.0,0.0,
0.0,0.0,99.250,0.750,0.0,0.0,8462336.0,106496.0,289.0,933.0,922525696.0,1818624.0,56745984.0,20049993728.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,40960.0,0.0,177.0,398.0,922005504.0,1818624.0,55984128.0,20051275776.0,0.0,0.0,
0.0,0.125,99.625,0.250,0.0,0.0,32768.0,0.0,889345.0,889996.0,922112000.0,1839104.0,55603200.0,20051529728.0,0.0,0.0,
0.125,0.125,99.626,0.125,0.0,0.0,0.0,393216.0,289.0,933.0,921411584.0,1847296.0,54898688.0,20052926464.0,0.0,0.0,
0.0,0.0,99.375,0.625,0.0,0.0,8437760.0,0.0,249.0,793.0,921227264.0,1855488.0,57790464.0,20050210816.0,0.0,0.0,
0.125,0.0,99.750,0.125,0.0,0.0,40960.0,1851392.0,177.0,398.0,920727552.0,1863680.0,56901632.0,20051591168.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,289.0,933.0,920866816.0,1863680.0,55746560.0,20052606976.0,0.0,0.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,177.0,398.0,920104960.0,1863680.0,54984704.0,20054130688.0,0.0,0.0,
0.125,0.0,98.878,0.873,0.0,0.125,8429568.0,0.0,177.0,398.0,919969792.0,1867776.0,57761792.0,20051484672.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,40960.0,0.0,353.0,1011.0,919183360.0,1867776.0,57122816.0,20052910080.0,0.0,0.0,
0.125,0.125,99.751,0.0,0.0,0.0,0.0,57344.0,177.0,398.0,919343104.0,1875968.0,55922688.0,20053942272.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,177.0,398.0,918032384.0,1875968.0,55025664.0,20056150016.0,0.0,0.0,
0.125,0.0,99.001,0.874,0.0,0.0,8429568.0,0.0,289.0,933.0,918388736.0,1880064.0,57802752.0,20053012480.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,40960.0,0.0,177.0,398.0,917266432.0,1880064.0,57159680.0,20054777856.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,32768.0,177.0,398.0,917442560.0,1888256.0,55959552.0,20055793664.0,0.0,0.0,
0.125,0.125,99.751,0.0,0.0,0.0,0.0,57344.0,289.0,933.0,916824064.0,1896448.0,55062528.0,20057300992.0,0.0,0.0,
1.377,0.751,94.493,3.254,0.0,0.125,8929280.0,0.0,48979.0,56164.0,917573632.0,2015232.0,58126336.0,20053368832.0,0.0,0.0,
14.482,12.360,61.548,11.361,0.0,0.250,991232.0,0.0,4447766.0,320681.0,988409856.0,2215936.0,62222336.0,19978235904.0,0.0,0.0,
19.825,31.172,47.631,0.873,0.0,0.499,0.0,0.0,1148933.0,240731.0,1055465472.0,2215936.0,62304256.0,19911098368.0,0.0,0.0,
40.0,3.250,37.500,18.875,0.0,0.375,688128.0,0.0,3449617.0,327704.0,1185939456.0,2555904.0,63754240.0,19778834432.0,0.0,0.0,
94.455,3.307,1.070,0.973,0.0,0.195,8445952.0,49152.0,2354645.0,99574.0,1466994688.0,2576384.0,70049792.0,19491463168.0,0.0,0.0,
94.403,4.229,0.622,0.373,0.124,0.249,57344.0,3088384.0,1057253.0,48761.0,1682132992.0,2592768.0,70856704.0,19275501568.0,0.0,0.0,
63.920,4.245,10.737,20.724,0.0,0.375,0.0,0.0,3854113.0,173812.0,1872138240.0,2592768.0,72986624.0,19083366400.0,0.0,0.0,
83.070,2.822,3.047,10.835,0.0,0.226,57344.0,0.0,4191635.0,189232.0,2060730368.0,2600960.0,74850304.0,18892902400.0,0.0,0.0,
98.406,1.417,0.089,0.0,0.0,0.089,8470528.0,57344.0,1184681.0,173291.0,2152734720.0,2625536.0,80855040.0,18794868736.0,0.0,0.0,
87.015,3.519,0.971,8.131,0.0,0.364,0.0,0.0,1596169.0,67916.0,2254729216.0,2646016.0,82132992.0,18691575808.0,0.0,0.0,
71.108,8.468,11.083,8.842,0.125,0.374,7143424.0,3792896.0,3591881.0,1009418.0,2793062400.0,2740224.0,112521216.0,18122760192.0,0.0,0.0,
55.306,7.491,13.109,23.596,0.0,0.499,166985728.0,0.0,1505618.0,2010465.0,3915743232.0,2895872.0,192471040.0,16919973888.0,0.0,0.0,
41.0,3.875,19.875,34.750,0.0,0.500,171261952.0,0.0,56364.0,2528.0,4396969984.0,2994176.0,277426176.0,16353693696.0,0.0,0.0,
30.375,1.250,30.625,37.375,0.0,0.375,172113920.0,0.0,12489.0,576060.0,4397993984.0,3080192.0,348164096.0,16281845760.0,0.0,0.0,
35.331,4.245,53.059,6.866,0.125,0.375,85106688.0,81920.0,473505.0,689260.0,1899368448.0,3149824.0,379224064.0,18749341696.0,0.0,0.0,
1.124,0.874,97.503,0.499,0.0,0.0,1196032.0,974848.0,777136.0,309485.0,932245504.0,3166208.0,382234624.0,19713437696.0,0.0,0.0,
10.250,1.750,87.500,0.375,0.0,0.125,7274496.0,0.0,4751.0,21848.0,982507520.0,3203072.0,380968960.0,19664404480.0,0.0,0.0,
