"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven30",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /home/wb/hadoop/eval/dstat/grep_64gb_2gb-raven30.csv",,,,"Date:","04 Aug 2016 17:08:58 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.038,0.034,99.850,0.073,0.001,0.003,56732.858,69639.071,0.0,0.0,626978816.0,1675264.0,52883456.0,20349546496.0,0.0,0.065,
0.0,0.0,99.750,0.250,0.0,0.0,4227072.0,0.0,5433.0,4217.0,627011584.0,1683456.0,54169600.0,20348219392.0,0.0,0.0,
0.625,0.250,97.875,1.250,0.0,0.0,139264.0,24576.0,64.0,78.0,627306496.0,1753088.0,53305344.0,20348719104.0,0.0,0.0,
0.125,0.125,99.626,0.0,0.125,0.0,4218880.0,0.0,296479.0,296437.0,626946048.0,1757184.0,54276096.0,20348104704.0,0.0,0.0,
0.0,0.0,99.374,0.626,0.0,0.0,65536.0,0.0,3376.0,4069.0,626868224.0,1785856.0,54325248.0,20348104704.0,0.0,0.0,
0.125,0.125,99.751,0.0,0.0,0.0,262144.0,393216.0,377.0,498.0,626692096.0,1794048.0,53645312.0,20348952576.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,4210688.0,0.0,175.0,396.0,626810880.0,1794048.0,54472704.0,20348006400.0,0.0,0.0,
0.125,0.0,99.750,0.0,0.0,0.125,16384.0,729088.0,415.0,931.0,626323456.0,1802240.0,53784576.0,20349173760.0,0.0,0.0,
0.0,0.0,99.875,0.125,0.0,0.0,4218880.0,0.0,239.0,474.0,626630656.0,1806336.0,54546432.0,20348100608.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,16384.0,0.0,175.0,396.0,626216960.0,1806336.0,53809152.0,20349251584.0,0.0,0.0,
0.0,0.125,99.875,0.0,0.0,0.0,4210688.0,0.0,351.0,931.0,626462720.0,1806336.0,54509568.0,20348305408.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,16384.0,0.0,175.0,396.0,626073600.0,1806336.0,53825536.0,20349378560.0,0.0,0.0,
0.125,0.0,99.750,0.125,0.0,0.0,4218880.0,49152.0,869.0,2043.0,626524160.0,1826816.0,54554624.0,20348178432.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,16384.0,0.0,287.0,931.0,626184192.0,1826816.0,53878784.0,20349194240.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,4210688.0,0.0,239.0,396.0,626356224.0,1826816.0,54579200.0,20348321792.0,0.0,0.0,
0.0,0.125,99.875,0.0,0.0,0.0,16384.0,0.0,507.0,466.0,625934336.0,1826816.0,53899264.0,20349423616.0,0.0,0.0,
0.125,0.0,99.750,0.125,0.0,0.0,4218880.0,0.0,287.0,931.0,626307072.0,1830912.0,54595584.0,20348350464.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,16384.0,24576.0,239.0,396.0,625971200.0,1839104.0,53907456.0,20349366272.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,4210688.0,0.0,303.0,474.0,626204672.0,1839104.0,54616064.0,20348424192.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,16384.0,0.0,351.0,931.0,625930240.0,1839104.0,53932032.0,20349382656.0,0.0,0.0,
0.0,0.0,99.875,0.125,0.0,0.0,4218880.0,0.0,367.0,396.0,626302976.0,1843200.0,54628352.0,20348309504.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,229376.0,0.0,175.0,396.0,626208768.0,1843200.0,53948416.0,20349083648.0,0.0,0.0,
0.125,0.125,99.751,0.0,0.0,0.0,4194304.0,49152.0,287.0,931.0,626233344.0,1859584.0,54747136.0,20348243968.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,175.0,396.0,625893376.0,1859584.0,54071296.0,20349259776.0,0.0,0.0,
0.0,0.125,99.875,0.0,0.0,0.0,4202496.0,0.0,495.0,396.0,626282496.0,1863680.0,54751232.0,20348186624.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,681.0,1033.0,625946624.0,1863680.0,54071296.0,20349202432.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,4194304.0,0.0,303.0,396.0,626208768.0,1863680.0,54755328.0,20348256256.0,0.0,0.0,
3.745,0.250,94.132,1.623,0.0,0.250,0.0,24576.0,623.0,396.0,628391936.0,1871872.0,56250368.0,20344569856.0,0.0,0.0,
