"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven30",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /home/wb/hadoop/eval/dstat/grep_64gb_4mb-raven30.csv",,,,"Date:","04 Aug 2016 18:01:26 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.039,0.034,99.850,0.073,0.001,0.003,56998.618,69571.243,0.0,0.0,639979520.0,1617920.0,49737728.0,20339748864.0,0.0,0.065,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,2635.0,2361.0,639881216.0,1617920.0,49836032.0,20339748864.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,175.0,395.0,639840256.0,1617920.0,49876992.0,20339748864.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,287.0,930.0,639627264.0,1617920.0,49876992.0,20339961856.0,0.0,0.0,
0.0,0.0,99.750,0.250,0.0,0.0,40960.0,0.0,175.0,395.0,639148032.0,1638400.0,49856512.0,20340441088.0,0.0,0.0,
0.125,0.0,99.750,0.125,0.0,0.0,8192.0,450560.0,879.0,395.0,639086592.0,1650688.0,49905664.0,20340441088.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,415.0,930.0,638951424.0,1650688.0,49905664.0,20340576256.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,175.0,395.0,638828544.0,1650688.0,49905664.0,20340699136.0,0.0,0.0,
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,239.0,473.0,638443520.0,1650688.0,49909760.0,20341080064.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,351.0,930.0,638443520.0,1650688.0,49909760.0,20341080064.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,175.0,395.0,638300160.0,1650688.0,49909760.0,20341223424.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,32768.0,175.0,395.0,638296064.0,1658880.0,49905664.0,20341223424.0,0.0,0.0,
