"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven30",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/sort-250gb-16mb-1-raven30.csv",,,,"Date:","10 Aug 2016 13:35:11 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.726,0.110,98.935,0.216,0.002,0.011,400769.763,634260.162,0.0,0.0,1006968832.0,4632576.0,53760000.0,19965722624.0,0.0,0.074,
0.250,0.375,87.234,12.140,0.0,0.0,5799936.0,0.0,367.0,654.0,1005842432.0,5435392.0,57135104.0,19962671104.0,0.0,0.0,
0.125,0.374,87.173,12.204,0.125,0.0,1531904.0,7413760.0,2555597.0,1988634.0,1005637632.0,6213632.0,56045568.0,19963187200.0,0.0,0.0,
0.125,0.250,87.391,12.110,0.0,0.125,5685248.0,0.0,427.0,1113.0,1004847104.0,6950912.0,57368576.0,19961917440.0,0.0,0.0,
0.0,0.125,87.625,12.250,0.0,0.0,1531904.0,0.0,9906.0,1962791.0,1004716032.0,7708672.0,56221696.0,19962437632.0,0.0,0.0,
0.125,0.374,87.282,12.219,0.0,0.0,5758976.0,0.0,177.0,398.0,1004826624.0,8482816.0,57143296.0,19960631296.0,0.0,0.0,
0.0,0.250,87.610,12.140,0.0,0.0,1392640.0,0.0,289.0,933.0,1004507136.0,9170944.0,56266752.0,19961139200.0,0.0,0.0,
0.125,0.250,87.391,12.235,0.0,0.0,5873664.0,2818048.0,177.0,398.0,1003773952.0,9900032.0,57331712.0,19960078336.0,0.0,0.0,
0.0,0.250,87.516,12.235,0.0,0.0,1458176.0,0.0,317.0,468.0,1002672128.0,10620928.0,56434688.0,19961356288.0,0.0,0.0,
0.125,0.250,87.391,12.110,0.0,0.125,5701632.0,0.0,289.0,933.0,1002696704.0,11366400.0,57593856.0,19959427072.0,0.0,0.0,
0.125,0.375,87.391,12.110,0.0,0.0,1540096.0,0.0,177.0,398.0,1002975232.0,12128256.0,56487936.0,19959492608.0,0.0,0.0,
0.125,0.250,87.500,12.125,0.0,0.0,5775360.0,0.0,177.0,398.0,1002721280.0,12914688.0,57499648.0,19957948416.0,0.0,0.0,
0.0,0.750,87.500,11.750,0.0,0.0,2179072.0,40960.0,289.0,933.0,1002299392.0,14000128.0,56492032.0,19958292480.0,0.0,0.0,
0.125,0.250,87.391,12.235,0.0,0.0,5808128.0,2768896.0,241.0,476.0,1002549248.0,14811136.0,57376768.0,19956346880.0,0.0,0.0,
0.0,0.375,87.391,12.235,0.0,0.0,1490944.0,0.0,177.0,398.0,1001705472.0,15548416.0,57610240.0,19956219904.0,0.0,0.0,
0.125,0.250,87.500,12.125,0.0,0.0,1433600.0,0.0,289.0,933.0,1001467904.0,16261120.0,56598528.0,19956756480.0,0.0,0.0,
0.125,0.374,87.406,12.095,0.0,0.0,5685248.0,0.0,241.0,398.0,1001263104.0,16998400.0,57638912.0,19955183616.0,0.0,0.0,
0.0,0.250,87.500,12.250,0.0,0.0,1556480.0,40960.0,177.0,398.0,1001406464.0,17776640.0,56672256.0,19955228672.0,0.0,0.0,
7.750,3.250,73.0,15.875,0.0,0.125,5849088.0,2818048.0,289.0,933.0,1007333376.0,18386944.0,59236352.0,19946127360.0,0.0,0.0,
9.125,14.625,33.0,43.0,0.0,0.250,1695744.0,0.0,962285.0,173870.0,1069895680.0,19021824.0,61837312.0,19880329216.0,0.0,0.0,
34.913,25.935,31.047,7.357,0.125,0.623,5660672.0,0.0,3538841.0,197226.0,1202962432.0,19750912.0,66068480.0,19742302208.0,0.0,0.0,
2.497,0.874,77.029,19.600,0.0,0.0,1171456.0,0.0,3408931.0,456051.0,1212125184.0,20320256.0,65155072.0,19733483520.0,0.0,0.0,
88.272,4.691,1.975,4.568,0.123,0.370,5390336.0,1417216.0,3501306.0,184408.0,1448480768.0,20918272.0,69332992.0,19492352000.0,0.0,0.0,
96.531,2.551,0.510,0.306,0.0,0.102,761856.0,5611520.0,1103309.0,48667.0,1677221888.0,21299200.0,69398528.0,19263164416.0,0.0,0.0,
