"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/sort-250gb-16mb-1-ravenleader.csv",,,,"Date:","10 Aug 2016 13:33:39 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.764,0.478,98.286,0.346,0.010,0.117,4829762.413,862164.565,0.0,0.0,4252798976.0,1933000704.0,13712461824.0,1132834816.0,0.0,0.077,
18.579,1.247,80.175,0.0,0.0,0.0,0.0,0.0,18742.0,11886.0,4313563136.0,1933000704.0,13713076224.0,1071456256.0,0.0,0.0,
29.676,3.741,66.085,0.0,0.0,0.499,0.0,0.0,167047.0,177288.0,4406288384.0,1933000704.0,13713408000.0,978399232.0,0.0,0.0,
25.968,1.124,72.659,0.125,0.0,0.125,0.0,352256.0,177972.0,315264.0,4423442432.0,1933008896.0,13713399808.0,961245184.0,0.0,0.0,
29.713,0.999,68.664,0.0,0.0,0.624,0.0,16384.0,714703.0,50520.0,4444774400.0,1933008896.0,13713408000.0,939905024.0,0.0,0.0,
10.474,0.499,89.027,0.0,0.0,0.0,0.0,2662400.0,13213882.0,129264.0,4448571392.0,1933012992.0,13713408000.0,936103936.0,0.0,0.0,
16.896,0.626,82.353,0.0,0.0,0.125,0.0,122880.0,38246.0,310942.0,4481212416.0,1933012992.0,13713424384.0,903446528.0,0.0,0.0,
10.362,0.624,88.889,0.0,0.0,0.125,0.0,40960.0,54744.0,2651917.0,4519927808.0,1933012992.0,13713428480.0,864727040.0,0.0,0.0,
0.249,0.249,99.127,0.0,0.125,0.249,0.0,368640.0,78672.0,433767.0,4519718912.0,1933012992.0,13713453056.0,864911360.0,0.0,0.0,
0.125,0.250,99.501,0.0,0.0,0.125,0.0,0.0,373236.0,6874072.0,4519587840.0,1933012992.0,13713457152.0,865038336.0,0.0,0.0,
0.125,0.250,99.501,0.0,0.0,0.125,0.0,73728.0,100610.0,1949086.0,4519526400.0,1933017088.0,13713457152.0,865095680.0,0.0,0.0,
