"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven08",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/sort-250gb-1gb-1-raven08.csv",,,,"Date:","10 Aug 2016 15:20:11 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
1.416,0.242,98.098,0.218,0.002,0.023,860688.949,971303.783,0.0,0.0,893067264.0,7868416.0,41345024.0,20088803328.0,2478.958,4382.604,
0.125,0.500,87.500,11.750,0.0,0.125,1466368.0,0.0,1556.0,1188.0,892211200.0,8597504.0,41279488.0,20088995840.0,0.0,0.0,
0.0,0.499,87.391,11.860,0.0,0.250,10354688.0,1032192.0,727.0,796.0,892284928.0,9555968.0,44294144.0,20084948992.0,0.0,0.0,
0.125,0.375,87.266,11.985,0.0,0.250,1409024.0,417792.0,3849.0,754.0,891670528.0,10268672.0,43417600.0,20085727232.0,0.0,0.0,
0.0,0.375,87.516,11.860,0.0,0.250,1359872.0,0.0,1655.0,718.0,891686912.0,10948608.0,42340352.0,20086108160.0,0.0,0.0,
0.0,0.375,87.500,12.0,0.0,0.125,1302528.0,0.0,1279.0,244.0,891715584.0,11599872.0,41328640.0,20086439936.0,0.0,0.0,
0.125,0.375,87.391,11.860,0.0,0.250,9805824.0,0.0,1040.0,932.0,891658240.0,12271616.0,44630016.0,20082524160.0,0.0,0.0,
0.0,0.250,87.735,11.765,0.0,0.250,1204224.0,966656.0,2726.0,462.0,891465728.0,12886016.0,43446272.0,20083286016.0,0.0,0.0,
0.125,0.374,87.173,12.080,0.0,0.249,1302528.0,57344.0,1318.0,398.0,891482112.0,13545472.0,42389504.0,20083666944.0,0.0,0.0,
0.125,0.375,87.266,12.110,0.0,0.125,1335296.0,0.0,3856.0,932.0,891342848.0,14213120.0,41365504.0,20084162560.0,0.0,0.0,
0.749,0.999,84.145,13.733,0.125,0.250,9887744.0,0.0,75102.0,480492.0,892608512.0,14786560.0,44765184.0,20078923776.0,0.0,0.0,
