"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/sort-250gb-1gb-1-ravenleader.csv",,,,"Date:","10 Aug 2016 15:20:02 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.764,0.479,98.285,0.345,0.010,0.118,4818173.589,865537.493,0.0,0.0,4304293888.0,1318604800.0,15173165056.0,235032576.0,0.0,0.077,
18.477,1.873,79.401,0.0,0.0,0.250,0.0,24576.0,107153.0,121578.0,4365434880.0,1318604800.0,15174037504.0,173019136.0,0.0,0.0,
26.841,1.873,71.161,0.0,0.0,0.125,0.0,0.0,119775.0,47600.0,4454154240.0,1318604800.0,15174197248.0,84140032.0,0.0,0.0,
28.786,1.752,68.836,0.0,0.0,0.626,0.0,8192.0,113213.0,148996.0,4476661760.0,1318604800.0,15174197248.0,61632512.0,0.0,0.0,
7.116,0.999,91.511,0.0,0.0,0.375,0.0,671744.0,14271702.0,336355.0,4479971328.0,1318604800.0,15174254592.0,58265600.0,0.0,0.0,
15.231,0.624,83.895,0.125,0.0,0.125,0.0,2744320.0,68733.0,84197.0,4483526656.0,1318617088.0,15174242304.0,54710272.0,0.0,0.0,
7.491,0.375,92.010,0.0,0.0,0.125,0.0,172032.0,49276.0,343606.0,4483903488.0,1318617088.0,15174250496.0,54325248.0,0.0,0.0,
2.625,0.375,97.0,0.0,0.0,0.0,0.0,0.0,90030.0,168937.0,4482957312.0,1318617088.0,15174283264.0,55238656.0,0.0,0.0,
0.250,0.250,99.251,0.0,0.0,0.250,0.0,0.0,81556.0,138037.0,4482260992.0,1318617088.0,15174352896.0,55865344.0,0.0,0.0,
0.125,0.375,99.126,0.0,0.0,0.375,0.0,270336.0,442008.0,7206880.0,4481904640.0,1318617088.0,15174352896.0,56221696.0,0.0,0.0,
0.125,0.250,99.251,0.0,0.125,0.250,0.0,434176.0,298870.0,6917228.0,4481413120.0,1318629376.0,15174344704.0,56709120.0,0.0,0.0,
0.125,0.250,99.250,0.0,0.0,0.375,0.0,65536.0,152351.0,3101656.0,4481527808.0,1318633472.0,15174352896.0,56582144.0,0.0,0.0,
0.250,0.250,99.250,0.0,0.0,0.250,0.0,0.0,297419.0,6609479.0,4480831488.0,1318633472.0,15174352896.0,57278464.0,0.0,0.0,
0.624,0.125,99.126,0.0,0.0,0.125,0.0,0.0,198716.0,4163254.0,4480581632.0,1318633472.0,15174356992.0,57524224.0,0.0,0.0,
0.750,0.250,98.875,0.0,0.0,0.125,0.0,0.0,166661.0,3815164.0,4480172032.0,1318633472.0,15174356992.0,57933824.0,0.0,0.0,
0.125,0.125,99.501,0.125,0.0,0.125,0.0,212992.0,136693.0,2804008.0,4480172032.0,1318641664.0,15174348800.0,57933824.0,0.0,0.0,
0.375,0.250,99.251,0.0,0.0,0.125,0.0,49152.0,116763.0,2294468.0,4479901696.0,1318641664.0,15174352896.0,58200064.0,0.0,0.0,
0.999,0.125,98.752,0.0,0.0,0.125,0.0,24576.0,43380.0,387012.0,4479700992.0,1318645760.0,15174660096.0,58089472.0,0.0,0.0,
1.248,0.499,98.002,0.0,0.0,0.250,0.0,0.0,34767.0,239873.0,4480237568.0,1318645760.0,15174852608.0,57360384.0,0.0,0.0,
0.750,7.750,83.750,0.0,0.250,7.500,8192.0,0.0,3950187.0,20462541.0,4483932160.0,1319612416.0,15175241728.0,52310016.0,0.0,0.0,
0.375,6.383,84.981,0.125,0.250,7.885,0.0,6307840.0,8038386.0,104518864.0,4482424832.0,1319739392.0,15175905280.0,53026816.0,0.0,0.0,
0.125,10.362,73.408,0.0,0.499,15.605,0.0,1409024.0,9514243.0,61557670.0,4482805760.0,1319755776.0,15176032256.0,52502528.0,0.0,0.0,
0.125,3.625,91.0,0.0,0.125,5.125,0.0,0.0,9200380.0,113347046.0,4482355200.0,1319776256.0,15176036352.0,52928512.0,0.0,0.0,
0.249,2.244,94.015,0.0,0.125,3.367,0.0,24576.0,2678286.0,58433063.0,4482228224.0,1319780352.0,15176040448.0,53047296.0,0.0,0.0,
0.125,3.995,89.763,0.0,0.250,5.868,0.0,0.0,3219918.0,72250701.0,4482019328.0,1319780352.0,15176044544.0,53252096.0,0.0,0.0,
0.250,4.375,88.500,0.125,0.250,6.500,0.0,5111808.0,5176063.0,112761677.0,4482228224.0,1319809024.0,15176028160.0,53030912.0,0.0,0.0,
0.125,2.0,95.0,0.0,0.125,2.750,0.0,3940352.0,4127563.0,91118822.0,4482093056.0,1319809024.0,15176048640.0,53145600.0,0.0,0.0,
0.250,2.497,93.134,0.0,0.250,3.870,0.0,0.0,2041960.0,44629747.0,4482166784.0,1319809024.0,15176110080.0,53010432.0,0.0,0.0,
0.499,3.620,90.387,0.0,0.250,5.243,0.0,0.0,4255966.0,92049592.0,4482211840.0,1319809024.0,15176380416.0,52695040.0,0.0,0.0,
1.496,2.120,94.140,0.0,0.125,2.120,0.0,81920.0,3793987.0,68100906.0,4482293760.0,1319813120.0,15176835072.0,52154368.0,0.0,0.0,
0.375,0.500,98.625,0.125,0.0,0.375,0.0,3555328.0,1281258.0,19493872.0,4482437120.0,1319829504.0,15177338880.0,51490816.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,73728.0,334280.0,1199261.0,4482379776.0,1319829504.0,15177523200.0,51363840.0,0.0,0.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,275194.0,103754.0,4481720320.0,1319829504.0,15177928704.0,51617792.0,0.0,0.0,
0.125,0.125,99.626,0.0,0.0,0.125,0.0,0.0,240059.0,95775.0,4481757184.0,1319829504.0,15177945088.0,51564544.0,0.0,0.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,0.0,116222.0,420543.0,4481531904.0,1319829504.0,15178170368.0,51564544.0,0.0,0.0,
0.125,0.125,99.625,0.125,0.0,0.0,0.0,2711552.0,284844.0,1115525.0,4481720320.0,1319841792.0,15178215424.0,51318784.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,40960.0,227446.0,273413.0,4481064960.0,1319841792.0,15178485760.0,51703808.0,0.0,0.0,
0.125,0.125,99.501,0.0,0.125,0.125,0.0,0.0,83604.0,22396.0,4480921600.0,1319841792.0,15178502144.0,51830784.0,0.0,0.0,
0.375,0.125,99.501,0.0,0.0,0.0,0.0,0.0,138410.0,29365.0,4480679936.0,1319841792.0,15178608640.0,51965952.0,0.0,0.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,45209.0,16093.0,4480544768.0,1319841792.0,15178616832.0,52092928.0,0.0,0.0,
0.125,0.125,99.501,0.125,0.0,0.125,0.0,860160.0,57024.0,22413.0,4480139264.0,1319849984.0,15178608640.0,52498432.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,2211840.0,1156423.0,44373.0,4480114688.0,1319862272.0,15179501568.0,51617792.0,0.0,0.0,
0.125,0.0,99.750,0.0,0.0,0.125,0.0,0.0,38248.0,12223.0,4479803392.0,1319862272.0,15179669504.0,51761152.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,41209.0,16107.0,4479795200.0,1319862272.0,15179677696.0,51761152.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,41985.0,17827.0,4479279104.0,1319862272.0,15179677696.0,52277248.0,0.0,0.0,
0.249,0.125,99.626,0.0,0.0,0.0,0.0,98304.0,48088.0,18909.0,4479475712.0,1319874560.0,15179665408.0,52080640.0,0.0,0.0,
0.125,0.0,99.750,0.0,0.0,0.125,0.0,49152.0,44497.0,16108.0,4479254528.0,1319878656.0,15179665408.0,52297728.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,35500.0,12789.0,4479229952.0,1319878656.0,15179681792.0,52305920.0,0.0,0.0,
0.375,0.0,99.501,0.0,0.125,0.0,0.0,0.0,35503.0,10347.0,4479164416.0,1319878656.0,15179681792.0,52371456.0,0.0,0.0,
0.125,0.0,99.750,0.0,0.0,0.125,0.0,0.0,37692.0,63627.0,4478910464.0,1319878656.0,15179681792.0,52625408.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,106496.0,28784.0,8481.0,4478869504.0,1319890944.0,15179669504.0,52666368.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,32768.0,32019.0,9385.0,4478849024.0,1319895040.0,15179677696.0,52674560.0,0.0,0.0,
0.249,0.125,99.502,0.0,0.0,0.125,0.0,0.0,92440.0,14577.0,4478832640.0,1319895040.0,15179694080.0,52674560.0,0.0,0.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,98179.0,15712.0,4478767104.0,1319895040.0,15180021760.0,52412416.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,376318.0,30183.0,4478681088.0,1319895040.0,15180066816.0,52453376.0,0.0,0.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,32768.0,401318.0,45833.0,4478902272.0,1319903232.0,15180091392.0,52199424.0,0.0,0.0,
0.125,0.249,99.377,0.125,0.0,0.125,0.0,3203072.0,399500.0,46987.0,4478435328.0,1319911424.0,15180537856.0,52211712.0,0.0,0.0,
0.250,0.125,99.500,0.0,0.0,0.125,0.0,24576.0,507273.0,59945.0,4478701568.0,1319915520.0,15180570624.0,51908608.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,530786.0,63261.0,4478541824.0,1319915520.0,15181086720.0,51552256.0,0.0,0.0,
0.125,0.249,99.377,0.0,0.0,0.249,0.0,0.0,464616.0,80709.0,4478431232.0,1319915520.0,15181197312.0,51552256.0,0.0,0.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,32768.0,313757.0,64649.0,4478205952.0,1319923712.0,15181389824.0,51576832.0,0.0,0.0,
0.125,0.250,99.250,0.250,0.0,0.125,0.0,5136384.0,308426.0,72144.0,4478431232.0,1319927808.0,15181410304.0,51326976.0,0.0,0.0,
0.125,0.250,99.376,0.0,0.0,0.250,0.0,0.0,285361.0,68245.0,4478300160.0,1319927808.0,15181508608.0,51359744.0,0.0,0.0,
0.249,0.249,99.377,0.0,0.0,0.125,0.0,0.0,315172.0,60451.0,4478431232.0,1319927808.0,15181512704.0,51224576.0,0.0,0.0,
0.125,0.250,99.500,0.0,0.0,0.125,0.0,65536.0,346473.0,87795.0,4479463424.0,1319931904.0,15181619200.0,50081792.0,0.0,0.0,
0.250,0.250,99.375,0.0,0.0,0.125,0.0,57344.0,379998.0,80471.0,4480389120.0,1319940096.0,15181619200.0,49147904.0,0.0,0.0,
0.125,0.249,99.252,0.249,0.0,0.125,0.0,3399680.0,313594.0,68151.0,4480499712.0,1319944192.0,15181758464.0,48893952.0,0.0,0.0,
0.375,0.375,99.251,0.0,0.0,0.0,0.0,0.0,371779.0,77100.0,4480471040.0,1319944192.0,15181770752.0,48910336.0,0.0,0.0,
0.125,0.249,99.377,0.0,0.0,0.249,0.0,0.0,348083.0,68951.0,4480053248.0,1319944192.0,15181840384.0,49258496.0,0.0,0.0,
0.125,0.250,99.500,0.0,0.125,0.0,0.0,65536.0,452047.0,83935.0,4479541248.0,1319952384.0,15181848576.0,49754112.0,0.0,0.0,
0.125,0.125,99.500,0.0,0.0,0.250,0.0,32768.0,332776.0,72241.0,4479348736.0,1319960576.0,15181897728.0,49889280.0,0.0,0.0,
0.125,0.250,99.376,0.125,0.0,0.125,0.0,3121152.0,385472.0,77179.0,4479332352.0,1319964672.0,15181910016.0,49889280.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,482683.0,85043.0,4479209472.0,1319964672.0,15182024704.0,49897472.0,0.0,0.0,
0.250,0.250,99.376,0.0,0.0,0.125,0.0,0.0,368849.0,71387.0,4478959616.0,1319964672.0,15182028800.0,50143232.0,0.0,0.0,
0.125,0.250,99.501,0.0,0.0,0.125,0.0,0.0,392057.0,80985.0,4479156224.0,1319964672.0,15182127104.0,49848320.0,0.0,0.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,81920.0,435755.0,87113.0,4479029248.0,1319976960.0,15182114816.0,49975296.0,0.0,0.0,
0.250,0.250,99.250,0.125,0.0,0.125,0.0,3194880.0,327371.0,60014.0,4478971904.0,1319985152.0,15182192640.0,49946624.0,0.0,0.0,
0.125,0.250,99.625,0.0,0.0,0.0,0.0,0.0,394822.0,71022.0,4478693376.0,1319989248.0,15182204928.0,50208768.0,0.0,0.0,
0.249,0.499,99.002,0.0,0.0,0.249,0.0,0.0,496195.0,93327.0,4478586880.0,1320046592.0,15182282752.0,50180096.0,0.0,0.0,
0.125,0.250,99.500,0.0,0.0,0.125,0.0,0.0,481209.0,133027.0,4478967808.0,1320079360.0,15182249984.0,49799168.0,0.0,0.0,
0.125,0.374,99.127,0.125,0.0,0.249,0.0,32768.0,352527.0,107186.0,4478545920.0,1320103936.0,15182372864.0,50073600.0,0.0,0.0,
0.125,0.250,99.251,0.125,0.125,0.125,0.0,3268608.0,358584.0,91049.0,4478656512.0,1320124416.0,15182368768.0,49946624.0,0.0,0.0,
0.125,0.250,99.501,0.0,0.0,0.125,0.0,0.0,452392.0,87858.0,4478394368.0,1320124416.0,15182512128.0,50065408.0,0.0,0.0,
0.250,0.375,99.375,0.0,0.0,0.0,0.0,0.0,427339.0,92230.0,4478898176.0,1320128512.0,15182520320.0,49549312.0,0.0,0.0,
0.374,0.249,99.127,0.0,0.0,0.249,0.0,0.0,600658.0,126299.0,4478451712.0,1320128512.0,15182696448.0,49819648.0,0.0,0.0,
0.250,0.250,99.249,0.125,0.0,0.125,0.0,2342912.0,381519.0,83811.0,4478455808.0,1320148992.0,15182675968.0,49815552.0,0.0,0.0,
0.250,0.125,99.375,0.125,0.0,0.125,0.0,3596288.0,356697.0,84624.0,4478468096.0,1320153088.0,15182802944.0,49672192.0,0.0,0.0,
0.125,0.250,99.376,0.0,0.0,0.250,0.0,49152.0,450149.0,93839.0,4479070208.0,1320161280.0,15182827520.0,49037312.0,0.0,0.0,
0.250,0.250,99.376,0.0,0.0,0.125,0.0,0.0,429493.0,88281.0,4478476288.0,1320161280.0,15183048704.0,49410048.0,0.0,0.0,
0.125,0.375,99.375,0.0,0.0,0.125,0.0,0.0,397992.0,111933.0,4478599168.0,1320161280.0,15183052800.0,49283072.0,0.0,0.0,
0.125,0.250,99.376,0.0,0.0,0.250,0.0,106496.0,387695.0,85779.0,4478332928.0,1320169472.0,15183228928.0,49364992.0,0.0,0.0,
0.250,0.375,99.001,0.250,0.0,0.125,0.0,3678208.0,367672.0,69203.0,4478705664.0,1320169472.0,15183237120.0,48984064.0,0.0,0.0,
0.125,0.125,99.500,0.0,0.125,0.125,0.0,24576.0,338344.0,63543.0,4478435328.0,1320173568.0,15183372288.0,49115136.0,0.0,0.0,
0.125,0.250,99.376,0.0,0.0,0.250,0.0,0.0,372619.0,90813.0,4478812160.0,1320173568.0,15183372288.0,48738304.0,0.0,0.0,
0.125,0.250,99.501,0.0,0.0,0.125,0.0,0.0,348396.0,69497.0,4478504960.0,1320173568.0,15183491072.0,48926720.0,0.0,0.0,
0.250,0.125,99.376,0.0,0.0,0.250,0.0,32768.0,298189.0,61917.0,4478750720.0,1320181760.0,15183482880.0,48680960.0,0.0,0.0,
0.250,0.250,99.126,0.250,0.0,0.125,0.0,3391488.0,335506.0,68239.0,4478435328.0,1320185856.0,15183593472.0,48881664.0,0.0,0.0,
0.125,0.250,99.376,0.0,0.0,0.250,0.0,0.0,369123.0,82077.0,4478803968.0,1320185856.0,15183605760.0,48500736.0,0.0,0.0,
0.125,0.375,99.251,0.0,0.0,0.250,0.0,57344.0,350141.0,164241.0,4479025152.0,1320189952.0,15183757312.0,48123904.0,0.0,0.0,
0.125,0.250,99.374,0.0,0.0,0.250,0.0,0.0,491713.0,118590.0,4479401984.0,1320189952.0,15183761408.0,47742976.0,0.0,0.0,
0.125,0.250,99.376,0.0,0.125,0.125,0.0,57344.0,424397.0,83913.0,4479082496.0,1320198144.0,15183884288.0,47931392.0,0.0,0.0,
0.125,0.250,99.126,0.250,0.0,0.250,0.0,3760128.0,430789.0,83465.0,4479451136.0,1320206336.0,15183884288.0,47554560.0,0.0,0.0,
0.125,0.250,99.500,0.0,0.0,0.125,0.0,0.0,455053.0,79871.0,4478963712.0,1320206336.0,15184048128.0,47878144.0,0.0,0.0,
0.125,0.375,99.376,0.0,0.0,0.125,0.0,0.0,497721.0,190015.0,4479217664.0,1320206336.0,15184056320.0,47616000.0,0.0,0.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,57344.0,484156.0,93983.0,4479160320.0,1320214528.0,15184142336.0,47579136.0,0.0,0.0,
0.375,0.375,99.001,0.0,0.0,0.250,0.0,32768.0,414322.0,71345.0,4479152128.0,1320222720.0,15184142336.0,47579136.0,0.0,0.0,
0.250,0.250,99.251,0.125,0.0,0.125,0.0,3260416.0,425969.0,114323.0,4478439424.0,1320226816.0,15184265216.0,48164864.0,0.0,0.0,
0.125,0.250,99.375,0.0,0.0,0.250,0.0,0.0,514953.0,93006.0,4479062016.0,1320226816.0,15184277504.0,47529984.0,0.0,0.0,
0.249,0.374,99.002,0.0,0.125,0.249,0.0,0.0,673406.0,127419.0,4478873600.0,1320226816.0,15184392192.0,47603712.0,0.0,0.0,
0.125,0.250,99.376,0.0,0.0,0.250,0.0,0.0,693865.0,116358.0,4478873600.0,1320226816.0,15184392192.0,47603712.0,0.0,0.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,81920.0,423000.0,127385.0,4478791680.0,1320243200.0,15184506880.0,47554560.0,0.0,0.0,
0.125,0.374,99.002,0.249,0.0,0.249,0.0,3457024.0,528057.0,104293.0,4478648320.0,1320247296.0,15184519168.0,47681536.0,0.0,0.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,0.0,563687.0,141737.0,4478824448.0,1320247296.0,15184625664.0,47398912.0,0.0,0.0,
0.125,0.375,99.375,0.0,0.0,0.125,0.0,0.0,490162.0,127235.0,4478955520.0,1320247296.0,15184629760.0,47263744.0,0.0,0.0,
0.125,0.250,99.376,0.0,0.0,0.250,0.0,0.0,780796.0,284077.0,4478455808.0,1320247296.0,15184752640.0,47640576.0,0.0,0.0,
0.374,0.374,99.002,0.0,0.0,0.249,0.0,98304.0,553308.0,160105.0,4478709760.0,1320263680.0,15184736256.0,47386624.0,0.0,0.0,
0.125,0.250,99.375,0.250,0.0,0.0,0.0,3219456.0,560717.0,89610.0,4478599168.0,1320267776.0,15184855040.0,47374336.0,0.0,0.0,
0.375,0.375,99.001,0.0,0.0,0.250,0.0,0.0,598094.0,303419.0,4478578688.0,1320267776.0,15184875520.0,47374336.0,0.0,0.0,
0.125,0.250,99.375,0.0,0.0,0.250,0.0,0.0,530386.0,376445.0,4478496768.0,1320267776.0,15185047552.0,47284224.0,0.0,0.0,
0.249,0.249,99.252,0.0,0.125,0.125,0.0,0.0,664114.0,189135.0,4479004672.0,1320267776.0,15185047552.0,46776320.0,0.0,0.0,
0.125,0.375,99.251,0.0,0.0,0.250,0.0,32768.0,642073.0,203421.0,4478521344.0,1320275968.0,15185203200.0,47095808.0,0.0,0.0,
0.250,0.250,99.250,0.125,0.0,0.125,0.0,3588096.0,603175.0,102905.0,4478640128.0,1320275968.0,15185211392.0,46968832.0,0.0,0.0,
0.125,0.250,99.500,0.0,0.0,0.125,0.0,49152.0,556065.0,107503.0,4478230528.0,1320284160.0,15185387520.0,47194112.0,0.0,0.0,
0.125,0.375,99.375,0.0,0.0,0.125,0.0,0.0,555008.0,234091.0,4478615552.0,1320284160.0,15185391616.0,46804992.0,0.0,0.0,
0.250,0.250,99.250,0.0,0.0,0.250,0.0,0.0,487601.0,278683.0,4478296064.0,1320284160.0,15185567744.0,46948352.0,0.0,0.0,
0.249,0.249,99.128,0.125,0.0,0.249,0.0,32768.0,566009.0,172169.0,4478550016.0,1320292352.0,15185559552.0,46694400.0,0.0,0.0,
0.125,0.375,99.125,0.125,0.0,0.250,0.0,3375104.0,597860.0,188803.0,4478320640.0,1320292352.0,15185707008.0,46776320.0,0.0,0.0,
0.125,0.375,99.375,0.0,0.0,0.125,0.0,0.0,602019.0,298926.0,4478439424.0,1320292352.0,15185715200.0,46649344.0,0.0,0.0,
0.250,0.250,99.251,0.0,0.0,0.250,0.0,24576.0,578587.0,231609.0,4478468096.0,1320300544.0,15185846272.0,46481408.0,0.0,0.0,
0.125,0.250,99.251,0.0,0.125,0.250,0.0,0.0,611871.0,333241.0,4478590976.0,1320300544.0,15185850368.0,46354432.0,0.0,0.0,
0.125,0.375,99.375,0.0,0.0,0.125,0.0,32768.0,666136.0,203409.0,4478148608.0,1320308736.0,15185973248.0,46665728.0,0.0,0.0,
0.125,0.250,99.0,0.250,0.0,0.375,0.0,3383296.0,623950.0,163659.0,4478648320.0,1320308736.0,15185981440.0,46157824.0,0.0,0.0,
0.249,0.374,99.252,0.0,0.0,0.125,0.0,0.0,598688.0,107379.0,4478111744.0,1320308736.0,15186116608.0,46559232.0,0.0,0.0,
0.125,0.250,99.376,0.0,0.0,0.250,0.0,0.0,628925.0,108540.0,4478246912.0,1320308736.0,15186116608.0,46424064.0,0.0,0.0,
