"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.951875,0.150125,98.6635,0.216219,0.0019375,0.0160938,571595,824356,0,0,9.73157e+08,8.83699e+06,5.70184e+07,1.99921e+10,77.4674,137.028,
0.308,0.72575,87.6382,11.0668,0.0078125,0.253625,4.67494e+06,125696,96027.5,43680.8,9.72645e+08,9.9671e+06,5.75334e+07,1.99909e+10,0,0,
0.640625,0.632375,87.4855,11.0347,0,0.206969,3.7335e+06,678400,262700,26537.2,9.7411e+08,1.10392e+07,5.75284e+07,1.99884e+10,0,0,
0.901281,0.597312,87.3307,11.0189,0,0.152219,3.51155e+06,511744,190141,17034.6,9.76027e+08,1.20079e+07,5.7366e+07,1.99857e+10,0,0,
0.476031,0.585438,88.021,10.7928,0,0.124969,4.5033e+06,212736,151885,6703,9.76189e+08,1.29445e+07,5.79442e+07,1.9984e+10,0,0,
0.530625,0.511437,88.4482,10.3692,0.0078125,0.132781,3.88198e+06,304128,167398,7897.91,9.76753e+08,1.37978e+07,5.81041e+07,1.99824e+10,0,0,
0.636719,0.484063,88.6932,10.0693,0,0.117125,3.35616e+06,120576,135298,6272.38,9.76868e+08,1.45842e+07,5.80653e+07,1.99816e+10,0,0,
0.710094,0.507531,88.5939,10.1067,0.00390625,0.0780625,3.48262e+06,347904,98327.2,4552.5,9.77504e+08,1.53357e+07,5.8047e+07,1.99802e+10,0,0,
0.885656,0.45275,88.5486,10.0234,0,0.0897813,4.16154e+06,444672,64858.5,3077.47,9.79504e+08,1.60367e+07,5.8512e+07,1.9977e+10,0,0,
0.257531,0.3705,90.1591,9.15066,0.0155937,0.0468125,3.42733e+06,141312,66164.7,3457.62,9.79514e+08,1.66118e+07,5.86066e+07,1.99764e+10,0,0,
0.831281,0.655594,89.6318,8.79537,0.0078125,0.078125,2.7543e+06,121088,34450.7,20761.5,9.8159e+08,1.71114e+07,5.86565e+07,1.99737e+10,0,0,
4.46869,2.90031,82.3715,10.0919,0.0078125,0.160062,2.55642e+06,64512,571299,98185.8,9.95342e+08,1.75254e+07,5.93658e+07,1.99589e+10,0,0,
11.2475,9.87591,65.501,13.1457,0.0078125,0.22225,3.38253e+06,858624,1.14045e+06,289578,1.04049e+09,1.78388e+07,6.16472e+07,1.99111e+10,0,0,
25.5885,14.6144,48.0978,11.3546,0.0304062,0.314562,2.88077e+06,1.15763e+06,2.60986e+06,332445,1.12806e+09,1.80573e+07,6.42546e+07,1.98207e+10,0,0,
44.4738,11.5371,32.2367,11.4251,0.0233437,0.303906,1.89005e+06,473856,2.58584e+06,276992,1.26463e+09,1.81983e+07,6.64049e+07,1.96819e+10,0,0,
71.1283,6.91103,14.9324,6.68144,0.0222187,0.32475,2.38694e+06,158976,2.66336e+06,225803,1.46573e+09,1.83277e+07,6.92189e+07,1.94778e+10,0,0,
86.1383,3.81762,4.51244,5.31134,0.0147812,0.205438,3.05485e+06,162304,2.83082e+06,157196,1.67145e+09,1.84204e+07,7.17613e+07,1.92695e+10,0,0,
85.865,3.37978,3.74516,6.71841,0.0282187,0.263469,2.91763e+06,510208,2.30829e+06,119857,1.87707e+09,1.84768e+07,7.47122e+07,1.90608e+10,0,0,
83.4514,3.7395,4.86209,7.6465,0.0300937,0.270656,2.07181e+06,600064,3.49958e+06,166137,2.0716e+09,1.85398e+07,7.79013e+07,1.8863e+10,0,0,
89.2212,3.03516,3.56697,3.94944,0.0151562,0.212281,9.03245e+06,75264,3.38959e+06,210678,2.24933e+09,1.86104e+07,8.39564e+07,1.86792e+10,0,0,
88.6426,3.3245,2.93575,4.81325,0.026875,0.257031,2.44982e+07,144640,3.33675e+06,1.77023e+06,2.4475e+09,1.86776e+07,9.80819e+07,1.84668e+10,0,0,
80.6893,4.36806,6.84394,7.73591,0.0264687,0.336344,4.22779e+07,343296,6.0366e+06,2.91945e+06,2.68556e+09,1.87553e+07,1.216e+08,1.82052e+10,0,0,
72.9018,5.85194,10.5011,10.4027,0.0345,0.307656,8.23114e+07,1.06573e+06,2.21828e+06,3.47532e+06,3.2091e+09,1.88945e+07,1.65452e+08,1.76376e+10,0,0,
62.1879,4.89466,17.0036,15.441,0.0423437,0.430562,1.46981e+08,1.12128e+06,1.81372e+06,2.69494e+06,3.78336e+09,1.90469e+07,2.44343e+08,1.69843e+10,0,0,
39.3888,4.11488,29.8005,26.1406,0.0234062,0.531937,1.84246e+08,731648,4.54432e+06,3.88599e+06,4.26083e+09,1.91712e+07,3.43918e+08,1.64072e+10,0,0,
23.1268,1.96037,41.6673,32.7078,0.0312187,0.506625,1.90317e+08,611840,6.05669e+06,4.03905e+06,4.33687e+09,1.92837e+07,4.46137e+08,1.62288e+10,0,0,
26.9362,1.66478,38.6625,32.2196,0.0154375,0.501437,1.90692e+08,7.88378e+06,5.71573e+06,5.09841e+06,4.39029e+09,1.93821e+07,5.43972e+08,1.60774e+10,0,0,
42.0051,1.78434,29.1778,26.5193,0.042875,0.470563,1.79946e+08,8.39066e+06,5.42764e+06,6.06726e+06,4.39974e+09,1.94822e+07,6.39015e+08,1.59728e+10,0,0,
61.6606,2.00809,18.2902,17.5419,0.0542187,0.444969,1.65651e+08,1.41855e+07,4.99473e+06,6.45603e+06,4.40678e+09,1.95941e+07,7.42139e+08,1.58626e+10,0,0,
74.2417,3.14831,11.6679,10.4405,0.0270312,0.474625,1.60063e+08,3.45651e+07,6.24105e+06,5.35922e+06,4.41887e+09,1.97463e+07,8.78584e+08,1.57139e+10,0,0,
81.0482,4.47903,6.62719,7.35831,0.0271875,0.460219,1.77328e+08,2.01326e+07,7.08518e+06,5.34129e+06,4.44075e+09,1.99382e+07,1.05473e+09,1.55157e+10,0,0,
78.2357,6.20587,7.63028,7.49972,0.0390625,0.389406,1.70142e+08,2.84782e+07,3.1417e+06,4.69176e+06,4.47471e+09,2.02006e+07,1.27835e+09,1.52578e+10,0,0,
72.1877,5.77738,10.2902,11.1614,0.0429375,0.540312,1.93707e+08,5.34006e+07,3.29033e+06,4.85121e+06,4.53135e+09,2.04378e+07,1.49801e+09,1.49813e+10,0,0,
65.0008,4.91194,11.5705,17.8256,0.06625,0.624937,1.88411e+08,9.99473e+07,6.035e+06,3.19369e+06,4.59265e+09,2.06344e+07,1.68603e+09,1.47318e+10,0,0,
59.9439,4.79544,14.923,19.6608,0.03875,0.638156,1.85882e+08,1.55294e+08,6.81537e+06,5.19231e+06,4.66218e+09,2.08229e+07,1.86388e+09,1.44842e+10,0,0,
61.7137,4.78853,14.2083,18.6155,0.0429688,0.631094,1.84363e+08,1.69018e+08,4.13304e+06,4.25704e+06,4.75332e+09,2.10086e+07,2.03996e+09,1.42168e+10,0,0,
61.2241,4.28019,12.6719,20.9989,0.0505625,0.774656,1.92387e+08,1.96511e+08,5.98487e+06,7.11678e+06,4.83351e+09,2.11886e+07,2.20803e+09,1.39684e+10,0,0,
63.623,5.47741,11.9827,18.204,0.038625,0.674219,1.69945e+08,1.85703e+08,4.28678e+06,9.1913e+06,4.91741e+09,2.13967e+07,2.39267e+09,1.36996e+10,0,0,
61.9964,5.59288,12.5934,19.1258,0.0463125,0.64525,1.77363e+08,1.8914e+08,5.9458e+06,5.22677e+06,4.98909e+09,2.15978e+07,2.5799e+09,1.34405e+10,0,0,
60.3317,5.54281,12.2087,21.154,0.0390625,0.723594,1.79473e+08,1.95852e+08,7.14638e+06,3.15055e+06,5.04662e+09,2.17947e+07,2.76208e+09,1.32006e+10,128,0,
60.1402,4.75294,13.8405,20.5218,0.0506562,0.694,1.79889e+08,2.09258e+08,6.43375e+06,4.15227e+06,5.0893e+09,2.19881e+07,2.93586e+09,1.29839e+10,0,0,
58.9848,4.87406,14.86,20.5535,0.0273125,0.700406,1.6993e+08,2.0816e+08,5.60867e+06,5.81228e+06,5.12167e+09,2.21789e+07,3.11432e+09,1.27729e+10,0,0,
60.5721,5.19841,11.4207,22.0767,0.0580312,0.674156,1.73479e+08,1.87767e+08,6.45321e+06,9.34254e+06,5.15269e+09,2.23794e+07,3.30328e+09,1.25527e+10,0,0,
58.8778,5.68803,13.182,21.5811,0.0428125,0.628562,1.93123e+08,1.72284e+08,3.36462e+06,7.65105e+06,5.18009e+09,2.25942e+07,3.50553e+09,1.23229e+10,0,0,
62.0114,4.74181,13.0109,19.4883,0.0467813,0.700969,1.96929e+08,1.76242e+08,4.92633e+06,3.50057e+06,5.20698e+09,2.27896e+07,3.69509e+09,1.21062e+10,0,0,
61.3919,4.08222,14.9892,18.8148,0.042,0.680063,1.86883e+08,2.08225e+08,8.37541e+06,4.02594e+06,5.24035e+09,2.29629e+07,3.85463e+09,1.19131e+10,0,0,
65.1272,5.09897,11.849,17.1706,0.0505312,0.70375,1.92152e+08,2.07412e+08,4.22904e+06,4.39532e+06,5.27305e+09,2.31753e+07,4.04845e+09,1.16864e+10,0,0,
61.3402,5.17484,13.1312,19.6448,0.0387813,0.67025,1.88425e+08,1.83215e+08,6.80132e+06,7.5493e+06,5.29942e+09,2.3383e+07,4.2342e+09,1.14741e+10,0,0,
61.1113,4.73041,10.5675,22.9109,0.0468438,0.633063,1.77825e+08,1.79345e+08,4.77744e+06,9.03779e+06,5.31954e+09,2.35781e+07,4.41228e+09,1.12757e+10,0,0,
60.971,5.77313,12.3021,20.2196,0.05075,0.683562,1.7411e+08,1.83567e+08,6.10203e+06,6.18267e+06,5.33979e+09,2.38011e+07,4.60817e+09,1.10593e+10,0,0,
60.2536,4.88559,13.0382,21.047,0.0580937,0.717469,1.78779e+08,1.97875e+08,9.61903e+06,3.15961e+06,5.37038e+09,2.40019e+07,4.7908e+09,1.08459e+10,0,0,
57.2937,4.41216,14.7825,22.8172,0.0388437,0.655281,1.86958e+08,1.91928e+08,3.77344e+06,6.72712e+06,5.39402e+09,2.4181e+07,4.96085e+09,1.0652e+10,0,0,
58.5162,5.81331,13.1817,21.8241,0.0428125,0.621938,1.77678e+08,1.61948e+08,4.68165e+06,5.03891e+06,5.41418e+09,2.43803e+07,5.14842e+09,1.04441e+10,0,0,
61.8724,4.8645,12.7406,19.8366,0.054625,0.631156,1.71549e+08,1.80652e+08,5.49995e+06,5.83483e+06,5.44132e+09,2.45539e+07,5.31607e+09,1.02491e+10,0,0,
60.334,5.06694,12.7537,21.1408,0.03125,0.6735,1.72574e+08,1.97957e+08,5.55082e+06,5.07032e+06,5.47568e+09,2.47352e+07,5.4846e+09,1.00461e+10,0,0,
59.7359,5.57916,12.5394,21.3307,0.054625,0.760406,1.81994e+08,2.10201e+08,5.75389e+06,5.90642e+06,5.51112e+09,2.4937e+07,5.66772e+09,9.8273e+09,0,0,
60.4845,6.32406,11.7411,20.7121,0.0387813,0.699406,1.73365e+08,2.01489e+08,5.88665e+06,5.22907e+06,5.55893e+09,2.51501e+07,5.86785e+09,9.57916e+09,0,0,
56.5583,6.14959,13.7886,22.8139,0.0663438,0.62325,1.80642e+08,1.67962e+08,6.05271e+06,6.80613e+06,5.60361e+09,2.53467e+07,6.05345e+09,9.34868e+09,0,0,
61.4793,5.66884,12.273,19.7907,0.039,0.748969,1.91284e+08,1.73178e+08,5.2925e+06,7.66104e+06,5.6828e+09,2.55393e+07,6.23473e+09,9.08802e+09,0,0,
59.6564,5.34072,12.8416,21.4244,0.0572812,0.679687,1.88194e+08,1.99545e+08,8.5285e+06,4.89485e+06,5.75753e+09,2.57375e+07,6.4139e+09,8.83391e+09,0,0,
59.2888,5.43463,12.25,22.2492,0.0389063,0.738719,1.84258e+08,2.01316e+08,4.83939e+06,4.07554e+06,5.82615e+09,2.59589e+07,6.59264e+09,8.58634e+09,0,0,
60.3676,5.86013,11.6583,21.3222,0.066125,0.725687,1.77359e+08,2.05882e+08,6.56532e+06,6.51688e+06,5.89391e+09,2.61661e+07,6.77268e+09,8.33833e+09,0,0,
60.0435,5.80975,11.3641,22.0547,0.030875,0.697281,1.77185e+08,1.93912e+08,6.2311e+06,7.05945e+06,5.97295e+09,2.63611e+07,6.9547e+09,8.07707e+09,0,0,
60.4154,5.81344,10.0625,22.9449,0.0622187,0.701594,1.88764e+08,1.64609e+08,6.1135e+06,7.54516e+06,6.04521e+09,2.65585e+07,7.1397e+09,7.81962e+09,0,0,
62.379,5.90256,10.4022,20.6148,0.050625,0.651063,1.90034e+08,1.47672e+08,6.26314e+06,5.17025e+06,6.1159e+09,2.6767e+07,7.3314e+09,7.55701e+09,0,0,
64.9771,6.04241,9.22769,19.0584,0.0388125,0.655438,1.95512e+08,1.56424e+08,6.72546e+06,5.37456e+06,6.17782e+09,2.69837e+07,7.53063e+09,7.29565e+09,0,0,
60.0075,5.06472,12.2191,21.9343,0.0584063,0.716062,1.77975e+08,1.86258e+08,6.57192e+06,6.60974e+06,6.2251e+09,2.71741e+07,7.70301e+09,7.0758e+09,0,0,
54.4385,5.45962,14.6487,24.7728,0.042875,0.637438,1.62528e+08,1.65213e+08,6.16421e+06,7.7829e+06,6.2682e+09,2.73676e+07,7.87051e+09,6.865e+09,0,0,
57.4531,6.28759,10.636,24.9548,0.0466875,0.621906,1.72683e+08,1.68638e+08,4.5638e+06,4.55002e+06,6.3115e+09,2.75875e+07,8.06387e+09,6.62813e+09,0,0,
58.0382,4.638,12.3027,24.2721,0.0390313,0.71,1.86857e+08,1.91567e+08,6.06192e+06,4.032e+06,6.34069e+09,2.7765e+07,8.22312e+09,6.43951e+09,0,0,
62.8605,6.23131,10.0343,20.1188,0.0429688,0.712125,1.9242e+08,1.88345e+08,4.85021e+06,6.1169e+06,6.36243e+09,2.79918e+07,8.42865e+09,6.21201e+09,0,0,
59.7207,5.39491,10.9477,23.1537,0.0585938,0.7245,1.92035e+08,2.00049e+08,6.45229e+06,7.8123e+06,6.38513e+09,2.81976e+07,8.6169e+09,6.00086e+09,0,0,
57.6747,5.00394,12.361,24.1662,0.0388437,0.755531,1.81939e+08,1.88904e+08,7.09237e+06,5.64957e+06,6.39546e+09,2.8383e+07,8.78264e+09,5.82461e+09,0,0,
63.0844,5.85006,9.11378,21.1935,0.0348437,0.723469,1.94056e+08,1.81048e+08,6.26601e+06,6.96056e+06,6.41829e+09,2.85972e+07,8.9798e+09,5.6044e+09,0,0,
63.4989,5.73209,9.65966,20.4108,0.0468125,0.65175,1.73907e+08,1.71278e+08,5.9992e+06,4.58302e+06,6.44124e+09,2.88115e+07,9.16611e+09,5.39492e+09,0,0,
62.8545,5.78306,10.4452,20.1586,0.046875,0.711937,1.7427e+08,2.03541e+08,4.70016e+06,3.85003e+06,6.45783e+09,2.90316e+07,9.3573e+09,5.18692e+09,0,0,
55.7328,6.14656,13.1963,24.1159,0.0465625,0.762,1.90393e+08,2.10679e+08,6.34825e+06,7.08848e+06,6.47283e+09,2.92467e+07,9.5576e+09,4.9714e+09,0,0,
58.9677,5.82491,11.1747,23.2641,0.0545,0.714406,1.90578e+08,1.82527e+08,8.54593e+06,7.94615e+06,6.49203e+09,2.94533e+07,9.74594e+09,4.76367e+09,0,0,
