"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.94025,0.148094,98.6886,0.205312,0.00190625,0.0157188,547506,772522,0,0,9.82298e+08,7.93062e+06,5.56108e+07,1.99852e+10,77.5184,137.128,
0.214594,0.752937,87.0963,11.632,0.00390625,0.300469,4.52838e+06,378112,47230.9,48021.6,9.82404e+08,9.25248e+06,5.55379e+07,1.99839e+10,0,0,
0.214875,0.726156,87.0538,11.7398,0,0.265469,5.00211e+06,811008,40002.3,20758.3,9.82401e+08,1.05517e+07,5.59931e+07,1.99821e+10,0,0,
0.347313,0.718031,86.8882,11.7968,0.00390625,0.245875,4.67251e+06,877568,244142,43568,9.8352e+08,1.18401e+07,5.61119e+07,1.99796e+10,0,0,
0.753062,0.729781,86.4769,11.7984,0.00390625,0.238187,4.75456e+06,60160,202173,35165.3,9.84541e+08,1.31348e+07,5.63263e+07,1.99771e+10,0,0,
0.873969,0.710344,86.8018,11.3878,0.00390625,0.2225,3.83027e+06,39168,107423,13906.7,9.86647e+08,1.43631e+07,5.62138e+07,1.99739e+10,0,0,
0.539062,0.663562,87.24,11.3585,0,0.199062,5.1049e+06,280064,211454,9395.47,9.87188e+08,1.55137e+07,5.67885e+07,1.99716e+10,0,0,
0.620375,0.628437,87.1183,11.4614,0.0078125,0.164031,4.04557e+06,740352,145697,6870.88,9.87405e+08,1.66191e+07,5.68133e+07,1.99702e+10,0,0,
0.623625,0.562,87.4251,11.241,0,0.148313,4.40627e+06,771328,84339,4179.81,9.87427e+08,1.75764e+07,5.71537e+07,1.99689e+10,0,0,
0.700031,0.499531,88.1442,10.5392,0.00390625,0.113219,3.0185e+06,62208,122400,5181.53,9.87899e+08,1.84247e+07,5.68442e+07,1.99679e+10,0,0,
1.00541,0.476125,88.4065,9.98338,0.0078125,0.121031,3.88378e+06,5120,42415.2,2341.31,9.89774e+08,1.91768e+07,5.70943e+07,1.9965e+10,0,0,
0.433594,0.370906,89.8308,9.27894,0.0078125,0.078125,3.40122e+06,102656,57246.8,2989,9.898e+08,1.98175e+07,5.71631e+07,1.99643e+10,0,0,
1.682,0.732281,88.0962,9.41181,0.00390625,0.0740625,3.46227e+06,479744,16941,13501.4,9.92505e+08,2.03301e+07,5.75922e+07,1.99607e+10,0,0,
10.4386,6.16272,69.5859,13.5241,0.0273438,0.261531,2.97254e+06,825856,1.0082e+06,298476,1.02921e+09,2.07729e+07,5.98268e+07,1.99213e+10,0,0,
19.6374,18.3946,48.7257,12.8683,0.023375,0.350437,3.1511e+06,219648,2.8702e+06,399293,1.10602e+09,2.10093e+07,6.27864e+07,1.98413e+10,0,0,
48.0653,12.8244,30.0489,8.59719,0.0233437,0.440937,2.52467e+06,190976,2.90219e+06,327654,1.26863e+09,2.12092e+07,6.57784e+07,1.96755e+10,0,0,
80.219,4.77959,9.22175,5.50697,0.0191562,0.25325,2.6775e+06,337152,3.23855e+06,252283,1.47727e+09,2.12904e+07,6.82953e+07,1.94642e+10,0,0,
92.6023,3.57041,1.87056,1.72919,0.0025625,0.225031,1.91898e+06,1.06726e+06,2.2528e+06,120594,1.69809e+09,2.13293e+07,7.0503e+07,1.92412e+10,0,0,
84.7786,4.09794,5.45428,5.31591,0.0425,0.310937,2.43021e+06,1.38291e+06,3.08384e+06,146273,1.92249e+09,2.13691e+07,7.41121e+07,1.90131e+10,0,0,
86.5943,3.20134,4.73266,5.25616,0.0146875,0.200937,2.4896e+06,13056,3.40635e+06,167017,2.11091e+09,2.13885e+07,7.66824e+07,1.88221e+10,0,0,
92.8694,2.45372,1.51475,2.94447,0.023375,0.194344,5.20755e+06,40704,2.25014e+06,125413,2.22129e+09,2.1431e+07,8.07514e+07,1.87076e+10,0,0,
90.1659,3.90013,3.1395,2.49659,0.018875,0.279062,1.1861e+07,204672,2.2303e+06,186751,2.4233e+09,2.14943e+07,8.92762e+07,1.8497e+10,0,0,
81.5862,5.28287,7.4635,5.38991,0.01775,0.259687,4.01175e+07,1.04819e+06,2.67026e+06,258360,2.77391e+09,2.15803e+07,1.12464e+08,1.81231e+10,0,0,
75.0809,5.16806,10.0785,9.31334,0.0255312,0.333688,1.14105e+08,1.17478e+06,1.40842e+06,277017,3.35656e+09,2.16934e+07,1.74092e+08,1.74787e+10,0,0,
52.7589,5.21034,19.6776,21.8736,0.0234375,0.456219,1.70719e+08,337664,429552,158031,4.01329e+09,2.18122e+07,2.63764e+08,1.67322e+10,0,0,
27.1352,2.64103,37.7389,32.0089,0.0350937,0.440938,1.95708e+08,838144,71425.9,21315.2,4.25111e+09,2.19172e+07,3.62068e+08,1.6396e+10,0,0,
20.1238,1.77731,44.434,33.1972,0.03125,0.4365,2.01823e+08,566016,7480.59,19958.8,4.3446e+09,2.20227e+07,4.63624e+08,1.62008e+10,0,0,
31.0512,1.50022,38.0352,28.9809,0.0155,0.416906,1.97237e+08,573440,17207.2,4432.47,4.36532e+09,2.21243e+07,5.60167e+08,1.60835e+10,0,0,
55.9015,1.7495,21.7767,20.1517,0.050625,0.370063,1.90364e+08,1.17325e+06,32593.1,9811.12,4.37089e+09,2.22305e+07,6.6023e+08,1.59777e+10,0,0,
75.8618,1.85081,10.3015,11.5805,0.0227812,0.382594,1.82829e+08,9.7129e+06,15607.8,6812.91,4.37392e+09,2.23418e+07,7.65706e+08,1.58691e+10,0,0,
84.1407,4.10181,5.78541,5.68753,0.0190312,0.265625,1.42807e+08,1.62284e+07,4553.62,10680.3,4.37748e+09,2.25135e+07,9.21858e+08,1.57092e+10,0,0,
83.6556,6.68031,4.47047,4.80091,0.0233125,0.369344,1.54577e+08,2.50903e+07,5620.47,7811.12,4.3989e+09,2.2773e+07,1.15456e+09,1.54549e+10,0,0,
72.9701,6.40697,9.43597,10.7397,0.0309062,0.416469,1.88007e+08,3.13715e+07,3286.72,3984.06,4.44809e+09,2.30246e+07,1.39449e+09,1.51655e+10,0,0,
63.6292,5.47159,14.5633,15.7783,0.0506875,0.506781,1.94577e+08,9.20292e+07,2835.38,3184.53,4.50346e+09,2.32361e+07,1.59874e+09,1.49056e+10,0,0,
61.1926,4.65409,15.4264,18.0789,0.0505,0.597562,2.05887e+08,1.47624e+08,4200.12,3592.72,4.58763e+09,2.34299e+07,1.78586e+09,1.46342e+10,0,0,
63.1533,4.32134,14.0704,17.7494,0.046875,0.658875,2.07518e+08,1.81207e+08,3776.47,4257.97,4.68987e+09,2.36086e+07,1.95817e+09,1.43594e+10,0,0,
68.3145,4.74556,12.2446,13.9493,0.0502187,0.695875,2.05196e+08,2.04644e+08,2493.31,3041.03,4.78802e+09,2.38015e+07,2.14184e+09,1.40774e+10,0,0,
72.3489,6.23159,9.15297,11.6082,0.0428125,0.615312,2.0183e+08,1.69409e+08,5077.19,3461.38,4.88374e+09,2.40302e+07,2.35748e+09,1.37658e+10,0,0,
71.0483,5.42809,9.77353,13.0859,0.0465938,0.617719,2.02852e+08,1.85864e+08,4082.84,4495.69,4.95439e+09,2.4251e+07,2.56586e+09,1.34866e+10,0,0,
63.5084,5.04231,12.066,18.6841,0.0427813,0.656469,2.01118e+08,2.29964e+08,7746.19,65129.5,5.00626e+09,2.44516e+07,2.76145e+09,1.32389e+10,0,0,
65.6316,5.69437,11.3534,16.6479,0.0389687,0.633937,1.90553e+08,2.16421e+08,15052.8,11112.5,5.03936e+09,2.46586e+07,2.95816e+09,1.30089e+10,0,0,
68.9752,5.08553,8.86806,16.3939,0.0389687,0.6385,1.92664e+08,2.02556e+08,36608.2,22550.1,5.07229e+09,2.48637e+07,3.15028e+09,1.27836e+10,0,0,
63.7649,5.53547,12.6066,17.5158,0.0386563,0.53875,1.44373e+08,1.9602e+08,79758.8,75736.8,5.10591e+09,2.5068e+07,3.33918e+09,1.25609e+10,0,0,
61.2984,6.44037,12.8783,18.8095,0.0234375,0.550062,1.52331e+08,1.7342e+08,117030,117737,5.12174e+09,2.52954e+07,3.54516e+09,1.23389e+10,0,0,
55.201,4.576,16.3704,23.3323,0.0234375,0.496813,1.20635e+08,1.9062e+08,173028,131098,5.13391e+09,2.54653e+07,3.70524e+09,1.21665e+10,0,0,
52.8542,5.91991,20.8122,19.8993,0.0429062,0.471594,1.10427e+08,1.98496e+08,109743,148172,5.15276e+09,2.56589e+07,3.87906e+09,1.19736e+10,0,0,
56.3382,6.38978,19.676,17.1352,0.019375,0.441469,7.76732e+07,2.09925e+08,119591,153219,5.1774e+09,2.58409e+07,4.03961e+09,1.17882e+10,0,0,
59.3132,7.67919,14.9605,17.6159,0.015625,0.415562,6.12367e+07,2.19196e+08,114564,145628,5.20189e+09,2.60448e+07,4.21849e+09,1.15847e+10,0,0,
57.4041,9.32384,15.0458,17.7837,0.0425937,0.400063,5.4421e+07,2.06859e+08,111504,177344,5.23366e+09,2.62587e+07,4.40145e+09,1.13697e+10,0,0,
62.3546,10.6445,8.38881,18.2774,0.0234375,0.3115,4.24686e+07,1.65609e+08,92534,185135,5.24958e+09,2.64998e+07,4.60692e+09,1.11481e+10,0,0,
63.5276,12.2717,8.95753,14.9172,0.019375,0.30675,2.46851e+07,1.78887e+08,91841.2,188396,5.27336e+09,2.67607e+07,4.83798e+09,1.0893e+10,0,0,
62.3847,12.9766,9.14641,15.1371,0.026875,0.328156,1.82282e+07,2.12105e+08,62524.2,183111,5.29066e+09,2.70194e+07,5.06148e+09,1.06519e+10,0,0,
66.8677,14.6833,7.385,10.7102,0.0117188,0.342219,7.33952e+06,2.21993e+08,61995.4,196836,5.28395e+09,2.72957e+07,5.2441e+09,1.04757e+10,0,0,
68.6235,15.6087,7.24362,8.09503,0.0234375,0.405813,1.2468e+07,2.18766e+08,54388,219785,5.32415e+09,2.75711e+07,5.3863e+09,1.02931e+10,0,0,
