"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/sort-250gb-2gb-1-ravenleader.csv",,,,"Date:","14 Aug 2016 17:22:18 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.719,0.456,98.367,0.318,0.010,0.129,4292479.961,812709.581,0.0,0.0,2914365440.0,1418215424.0,11844247552.0,4854267904.0,250.214,5317.704,830578688.0,20143841280.0,
22.125,3.875,73.625,0.0,0.0,0.375,0.0,0.0,23579.0,13866.0,2973437952.0,1418215424.0,11845070848.0,4794372096.0,0.0,0.0,830578688.0,20143841280.0,
28.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,327427.0,523096.0,3059499008.0,1418215424.0,11845169152.0,4708212736.0,0.0,0.0,830578688.0,20143841280.0,
28.055,1.122,70.324,0.0,0.0,0.499,0.0,360448.0,33830.0,17210.0,3080491008.0,1418215424.0,11845173248.0,4687216640.0,0.0,0.0,830578688.0,20143841280.0,
15.980,0.375,83.396,0.125,0.0,0.125,0.0,16384.0,13523289.0,109960.0,3085533184.0,1418215424.0,11845185536.0,4682162176.0,0.0,0.0,830578688.0,20143841280.0,
10.500,0.375,89.0,0.125,0.0,0.0,0.0,2834432.0,40003.0,17481.0,3089088512.0,1418219520.0,11845181440.0,4678606848.0,0.0,0.0,830578688.0,20143841280.0,
3.121,0.749,95.630,0.0,0.0,0.499,49152.0,0.0,52575.0,429629.0,3089006592.0,1418227712.0,11845177344.0,4678684672.0,0.0,0.0,830578688.0,20143841280.0,
0.249,0.374,98.878,0.0,0.125,0.374,0.0,0.0,438422.0,7386125.0,3089014784.0,1418227712.0,11845242880.0,4678610944.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.250,99.376,0.0,0.0,0.250,0.0,483328.0,311989.0,7133899.0,3088830464.0,1418227712.0,11845242880.0,4678795264.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.125,99.374,0.0,0.0,0.250,0.0,0.0,156296.0,3241648.0,3088953344.0,1418227712.0,11845246976.0,4678668288.0,0.0,0.0,830578688.0,20143841280.0,
0.375,0.250,99.001,0.0,0.0,0.375,0.0,32768.0,289546.0,6464181.0,3088191488.0,1418227712.0,11845246976.0,4679430144.0,0.0,0.0,830578688.0,20143841280.0,
0.375,0.125,99.375,0.0,0.0,0.125,0.0,24576.0,190445.0,4011196.0,3088191488.0,1418227712.0,11845246976.0,4679430144.0,0.0,0.0,830578688.0,20143841280.0,
0.499,0.249,99.127,0.0,0.0,0.125,0.0,0.0,162718.0,3679890.0,3087912960.0,1418227712.0,11845246976.0,4679708672.0,0.0,0.0,830578688.0,20143841280.0,
0.876,0.125,98.999,0.0,0.0,0.0,0.0,401408.0,133662.0,2802920.0,3087667200.0,1418227712.0,11845246976.0,4679954432.0,0.0,0.0,830578688.0,20143841280.0,
0.375,0.125,99.376,0.0,0.0,0.125,0.0,8192.0,115818.0,2221198.0,3087134720.0,1418227712.0,11845246976.0,4680486912.0,0.0,0.0,830578688.0,20143841280.0,
1.248,0.250,98.377,0.125,0.0,0.0,0.0,40960.0,41843.0,436724.0,3087261696.0,1418231808.0,11845402624.0,4680200192.0,0.0,0.0,830578688.0,20143841280.0,
0.624,4.370,90.512,0.375,0.125,3.995,16384.0,57344.0,89396.0,1944168.0,3089432576.0,1418817536.0,11845677056.0,4677169152.0,0.0,0.0,830578688.0,20143841280.0,
0.250,4.625,89.875,0.0,0.250,5.0,106496.0,0.0,5475410.0,58002697.0,3088723968.0,1418817536.0,11846008832.0,4677545984.0,0.0,0.0,830578688.0,20143841280.0,
0.250,6.500,84.625,0.250,0.250,8.125,8192.0,4513792.0,4794685.0,48230857.0,3088936960.0,1418833920.0,11846148096.0,4677177344.0,0.0,0.0,830578688.0,20143841280.0,
