"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.105406,0.499563,87.1605,12.1293,0.0078125,0.0975938,3.98592e+06,4.47181e+06,108732,83902.8,1.00121e+09,8.63846e+06,2.03497e+08,1.98177e+10,0,0,6.83315e+06,2.14693e+10,
0.15225,0.433375,87.996,11.3523,0,0.0663438,3.0953e+06,4.13133e+06,118297,75194.9,9.99864e+08,9.32211e+06,1.77374e+08,1.98445e+10,0,0,6.83315e+06,2.14693e+10,
0.26125,0.597,88.8413,10.1992,0.0078125,0.0936875,3.79904e+06,1.7001e+06,241508,39308.2,9.96969e+08,8.57434e+06,1.23131e+08,1.99024e+10,0,0,6.83315e+06,2.14693e+10,
0.371063,0.367,90.7185,8.46166,0.00390625,0.0780625,3.49875e+06,64000,97937,30606.5,9.95605e+08,9.01491e+06,5.72566e+07,1.99692e+10,0,0,6.83315e+06,2.14693e+10,
0.8975,0.175656,93.8548,5.00209,0,0.07025,2.83968e+06,0,227898,102242,9.97255e+08,9.28589e+06,5.75336e+07,1.9967e+10,0,0,6.83315e+06,2.14693e+10,
0.730375,0.132781,96.6706,2.41953,0.00390625,0.0429688,2.03149e+06,60416,184500,8219.81,9.98457e+08,9.40851e+06,5.7595e+07,1.99656e+10,0,0,6.83315e+06,2.14693e+10,
0.589156,0.128812,97.9041,1.33509,0.0078125,0.0351562,2.68058e+06,463104,146489,22494.4,9.98479e+08,9.47904e+06,5.79487e+07,1.99652e+10,0,0,6.83315e+06,2.14693e+10,
0.756875,0.0624375,98.437,0.720562,0.00390625,0.0195,2.17318e+06,328960,64522,3316.34,9.98295e+08,9.51757e+06,5.80425e+07,1.99652e+10,0,0,6.83315e+06,2.14693e+10,
0.5625,0.0507812,99.3047,0.0780938,0,0.00390625,2.13914e+06,54784,124938,14310.6,9.98411e+08,9.5223e+06,5.81577e+07,1.9965e+10,0,0,6.83315e+06,2.14693e+10,
0.690594,0.082,99.1612,0.0545937,0.00390625,0.0078125,1.88877e+06,2304,89893.9,8739.19,9.98667e+08,9.52525e+06,5.81786e+07,1.99647e+10,0,0,6.83315e+06,2.14693e+10,
