"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven22",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/sort-64gb-1gb-1-raven22.csv",,,,"Date:","14 Aug 2016 19:32:37 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.822,0.106,98.744,0.312,0.002,0.014,609151.626,893693.199,0.0,0.0,1053093888.0,6639616.0,57036800.0,19914313728.0,0.0,0.065,196608.0,21475966976.0,
0.0,0.125,99.750,0.125,0.0,0.0,24576.0,0.0,367.0,663.0,1052610560.0,6647808.0,56107008.0,19915718656.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.125,99.376,0.375,0.0,0.0,4251648.0,0.0,296375.0,296793.0,1052692480.0,6672384.0,57147392.0,19914571776.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.626,0.125,0.0,0.125,16384.0,704512.0,289.0,938.0,1052389376.0,6684672.0,56356864.0,19915653120.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,4210688.0,0.0,241.0,403.0,1051648000.0,6684672.0,57622528.0,19915128832.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,16384.0,712704.0,177.0,403.0,1051557888.0,6692864.0,56434688.0,19916398592.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.875,0.0,0.0,0.0,4210688.0,0.0,289.0,938.0,1051295744.0,6696960.0,57626624.0,19915464704.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.750,0.125,0.0,0.0,16384.0,0.0,177.0,403.0,1051009024.0,6696960.0,56598528.0,19916779520.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,100.0,0.0,0.0,0.0,4210688.0,0.0,177.0,403.0,1050669056.0,6696960.0,57503744.0,19916214272.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.0,99.875,0.0,0.0,0.0,16384.0,0.0,289.0,938.0,1050243072.0,6696960.0,56651776.0,19917492224.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,99.875,0.0,0.0,0.0,4218880.0,0.0,241.0,481.0,1050312704.0,6701056.0,57442304.0,19916627968.0,0.0,0.0,196608.0,21475966976.0,
3.367,1.247,93.516,1.746,0.0,0.125,491520.0,40960.0,177.0,403.0,1051578368.0,6811648.0,57262080.0,19915431936.0,0.0,0.0,196608.0,21475966976.0,
15.730,7.366,58.677,17.728,0.0,0.499,5070848.0,0.0,4190672.0,582445.0,1121951744.0,6922240.0,63012864.0,19839197184.0,0.0,0.0,196608.0,21475966976.0,
53.558,5.368,35.206,5.368,0.125,0.375,212992.0,0.0,5713859.0,517555.0,1322446848.0,7016448.0,67764224.0,19633856512.0,0.0,0.0,196608.0,21475966976.0,
91.261,2.622,5.493,0.499,0.0,0.125,4440064.0,0.0,2175065.0,89295.0,1459322880.0,7020544.0,70529024.0,19494211584.0,0.0,0.0,196608.0,21475966976.0,
76.875,4.0,15.125,3.375,0.0,0.625,73728.0,2416640.0,5201501.0,237090.0,1688330240.0,7049216.0,76107776.0,19259596800.0,0.0,0.0,196608.0,21475966976.0,
95.896,2.114,1.741,0.0,0.0,0.249,4194304.0,0.0,3429131.0,150371.0,1803243520.0,7057408.0,79142912.0,19141640192.0,0.0,0.0,196608.0,21475966976.0,
81.242,2.857,13.665,1.739,0.124,0.373,0.0,0.0,4529311.0,187675.0,1876369408.0,7073792.0,82665472.0,19064975360.0,0.0,0.0,196608.0,21475966976.0,
58.978,4.738,28.429,7.606,0.0,0.249,44744704.0,0.0,2338517.0,153162.0,2290556928.0,7135232.0,106008576.0,18627383296.0,0.0,0.0,196608.0,21475966976.0,
68.875,3.875,16.375,10.375,0.0,0.500,138018816.0,0.0,4035.0,5799.0,2833043456.0,7258112.0,180277248.0,18010505216.0,0.0,0.0,196608.0,21475966976.0,
21.197,3.117,47.756,27.182,0.0,0.748,203259904.0,1515520.0,6412.0,44777.0,3075792896.0,7368704.0,284647424.0,17663275008.0,0.0,0.0,196608.0,21475966976.0,
27.375,1.375,38.375,32.0,0.0,0.875,208527360.0,57344.0,33525.0,46873.0,3078557696.0,7475200.0,385527808.0,17559523328.0,0.0,0.0,196608.0,21475966976.0,
47.566,1.373,29.089,21.473,0.0,0.499,198000640.0,0.0,1956.0,9387.0,3082792960.0,7573504.0,486006784.0,17454710784.0,0.0,0.0,196608.0,21475966976.0,
74.625,2.375,14.500,8.250,0.0,0.250,157122560.0,0.0,1249.0,1423.0,3079131136.0,7680000.0,591732736.0,17352540160.0,0.0,0.0,196608.0,21475966976.0,
67.625,3.750,27.500,0.875,0.0,0.250,89104384.0,1409024.0,37238.0,31129.0,3145465856.0,7843840.0,722673664.0,17155100672.0,0.0,0.0,196608.0,21475966976.0,
64.259,7.098,25.405,2.989,0.0,0.249,131899392.0,0.0,317.0,655.0,3156795392.0,8110080.0,979849216.0,16886329344.0,0.0,0.0,196608.0,21475966976.0,
52.375,3.625,25.125,18.125,0.125,0.625,214851584.0,187375616.0,177.0,585.0,3222740992.0,8294400.0,1144999936.0,16655048704.0,0.0,0.0,196608.0,21475966976.0,
56.929,3.246,19.101,19.850,0.0,0.874,198901760.0,271269888.0,844.0,5042.0,3264540672.0,8458240.0,1316704256.0,16441380864.0,0.0,0.0,196608.0,21475966976.0,
66.089,3.589,15.842,13.614,0.124,0.743,200515584.0,269221888.0,573.0,1249.0,3352965120.0,8597504.0,1447505920.0,16222015488.0,0.0,0.0,196608.0,21475966976.0,
61.423,4.619,32.584,1.124,0.0,0.250,99721216.0,2220032.0,317.0,865.0,3397541888.0,8785920.0,1616642048.0,16008114176.0,0.0,0.0,196608.0,21475966976.0,
57.855,6.983,26.309,8.354,0.0,0.499,208355328.0,0.0,1280.0,5609.0,3497242624.0,9056256.0,1873133568.0,15651651584.0,0.0,0.0,196608.0,21475966976.0,
50.125,2.625,30.750,16.0,0.0,0.500,224198656.0,203071488.0,549.0,1073.0,3548831744.0,9195520.0,2014998528.0,15458058240.0,0.0,0.0,196608.0,21475966976.0,
64.838,3.491,19.576,11.471,0.0,0.623,193544192.0,273022976.0,177.0,585.0,3545423872.0,9379840.0,2190512128.0,15285768192.0,0.0,0.0,196608.0,21475966976.0,
44.375,1.750,28.875,24.625,0.0,0.375,38043648.0,262406144.0,844.0,5043.0,3548192768.0,9433088.0,2235543552.0,15237914624.0,0.0,0.0,196608.0,21475966976.0,
37.360,6.351,35.367,20.548,0.125,0.249,80683008.0,94625792.0,241.0,585.0,3544518656.0,9637888.0,2419204096.0,15057723392.0,0.0,0.0,196608.0,21475966976.0,
49.375,5.625,33.0,11.500,0.0,0.500,205938688.0,0.0,177.0,585.0,3595177984.0,9895936.0,2675740672.0,14750269440.0,0.0,0.0,196608.0,21475966976.0,
39.152,2.369,36.783,21.072,0.0,0.623,226500608.0,210182144.0,844.0,5043.0,3625070592.0,10006528.0,2786881536.0,14609125376.0,0.0,0.0,196608.0,21475966976.0,
67.241,3.202,17.365,11.453,0.0,0.739,209027072.0,269213696.0,177.0,585.0,3665338368.0,10174464.0,2946764800.0,14408806400.0,0.0,0.0,196608.0,21475966976.0,
57.125,2.0,27.750,12.500,0.0,0.625,141697024.0,276676608.0,251.0,687.0,3667152896.0,10289152.0,3050938368.0,14302703616.0,0.0,0.0,196608.0,21475966976.0,
54.682,7.615,34.582,2.996,0.0,0.125,31604736.0,51257344.0,844.0,5043.0,3664269312.0,10510336.0,3248140288.0,14108164096.0,0.0,0.0,196608.0,21475966976.0,
48.814,4.494,35.331,10.612,0.125,0.624,220110848.0,8192.0,427.0,907.0,3671396352.0,10747904.0,3479236608.0,13869703168.0,0.0,0.0,196608.0,21475966976.0,
47.631,2.993,35.287,13.591,0.0,0.499,217948160.0,206020608.0,249.0,981.0,3680309248.0,10911744.0,3632697344.0,13707165696.0,0.0,0.0,196608.0,21475966976.0,
61.625,2.250,25.375,10.0,0.0,0.750,211386368.0,270073856.0,1030.0,5287.0,3729571840.0,11034624.0,3758551040.0,13531926528.0,0.0,0.0,196608.0,21475966976.0,
50.125,1.496,20.574,27.307,0.125,0.374,59023360.0,267567104.0,177.0,585.0,3780509696.0,11079680.0,3800666112.0,13438828544.0,0.0,0.0,196608.0,21475966976.0,
43.250,6.625,33.750,16.250,0.0,0.125,29401088.0,90177536.0,177.0,585.0,3777839104.0,11288576.0,3977826304.0,13264130048.0,0.0,0.0,196608.0,21475966976.0,
50.562,7.615,27.341,14.107,0.0,0.375,204857344.0,0.0,1402.0,5775.0,3806810112.0,11567104.0,4258054144.0,12954652672.0,0.0,0.0,196608.0,21475966976.0,
31.211,2.622,39.326,26.217,0.0,0.624,223690752.0,217178112.0,177.0,585.0,3966533632.0,11677696.0,4354813952.0,12698058752.0,0.0,0.0,196608.0,21475966976.0,
57.054,2.747,23.970,15.481,0.0,0.749,208412672.0,274563072.0,177.0,585.0,4027416576.0,11821056.0,4503015424.0,12488830976.0,0.0,0.0,196608.0,21475966976.0,
60.224,2.494,16.958,19.950,0.0,0.374,65232896.0,274440192.0,620.0,4466.0,4037644288.0,11915264.0,4577333248.0,12404191232.0,0.0,0.0,196608.0,21475966976.0,
61.125,6.875,20.125,11.500,0.0,0.375,146014208.0,29278208.0,7982.0,58835.0,4074594304.0,12144640.0,4786561024.0,12157784064.0,0.0,0.0,196608.0,21475966976.0,
