"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.15225,0.355094,90.843,8.57197,0.00390625,0.074125,4.18432e+06,76544,45698.2,46773.7,1.00326e+09,5.0688e+06,5.67121e+07,1.9966e+10,0,0,6.83315e+06,2.14693e+10,
0.238219,0.285031,92.414,7.01209,0.00390625,0.046875,3.1767e+06,154112,229496,249055,1.00355e+09,5.48813e+06,5.70395e+07,1.9965e+10,0,0,6.83315e+06,2.14693e+10,
0.561875,0.245906,93.5056,5.64391,0.0078125,0.035125,2.54874e+06,336128,97820,22849.6,1.00452e+09,5.83629e+06,5.72477e+07,1.99635e+10,0,0,6.83315e+06,2.14693e+10,
0.971531,0.187281,95.0489,3.77294,0.00390625,0.015625,2.90739e+06,88320,201839,22847.1,1.00622e+09,6.06566e+06,5.74399e+07,1.99614e+10,0,0,6.83315e+06,2.14693e+10,
0.491625,0.191281,96.6978,2.59994,0,0.0195312,2.22771e+06,342272,190834,17768.1,1.00675e+09,6.23219e+06,5.76591e+07,1.99604e+10,0,0,6.83315e+06,2.14693e+10,
0.581406,0.140469,96.9377,2.31331,0.0117188,0.015625,2.43686e+06,149760,160404,27573.2,1.00703e+09,6.36275e+06,5.77486e+07,1.99599e+10,0,0,6.83315e+06,2.14693e+10,
0.549531,0.085875,97.9547,1.40222,0,0.0078125,2.44301e+06,38912,122775,7007.69,1.00706e+09,6.43763e+06,5.7946e+07,1.99596e+10,0,0,6.83315e+06,2.14693e+10,
0.639875,0.08975,98.436,0.818844,0.00390625,0.0117188,2.00499e+06,60416,96519.4,4181.97,1.00718e+09,6.48154e+06,5.80398e+07,1.99594e+10,0,0,6.83315e+06,2.14693e+10,
0.765625,0.09375,98.4415,0.6875,0.00390625,0.0078125,2.43277e+06,5888,68595.4,3306.81,1.00804e+09,6.5248e+06,5.82266e+07,1.99583e+10,0,0,6.83315e+06,2.14693e+10,
0.468313,0.082,99.2273,0.202906,0.0078125,0.0117188,1.9968e+06,58624,63835.8,3378.03,1.00856e+09,6.53734e+06,5.81763e+07,1.99578e+10,0,0,6.83315e+06,2.14693e+10,
1.05722,0.565688,96.9064,1.424,0.00390625,0.0429375,2.29376e+06,46592,126123,38591.8,1.01175e+09,6.55667e+06,5.85754e+07,1.99542e+10,0,0,6.83315e+06,2.14693e+10,
4.93834,2.22038,90.7935,1.94647,0.0078125,0.0935938,2.17907e+06,19456,596920,109010,1.02864e+09,6.59302e+06,5.9291e+07,1.99366e+10,0,0,6.83315e+06,2.14693e+10,
10.9267,2.60734,84.2834,2.08144,0.0116875,0.0895313,2.21594e+06,66816,766861,82618,1.06299e+09,6.61504e+06,6.01219e+07,1.99014e+10,0,0,6.83315e+06,2.14693e+10,
15.9762,3.131,79.993,0.814625,0.00390625,0.0814375,2.20058e+06,118016,659743,50642.2,1.10181e+09,6.63194e+06,6.07908e+07,1.98618e+10,0,0,6.83315e+06,2.14693e+10,
21.2618,1.411,75.1502,2.03812,0.0078125,0.131062,2.1353e+06,257280,1.0081e+06,92086.8,1.15974e+09,6.65574e+06,6.1957e+07,1.98027e+10,0,0,6.83315e+06,2.14693e+10,
28.6177,2.88687,64.8512,3.47281,0.0181562,0.153562,1.99142e+06,57600,1.13513e+06,99348,1.22086e+09,6.72934e+06,6.33633e+07,1.97401e+10,0,0,6.83315e+06,2.14693e+10,
29.1642,7.32506,59.1835,4.11769,0.0194687,0.19025,3.94982e+06,319744,2.12463e+06,181700,1.29429e+09,6.75456e+06,6.63786e+07,1.96637e+10,0,0,6.83315e+06,2.14693e+10,
41.3767,4.28372,50.8007,3.27575,0.0194375,0.24375,1.22447e+07,100352,1.8451e+06,443268,1.44515e+09,6.79168e+06,7.33766e+07,1.95058e+10,0,0,6.83315e+06,2.14693e+10,
50.2369,2.06684,45.3332,2.17972,0.0114375,0.172125,2.63194e+07,188928,1.63851e+06,1.98915e+06,1.59567e+09,6.81818e+06,8.79258e+07,1.93407e+10,0,0,6.83315e+06,2.14693e+10,
