"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven30",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/sort-64gb-64mb-1-raven30.csv",,,,"Date:","14 Aug 2016 19:09:25 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.807,0.119,98.811,0.247,0.002,0.014,543683.610,835870.244,0.0,0.0,1021927424.0,8699904.0,54214656.0,19946242048.0,0.0,0.065,196608.0,21475966976.0,
0.125,0.125,87.391,12.360,0.0,0.0,966656.0,0.0,479.0,1198.0,1021284352.0,9187328.0,53481472.0,19947130880.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.125,87.500,12.375,0.0,0.0,5308416.0,0.0,177.0,403.0,1021636608.0,9740288.0,54472704.0,19945234432.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,87.391,12.110,0.0,0.0,2121728.0,0.0,249.0,799.0,1025286144.0,10702848.0,53542912.0,19941552128.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.250,87.375,12.250,0.0,0.0,5586944.0,2809856.0,289.0,938.0,1027989504.0,11415552.0,54611968.0,19937067008.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.125,86.625,13.125,0.0,0.0,1114112.0,0.0,2661.0,1082.0,1028485120.0,11976704.0,53682176.0,19936940032.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,87.375,12.125,0.0,0.0,6250496.0,0.0,522.0,1278.0,1031446528.0,13004800.0,54767616.0,19931865088.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.499,87.406,11.970,0.0,0.0,2359296.0,0.0,37804.0,38727.0,1037201408.0,14184448.0,53800960.0,19925897216.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.0,87.375,12.625,0.0,0.0,5201920.0,0.0,305.0,403.0,1037524992.0,14688256.0,54681600.0,19924189184.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.125,87.391,12.360,0.0,0.0,1310720.0,1605632.0,177.0,403.0,1037692928.0,15220736.0,53850112.0,19924320256.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.375,87.266,12.110,0.0,0.125,6791168.0,114688.0,296563.0,295578.0,1043070976.0,16535552.0,54951936.0,19916525568.0,0.0,0.0,196608.0,21475966976.0,
