"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/sort-64gb-64mb-1-ravenleader.csv",,,,"Date:","14 Aug 2016 19:07:54 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.719,0.457,98.366,0.318,0.010,0.130,4283471.591,815645.715,0.0,0.0,3082256384.0,1460113408.0,16261296128.0,227430400.0,249.689,5306.541,830578688.0,20143841280.0,
17.830,2.618,79.052,0.0,0.0,0.499,0.0,0.0,70682.0,77060.0,3136188416.0,1460113408.0,16262123520.0,172670976.0,0.0,0.0,830578688.0,20143841280.0,
28.464,2.247,69.039,0.0,0.0,0.250,0.0,0.0,278741.0,334844.0,3226595328.0,1460117504.0,16262172672.0,82210816.0,0.0,0.0,830578688.0,20143841280.0,
21.750,1.0,77.250,0.0,0.0,0.0,0.0,8192.0,107001.0,119683.0,3249192960.0,1460117504.0,16262275072.0,59510784.0,0.0,0.0,830578688.0,20143841280.0,
11.721,0.499,87.282,0.0,0.0,0.499,0.0,0.0,2506709.0,55388.0,3250888704.0,1460117504.0,16262283264.0,57806848.0,0.0,0.0,830578688.0,20143841280.0,
0.0,0.0,99.750,0.250,0.0,0.0,0.0,3317760.0,10127910.0,85544.0,3250634752.0,1460117504.0,16262283264.0,58060800.0,0.0,0.0,830578688.0,20143841280.0,
0.249,0.125,99.253,0.249,0.0,0.125,0.0,81920.0,29275.0,11514.0,3247869952.0,1460117504.0,16262283264.0,60825600.0,0.0,0.0,830578688.0,20143841280.0,
3.254,0.125,96.621,0.0,0.0,0.0,0.0,0.0,73468.0,10185.0,3248152576.0,1460117504.0,16262283264.0,60542976.0,0.0,0.0,830578688.0,20143841280.0,
9.553,0.248,89.950,0.124,0.0,0.124,0.0,2351104.0,1414606.0,39996.0,3249852416.0,1460125696.0,16262479872.0,58638336.0,0.0,0.0,830578688.0,20143841280.0,
12.875,0.500,86.500,0.0,0.0,0.125,0.0,122880.0,36893.0,14179.0,3252543488.0,1460125696.0,16262479872.0,55947264.0,0.0,0.0,830578688.0,20143841280.0,
9.363,0.499,90.012,0.0,0.0,0.125,0.0,499712.0,69198.0,469104.0,3255681024.0,1460125696.0,16262504448.0,52785152.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.499,98.752,0.0,0.125,0.499,0.0,114688.0,259407.0,4041614.0,3255734272.0,1460125696.0,16262529024.0,52707328.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.250,99.376,0.0,0.0,0.250,0.0,73728.0,368149.0,6177938.0,3255578624.0,1460125696.0,16262541312.0,52850688.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.250,99.625,0.0,0.0,0.0,0.0,106496.0,259298.0,5651834.0,3255324672.0,1460129792.0,16262537216.0,53104640.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.375,99.125,0.0,0.0,0.375,0.0,0.0,241976.0,5362600.0,3254493184.0,1460129792.0,16262549504.0,53923840.0,0.0,0.0,830578688.0,20143841280.0,
0.374,0.249,99.127,0.0,0.0,0.249,0.0,499712.0,229977.0,4703881.0,3254489088.0,1460133888.0,16262549504.0,53923840.0,0.0,0.0,830578688.0,20143841280.0,
0.625,0.250,98.875,0.0,0.125,0.125,0.0,73728.0,162054.0,3355496.0,3254235136.0,1460133888.0,16262549504.0,54177792.0,0.0,0.0,830578688.0,20143841280.0,
0.749,0.250,98.752,0.0,0.0,0.250,0.0,147456.0,153141.0,3510122.0,3254169600.0,1460133888.0,16262553600.0,54239232.0,0.0,0.0,830578688.0,20143841280.0,
1.873,0.375,97.628,0.0,0.0,0.125,0.0,73728.0,126589.0,2335014.0,3263483904.0,1460142080.0,16262553600.0,44916736.0,0.0,0.0,830578688.0,20143841280.0,
0.750,0.125,99.125,0.0,0.0,0.0,0.0,24576.0,110920.0,2080431.0,3263610880.0,1456381952.0,16258572288.0,52531200.0,0.0,0.0,830578688.0,20143841280.0,
1.873,0.250,97.628,0.125,0.0,0.125,0.0,1146880.0,43973.0,328343.0,3263422464.0,1456381952.0,16258736128.0,52555776.0,0.0,0.0,830578688.0,20143841280.0,
1.746,4.863,84.539,0.0,0.249,8.603,0.0,40960.0,93675.0,1944386.0,3266863104.0,1457233920.0,16259670016.0,47329280.0,0.0,0.0,830578688.0,20143841280.0,
0.0,4.500,83.0,0.0,0.125,12.375,0.0,3784704.0,7948869.0,61112101.0,3266375680.0,1457434624.0,16259948544.0,47337472.0,0.0,0.0,830578688.0,20143841280.0,
0.250,9.500,66.875,0.0,0.250,23.125,0.0,32768.0,5067705.0,69295195.0,3265720320.0,1457438720.0,16260091904.0,47845376.0,0.0,0.0,830578688.0,20143841280.0,
0.0,4.875,81.0,0.0,0.250,13.875,139264.0,0.0,13991435.0,94953505.0,3266269184.0,1457467392.0,16260153344.0,47206400.0,0.0,0.0,830578688.0,20143841280.0,
0.125,1.873,94.632,0.125,0.250,2.996,0.0,5685248.0,5156687.0,105941158.0,3265757184.0,1457467392.0,16260157440.0,47714304.0,0.0,0.0,830578688.0,20143841280.0,
0.250,2.497,91.511,0.0,0.0,5.743,0.0,0.0,2034651.0,44266391.0,3265716224.0,1457467392.0,16260186112.0,47726592.0,0.0,0.0,830578688.0,20143841280.0,
0.125,4.245,86.891,0.0,0.250,8.489,0.0,90112.0,3740315.0,82770139.0,3266854912.0,1457467392.0,16260198400.0,46575616.0,0.0,0.0,830578688.0,20143841280.0,
0.125,3.620,90.886,0.0,0.250,5.119,0.0,57344.0,5392578.0,112989775.0,3266621440.0,1457471488.0,16260308992.0,46694400.0,0.0,0.0,830578688.0,20143841280.0,
0.375,2.0,95.250,0.0,0.0,2.375,0.0,0.0,3205351.0,69637285.0,3266437120.0,1457475584.0,16260329472.0,46854144.0,0.0,0.0,830578688.0,20143841280.0,
0.250,3.745,89.763,0.125,0.250,5.868,0.0,1359872.0,2514126.0,55940063.0,3266863104.0,1457479680.0,16260546560.0,46206976.0,0.0,0.0,830578688.0,20143841280.0,
2.122,3.246,90.012,0.0,0.250,4.370,0.0,0.0,4848064.0,103065084.0,3267547136.0,1457479680.0,16261074944.0,44994560.0,0.0,0.0,830578688.0,20143841280.0,
1.498,0.874,96.629,0.0,0.0,0.999,0.0,1433600.0,3132025.0,52037598.0,3267174400.0,1452609536.0,16259506176.0,51806208.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,40960.0,463142.0,5849085.0,3266846720.0,1452609536.0,16259706880.0,51933184.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,61635.0,53858.0,3266248704.0,1452609536.0,16259710976.0,52527104.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.501,0.125,0.0,0.125,0.0,3416064.0,50567.0,93909.0,3266121728.0,1452609536.0,16259710976.0,52654080.0,0.0,0.0,830578688.0,20143841280.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,16384.0,108098.0,285473.0,3266097152.0,1452609536.0,16259735552.0,52654080.0,0.0,0.0,830578688.0,20143841280.0,
0.499,0.249,99.002,0.0,0.0,0.249,0.0,0.0,147051.0,893585.0,3266035712.0,1452609536.0,16259801088.0,52649984.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.501,99.249,0.0,0.0,0.125,0.0,73728.0,246102.0,1431648.0,3265433600.0,1452634112.0,16259870720.0,53157888.0,0.0,0.0,830578688.0,20143841280.0,
0.499,0.375,99.001,0.0,0.0,0.125,0.0,0.0,290120.0,507875.0,3265282048.0,1452638208.0,16259891200.0,53284864.0,0.0,0.0,830578688.0,20143841280.0,
1.122,1.122,96.633,0.249,0.125,0.748,0.0,2228224.0,509581.0,855212.0,3265851392.0,1452666880.0,16260055040.0,52523008.0,0.0,0.0,830578688.0,20143841280.0,
1.500,4.250,91.750,0.0,0.0,2.500,0.0,0.0,1510883.0,1401522.0,3265601536.0,1452863488.0,16260997120.0,51634176.0,0.0,0.0,830578688.0,20143841280.0,
0.873,2.494,95.012,0.0,0.125,1.496,0.0,1417216.0,2726878.0,2052931.0,3265048576.0,1453047808.0,16261476352.0,51523584.0,0.0,0.0,830578688.0,20143841280.0,
0.376,3.133,94.862,0.0,0.0,1.629,0.0,32768.0,1582635.0,1603511.0,3265523712.0,1453187072.0,16263528448.0,48857088.0,0.0,0.0,830578688.0,20143841280.0,
0.498,4.857,91.034,0.0,0.249,3.362,0.0,24576.0,4510701.0,2011147.0,3265605632.0,1453498368.0,16264400896.0,47591424.0,0.0,0.0,830578688.0,20143841280.0,
0.875,2.0,95.250,0.500,0.0,1.375,0.0,12017664.0,3040424.0,2718042.0,3266224128.0,1453580288.0,16264433664.0,46858240.0,0.0,0.0,830578688.0,20143841280.0,
0.625,1.875,96.625,0.0,0.0,0.875,0.0,0.0,1169216.0,1266200.0,3265335296.0,1453629440.0,16264884224.0,47247360.0,0.0,0.0,830578688.0,20143841280.0,
0.750,1.500,96.750,0.0,0.125,0.875,0.0,57344.0,1095047.0,1189124.0,3265875968.0,1453690880.0,16264925184.0,46604288.0,0.0,0.0,830578688.0,20143841280.0,
0.749,1.373,97.129,0.0,0.0,0.749,0.0,32768.0,984784.0,1064343.0,3265789952.0,1453744128.0,16265318400.0,46243840.0,0.0,0.0,830578688.0,20143841280.0,
0.748,1.496,96.758,0.0,0.0,0.998,0.0,98304.0,826741.0,1067933.0,3265912832.0,1453821952.0,16265371648.0,45989888.0,0.0,0.0,830578688.0,20143841280.0,
0.500,1.125,97.250,0.250,0.125,0.750,0.0,3719168.0,860643.0,2641440.0,3265835008.0,1453830144.0,16265760768.0,45670400.0,0.0,0.0,830578688.0,20143841280.0,
0.499,0.999,98.002,0.0,0.0,0.499,0.0,0.0,837979.0,6013035.0,3266027520.0,1453830144.0,16265854976.0,45383680.0,0.0,0.0,830578688.0,20143841280.0,
0.499,0.749,98.127,0.0,0.0,0.624,0.0,65536.0,557282.0,5829815.0,3265904640.0,1453838336.0,16266096640.0,45256704.0,0.0,0.0,830578688.0,20143841280.0,
0.500,0.875,98.250,0.0,0.0,0.375,0.0,57344.0,577696.0,4812609.0,3265785856.0,1453846528.0,16266207232.0,45256704.0,0.0,0.0,830578688.0,20143841280.0,
0.375,1.248,97.878,0.0,0.0,0.499,0.0,0.0,708822.0,2410826.0,3267092480.0,1449050112.0,16262463488.0,52490240.0,0.0,0.0,830578688.0,20143841280.0,
0.499,1.373,96.629,0.125,0.125,1.248,0.0,3915776.0,800779.0,1192004.0,3266932736.0,1449127936.0,16262545408.0,52490240.0,0.0,0.0,830578688.0,20143841280.0,
0.499,0.749,98.377,0.0,0.0,0.375,0.0,0.0,1171616.0,1373985.0,3267010560.0,1449164800.0,16262791168.0,52129792.0,0.0,0.0,830578688.0,20143841280.0,
0.499,1.873,96.629,0.125,0.0,0.874,0.0,7700480.0,759344.0,935518.0,3267121152.0,1449242624.0,16262864896.0,51867648.0,0.0,0.0,830578688.0,20143841280.0,
0.750,1.375,97.250,0.0,0.0,0.625,0.0,32768.0,1153240.0,1485005.0,3266387968.0,1449299968.0,16263286784.0,52121600.0,0.0,0.0,830578688.0,20143841280.0,
0.500,1.250,97.500,0.0,0.0,0.750,0.0,0.0,1159454.0,1323590.0,3266441216.0,1449373696.0,16263413760.0,51867648.0,0.0,0.0,830578688.0,20143841280.0,
0.499,1.623,96.754,0.250,0.125,0.749,0.0,5201920.0,967482.0,1125444.0,3265916928.0,1449443328.0,16264114176.0,51621888.0,0.0,0.0,830578688.0,20143841280.0,
0.625,0.750,98.375,0.0,0.0,0.250,0.0,65536.0,1040488.0,1197507.0,3266506752.0,1449492480.0,16263966720.0,51130368.0,0.0,0.0,830578688.0,20143841280.0,
0.250,1.124,98.002,0.0,0.0,0.624,0.0,212992.0,715958.0,643008.0,3265810432.0,1449574400.0,16264445952.0,51265536.0,0.0,0.0,830578688.0,20143841280.0,
0.375,1.500,97.250,0.0,0.0,0.875,0.0,32768.0,862950.0,1038740.0,3266588672.0,1449627648.0,16264540160.0,50339840.0,0.0,0.0,830578688.0,20143841280.0,
0.375,1.748,97.004,0.0,0.0,0.874,0.0,0.0,1188454.0,1133692.0,3266555904.0,1449758720.0,16264908800.0,49872896.0,0.0,0.0,830578688.0,20143841280.0,
0.249,1.372,97.007,0.249,0.125,0.998,0.0,4112384.0,1241873.0,1268267.0,3266715648.0,1449783296.0,16264978432.0,49618944.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.624,98.627,0.0,0.0,0.499,0.0,0.0,955066.0,1228135.0,3266379776.0,1449791488.0,16265187328.0,49737728.0,0.0,0.0,830578688.0,20143841280.0,
0.375,0.624,98.627,0.0,0.0,0.375,0.0,172032.0,513020.0,484577.0,3266215936.0,1449820160.0,16265195520.0,49864704.0,0.0,0.0,830578688.0,20143841280.0,
0.500,1.250,97.500,0.125,0.0,0.625,0.0,2334720.0,543271.0,656733.0,3265769472.0,1449840640.0,16265375744.0,50110464.0,0.0,0.0,830578688.0,20143841280.0,
0.375,0.250,99.250,0.0,0.0,0.125,0.0,0.0,770192.0,1192924.0,3265757184.0,1449844736.0,16265510912.0,49983488.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.250,99.251,0.125,0.0,0.250,0.0,2547712.0,195200.0,851870.0,3265798144.0,1449852928.0,16265641984.0,49803264.0,0.0,0.0,830578688.0,20143841280.0,
0.374,0.249,99.252,0.0,0.0,0.125,0.0,0.0,158977.0,147414.0,3265818624.0,1449857024.0,16265695232.0,49725440.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.751,98.498,0.0,0.0,0.501,0.0,106496.0,137960.0,102272.0,3265998848.0,1449930752.0,16265687040.0,49479680.0,0.0,0.0,830578688.0,20143841280.0,
0.249,0.623,98.504,0.0,0.125,0.499,0.0,106496.0,742381.0,601194.0,3265785856.0,1449938944.0,16265764864.0,49606656.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.375,99.375,0.0,0.0,0.125,0.0,0.0,328913.0,302154.0,3265765376.0,1449943040.0,16265900032.0,49487872.0,0.0,0.0,830578688.0,20143841280.0,
0.374,0.374,99.002,0.125,0.0,0.125,0.0,1630208.0,242423.0,248581.0,3265728512.0,1449943040.0,16265965568.0,49459200.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.500,99.0,0.0,0.0,0.375,0.0,0.0,169770.0,161667.0,3265875968.0,1449967616.0,16266801152.0,48451584.0,0.0,0.0,830578688.0,20143841280.0,
0.375,1.124,97.753,0.0,0.0,0.749,0.0,57344.0,2513680.0,386531.0,3265761280.0,1450020864.0,16268013568.0,47300608.0,0.0,0.0,830578688.0,20143841280.0,
0.375,0.499,98.876,0.0,0.0,0.250,0.0,57344.0,697047.0,598584.0,3265572864.0,1450033152.0,16268210176.0,47280128.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.626,98.874,0.0,0.0,0.250,0.0,0.0,289731.0,277457.0,3265585152.0,1450078208.0,16268234752.0,47198208.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.624,98.377,0.250,0.0,0.499,0.0,7839744.0,841965.0,865700.0,3265527808.0,1450094592.0,16269283328.0,46190592.0,0.0,0.0,830578688.0,20143841280.0,
0.624,0.499,98.627,0.0,0.0,0.250,0.0,0.0,852322.0,806463.0,3265912832.0,1450102784.0,16269651968.0,45428736.0,0.0,0.0,830578688.0,20143841280.0,
0.250,1.0,98.250,0.0,0.0,0.500,0.0,196608.0,1020605.0,217956.0,3264499712.0,1445216256.0,16270184448.0,51195904.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.999,98.377,0.0,0.0,0.375,0.0,57344.0,3256592.0,525317.0,3264266240.0,1445302272.0,16270917632.0,50610176.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.750,98.375,0.0,0.125,0.500,0.0,0.0,1180630.0,641340.0,3263856640.0,1445326848.0,16271310848.0,50601984.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.874,97.503,0.749,0.0,0.749,0.0,17022976.0,3051944.0,531702.0,3264675840.0,1445400576.0,16274227200.0,46792704.0,0.0,0.0,830578688.0,20143841280.0,
0.375,0.625,98.500,0.0,0.0,0.500,0.0,0.0,1938027.0,454848.0,3265757184.0,1440727040.0,16272896000.0,51716096.0,0.0,0.0,830578688.0,20143841280.0,
0.499,0.748,98.379,0.0,0.0,0.374,0.0,155648.0,2573753.0,960580.0,3264684032.0,1440776192.0,16275206144.0,50429952.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.500,98.750,0.0,0.0,0.500,0.0,32768.0,2256325.0,399121.0,3264466944.0,1440796672.0,16275759104.0,50073600.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.874,98.502,0.0,0.0,0.375,0.0,0.0,705120.0,355359.0,3264368640.0,1440841728.0,16277086208.0,48799744.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.625,98.250,0.500,0.0,0.375,0.0,14172160.0,1662304.0,370502.0,3264278528.0,1440874496.0,16277651456.0,48291840.0,0.0,0.0,830578688.0,20143841280.0,
0.374,0.374,99.127,0.0,0.0,0.125,0.0,0.0,714443.0,306350.0,3264503808.0,1440894976.0,16278118400.0,47579136.0,0.0,0.0,830578688.0,20143841280.0,
0.375,0.500,98.750,0.0,0.0,0.375,0.0,3211264.0,670385.0,219316.0,3264208896.0,1440931840.0,16278757376.0,47198208.0,0.0,0.0,830578688.0,20143841280.0,
0.375,0.375,99.0,0.0,0.0,0.250,0.0,32768.0,923141.0,443904.0,3264483328.0,1440948224.0,16279482368.0,46182400.0,0.0,0.0,830578688.0,20143841280.0,
0.499,0.499,98.504,0.0,0.125,0.374,0.0,0.0,1137455.0,202638.0,3263688704.0,1440972800.0,16280870912.0,45563904.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.250,99.001,0.375,0.0,0.125,0.0,9134080.0,1229832.0,377158.0,3263021056.0,1435471872.0,16280403968.0,52199424.0,0.0,0.0,830578688.0,20143841280.0,
0.500,0.500,98.750,0.0,0.0,0.250,0.0,0.0,934951.0,158161.0,3263213568.0,1435504640.0,16280674304.0,51703808.0,0.0,0.0,830578688.0,20143841280.0,
